,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
const,0.1703017862660852,0.05682460024511615,2.9969728872966765,0.004237144634746805,0.056166217652274,0.2844373548798964
is_competition_month,-0.12221037940790339,0.15303903016139944,-0.7985569385732303,0.4283242416166557,-0.4295983179456454,0.18517755912983866
post,-0.013261613238766878,0.047430155392759736,-0.2796029894684106,0.7809355323714167,-0.1085278840412495,0.08200465756371575
interaction,0.18027769048897416,0.16350494442251737,1.102582500643613,0.2754874103634439,-0.14813165550440163,0.5086870364823499
lag1,0.24377254304029225,0.14251284414900295,1.7105303349740055,0.09336668462804514,-0.04247292866658328,0.5300180147471678
lag2,0.15471671905086984,0.14933118493666658,1.0360643633577764,0.30515707098087475,-0.14522379317447573,0.4546572312762154
lag3,-0.13195894125582097,0.13875170895742395,-0.9510437186493512,0.3461569817420833,-0.41064995060180765,0.1467320680901657
