真实值,预测值
0.2335414960261958,0.32500843088867903
0.3052950633577759,0.25757954764057983
0.2710699218747636,0.265582830007347
0.4252460881953637,0.3280690497401337
0.4130712347032987,0.3550009859009091
0.1842811789347058,0.4235407644920184
0.0349681594966975,0.27619641518111454
0.070773676740984,0.1896796047512297
0.0,0.10688571095529661
0.4419703926393072,0.13144792729383
0.4563032538280219,0.46516282297759565
0.5502995604381675,0.4213941647845011
0.5790164447543544,0.5189368134415464
0.6661499309243952,0.5317985462401514
0.8322652817991943,0.5274796987089294
0.6490190865516254,0.7403468420782139
0.9090690680994165,0.5023460586855947
1.0,0.8279308032689136
0.7516666807484433,0.8456344434163342
0.3759940516780868,0.6858096388887702
0.2133600652006762,0.3510210921797422
0.8750204820515302,0.3396814139116724
0.7535913237189539,0.7946068390947284
0.734873533143493,0.6182575567434342
0.735885627587556,0.6736081898883293
0.640893406820874,0.5860706108010871
0.6087610038243642,0.6119712756039407
0.639044444647091,0.5985304420665143
0.8228186503480054,0.6127530423080918
0.4971302014205811,0.6423282559751409
0.3427502869361865,0.4868728343644346
0.4829880167093625,0.42979753186244685
0.3715701195535818,0.4122389447782246
0.6506560710556897,0.3957377944310043
0.3541363652651138,0.6272441991383411
0.4233177611916068,0.36901854516606425
0.3466783665923055,0.4615616539796354
0.0919517278085009,0.28767990728366993
0.0631098550285272,0.21556289115022137
0.356814779482154,0.21195815542360924
0.732733877221798,0.39903560499344104
0.3631118006744175,0.541706321257157
0.2652563729666618,0.36530251813455483
0.2989093960393634,0.3766162397513687
0.2425154893190728,0.27032666479669143
0.3825216452699253,0.311653545060384
0.2052496871828752,0.42352111702804074
0.2138381256952551,0.27313268462293633
0.1946782406080167,0.29275198777167866
0.2341187300968381,0.18110016966011278
0.2436512583843096,0.3102982868314117
0.2473111275029704,0.3108958415090674
0.2373287249415214,0.3172185854111999
0.1602309284296798,0.2132354608175565
0.1256371203402933,0.255955951997293
0.1427637324520451,0.14011899644547873
0.2345574043001863,0.24456406902177766
