"日期","收入预估~iPad"
"2024-04-10","21864"
"2024-04-09","23778"
"2024-04-08","18844"
"2024-04-07","17673"
"2024-04-06","18163"
"2024-04-05","18678"
"2024-04-04","21702"
"2024-04-03","22495"
"2024-04-02","23719"
"2024-04-01","27972"
"2024-03-31","33804"
"2024-03-30","31511"
"2024-03-29","21335"
"2024-03-28","21308"
"2024-03-27","20771"
"2024-03-26","18986"
"2024-03-25","17596"
"2024-03-24","17693"
"2024-03-23","14796"
"2024-03-22","18464"
"2024-03-21","19604"
"2024-03-20","22439"
"2024-03-19","28665"
"2024-03-18","20726"
"2024-03-17","21180"
"2024-03-16","22501"
"2024-03-15","23838"
"2024-03-14","25259"
"2024-03-13","30462"
"2024-03-12","34972"
"2024-03-11","38337"
"2024-03-10","33258"
"2024-03-09","32245"
"2024-03-08","20143"
"2024-03-07","22985"
"2024-03-06","21949"
"2024-03-05","23311"
"2024-03-04","25317"
"2024-03-03","25098"
"2024-03-02","43673"
"2024-03-01","35102"
"2024-02-29","20714"
"2024-02-28","22492"
"2024-02-27","26384"
"2024-02-26","23758"
"2024-02-25","31507"
"2024-02-24","23691"
"2024-02-23","42390"
"2024-02-22","23683"
"2024-02-21","26028"
"2024-02-20","29425"
"2024-02-19","31767"
"2024-02-18","33426"
"2024-02-17","45131"
"2024-02-16","42371"
"2024-02-15","74236"
"2024-02-14","28756"
"2024-02-13","33409"
"2024-02-12","33120"
"2024-02-11","29027"
"2024-02-10","35076"
"2024-02-09","103511"
"2024-02-08","19574"
"2024-02-07","18951"
"2024-02-06","25137"
"2024-02-05","32260"
"2024-02-04","30306"
"2024-02-03","23754"
"2024-02-02","23074"
"2024-02-01","12996"
"2024-01-31","21623"
"2024-01-30","25015"
"2024-01-29","27810"
"2024-01-28","27947"
"2024-01-27","22540"
"2024-01-26","22487"
"2024-01-25","21600"
"2024-01-24","31476"
"2024-01-23","35132"
"2024-01-22","43394"
"2024-01-21","114184"
"2024-01-20","94539"
"2024-01-19","49799"
"2024-01-18","14842"
"2024-01-17","17665"
"2024-01-16","17960"
"2024-01-15","17594"
"2024-01-14","16088"
"2024-01-13","17837"
"2024-01-12","22025"
"2024-01-11","32288"
"2024-01-10","20132"
"2024-01-09","19754"
"2024-01-08","19838"
"2024-01-07","13561"
"2024-01-06","17434"
"2024-01-05","26025"
"2024-01-04","21086"
"2024-01-03","21729"
"2024-01-02","21859"
"2024-01-01","20347"
"2023-12-31","18207"
"2023-12-30","17642"
"2023-12-29","20202"
"2023-12-28","17913"
"2023-12-27","23081"
"2023-12-26","24763"
"2023-12-25","24487"
"2023-12-24","21363"
"2023-12-23","21948"
"2023-12-22","19791"
"2023-12-21","15443"
"2023-12-20","19294"
"2023-12-19","24560"
"2023-12-18","35003"
"2023-12-17","33196"
"2023-12-16","54965"
"2023-12-15","54854"
"2023-12-14","36945"
"2023-12-13","54911"
"2023-12-12","53122"
"2023-12-11","74489"
"2023-12-10","74704"
"2023-12-09","74814"
"2023-12-08","74431"
"2023-12-07","94790"
"2023-12-06","97706"
"2023-12-05","120417"
"2023-12-04","119565"
"2023-12-03","59404"
"2023-12-02","22024"
"2023-12-01","22417"
"2023-11-30","25943"
"2023-11-29","30502"
"2023-11-28","34728"
"2023-11-27","34471"
"2023-11-26","34953"
"2023-11-25","32701"
"2023-11-24","29705"
"2023-11-23","22435"
"2023-11-22","25941"
"2023-11-21","29685"
"2023-11-20","32586"
"2023-11-19","32915"
"2023-11-18","44732"
"2023-11-17","41690"
"2023-11-16","31038"
"2023-11-15","25954"
"2023-11-14","34912"
"2023-11-13","33192"
"2023-11-12","29271"
"2023-11-11","32230"
"2023-11-10","24509"
"2023-11-09","23518"
"2023-11-08","35217"
"2023-11-07","44832"
"2023-11-06","44739"
"2023-11-05","45049"
"2023-11-04","44847"
"2023-11-03","59338"
"2023-11-02","23303"
"2023-11-01","23462"
"2023-10-31","33661"
"2023-10-30","34081"
