"日期","收入预估~iPad"
"2024-07-06","120119"
"2024-07-05","116178"
"2024-07-04","120553"
"2024-07-03","116750"
"2024-07-02","117193"
"2024-07-01","117641"
"2024-06-30","117278"
"2024-06-29","116531"
"2024-06-28","120647"
"2024-06-27","120149"
"2024-06-26","120146"
"2024-06-25","121336"
"2024-06-24","120884"
"2024-06-23","120033"
"2024-06-22","120512"
"2024-06-21","117452"
"2024-06-20","117694"
"2024-06-19","119808"
"2024-06-18","120401"
"2024-06-17","120067"
"2024-06-16","120641"
"2024-06-15","119696"
"2024-06-14","120099"
"2024-06-13","120664"
"2024-06-12","120719"
"2024-06-11","120192"
"2024-06-10","121135"
"2024-06-09","120370"
"2024-06-08","119717"
"2024-06-07","120656"
"2024-06-06","121090"
"2024-06-05","120592"
"2024-06-04","120433"
"2024-06-03","120259"
"2024-06-02","119586"
"2024-06-01","121116"
"2024-05-31","120158"
"2024-05-30","120912"
"2024-05-29","121209"
"2024-05-28","120299"
"2024-05-27","121128"
"2024-05-26","119991"
"2024-05-25","120212"
"2024-05-24","121072"
"2024-05-23","120730"
"2024-05-22","120834"
"2024-05-21","119675"
"2024-05-20","120184"
"2024-05-19","120419"
"2024-05-18","120549"
"2024-05-17","120896"
"2024-05-16","119437"
"2024-05-15","120271"
"2024-05-14","120558"
"2024-05-13","120412"
"2024-05-12","121320"
"2024-05-11","120741"
"2024-05-10","119815"
"2024-05-09","116998"
"2024-05-08","119651"
"2024-05-07","120508"
"2024-05-06","119795"
"2024-05-05","120077"
"2024-05-04","120803"
"2024-05-03","119637"
"2024-05-02","120245"
"2024-05-01","120922"
"2024-04-30","120281"
"2024-04-29","120393"
"2024-04-28","120513"
"2024-04-27","119984"
"2024-04-26","117375"
"2024-04-25","117652"
"2024-04-24","120249"
"2024-04-23","120264"
"2024-04-22","119774"
"2024-04-21","119711"
"2024-04-20","120733"
"2024-04-19","117344"
"2024-04-18","117533"
"2024-04-17","120534"
"2024-04-16","119646"
"2024-04-15","120744"
"2024-04-14","120254"
"2024-04-13","120317"
"2024-04-12","120636"
"2024-04-11","119628"
"2024-04-10","120318"
"2024-04-09","120345"
"2024-04-08","120019"
"2024-04-07","120762"
"2024-04-06","121107"
"2024-04-05","120714"
"2024-04-04","120206"
"2024-04-03","120469"
"2024-04-02","120413"
"2024-04-01","119923"
"2024-03-31","119762"
"2024-03-30","117294"
"2024-03-29","117823"
"2024-03-28","117247"
"2024-03-27","120819"
"2024-03-26","119514"
"2024-03-25","120774"
"2024-03-24","121008"
"2024-03-23","120932"
"2024-03-22","119900"
"2024-03-21","120313"
"2024-03-20","119984"
"2024-03-19","120656"
"2024-03-18","121279"
"2024-03-17","120016"
"2024-03-16","120403"
"2024-03-15","119987"
"2024-03-14","117480"
"2024-03-13","120525"
"2024-03-12","119926"
"2024-03-11","120586"
"2024-03-10","120907"
"2024-03-09","119970"
"2024-03-08","120624"
"2024-03-07","120804"
"2024-03-06","120700"
"2024-03-05","120350"
"2024-03-04","120813"
"2024-03-03","119738"
"2024-03-02","119869"
"2024-03-01","120371"
"2024-02-29","120169"
"2024-02-28","119549"
"2024-02-27","120586"
"2024-02-26","120878"
