date,Market size
2020-01-01,148.79999999995053
2020-02-01,150.5726501735433
2020-03-01,152.79253472213907
2020-04-01,155.34742968740477
2020-05-01,158.12511111100739
2020-06-01,161.01335503461385
2020-07-01,163.8999374998912
2020-08-01,166.67263454850638
2020-09-01,169.21922222212635
2020-10-01,171.42747656241806
2020-11-01,173.18517361104858
2020-12-01,174.38008940968479
2021-01-01,174.89999999999367
2021-02-01,175.02917580408845
2021-03-01,175.13033625730588
2021-04-01,175.20893092104942
2021-05-01,175.27040935672255
2021-06-01,175.3202211257288
2021-07-01,175.3638157894716
2021-08-01,175.4066429093545
2021-09-01,175.45415204678102
2021-10-01,175.51179276315457
2021-11-01,175.58501461987868
2021-12-01,175.67926717835687
2022-01-01,175.79999999999262
2022-02-01,176.08331384013258
2022-03-01,176.62563352822824
2022-04-01,177.37289473679445
2022-05-01,178.27103313834596
2022-06-01,179.26598440539746
2022-07-01,180.3036842104638
2022-08-01,181.33006822605978
2022-09-01,182.29107212470004
2022-10-01,183.13263157889943
2022-11-01,183.8006822611727
2022-12-01,184.24115984403466
2023-01-01,184.4
2023-02-01,184.3901620370383
2023-03-01,184.3629629629653
2023-04-01,184.32187500000322
2023-05-01,184.2703703703742
2023-06-01,184.21192129630055
2023-07-01,184.15000000000444
2023-08-01,184.08807870370808
2023-09-01,184.02962962963366
2023-10-01,183.97812500000344
2023-11-01,183.93703703703963
2023-12-01,183.9098379629644
2024-01-01,183.9
2024-02-01,183.93689236110546
2024-03-01,184.04374999998907
2024-04-01,184.21484374998408
2024-05-01,184.44444444442388
2024-06-01,184.72682291664182
2024-07-01,185.05624999997124
2024-08-01,185.42699652774553
2024-09-01,185.83333333329801
2024-10-01,186.269531249962
2024-11-01,186.72986111107087
2024-12-01,187.208593749958
2025-01-01,187.6999999999567
