date,Userscale
2020-07-01,6.5748
2020-08-01,6.5912129902110435
2020-09-01,6.606557124230914
2020-10-01,6.62036514713968
2020-11-01,6.6321698040174
2020-12-01,6.641503839944143
2021-01-01,6.647899999999973
2021-02-01,6.652532039685422
2021-03-01,6.656756121908458
2021-04-01,6.660378602860259
2021-05-01,6.663205838732
2021-06-01,6.665044185714855
2021-07-01,6.6657
2021-08-01,6.66555104166667
2021-09-01,6.665150000000007
2021-10-01,6.66456562500001
2021-11-01,6.663866666666678
2021-12-01,6.663121875000011
2022-01-01,6.6624000000000105
2022-02-01,6.661705254202948
2022-03-01,6.660971257893852
2022-04-01,6.66016087269587
2022-05-01,6.659236960232142
2022-06-01,6.6581623821258145
2022-07-01,6.6569000000000305
2022-08-01,6.65474953917057
2022-09-01,6.651483410138335
2022-10-01,6.647773502304239
2022-11-01,6.644291705069205
2022-12-01,6.641709907834151
2023-01-01,6.6407
2023-02-01,6.643594082826454
2023-03-01,6.650838842822669
2023-04-01,6.660278047263387
2023-05-01,6.669755463423352
2023-06-01,6.677114858577306
2023-07-01,6.680199999999993
2023-08-01,6.680379046400744
2023-09-01,6.680482810284495
2023-10-01,6.68054903961877
2023-11-01,6.680615482371094
2023-12-01,6.680719886508993
2024-01-01,6.680899999999991
2024-02-01,6.685155119210373
2024-03-01,6.695497869264697
2024-04-01,6.708985991266891
2024-05-01,6.722677226320879
2024-06-01,6.733629315530585
2024-07-01,6.738899999999937
2024-08-01,6.740254557268537
2024-09-01,6.7414067221926395
2024-10-01,6.742336921850042
2024-11-01,6.743025583318539
2024-12-01,6.743453133675927
2025-01-01,6.7436
