date,earing
2020-07-01,1394.93
2020-08-01,1813.8792592589111
2020-09-01,2160.0818518512892
2020-10-01,2432.0099999993604
2020-11-01,2628.135925925352
2020-12-01,2746.9318518514892
2021-01-01,2786.87
2021-02-01,2691.911481482615
2021-03-01,2454.515185187258
2021-04-01,2145.900000002623
2021-05-01,1837.2848148174057
2021-06-01,1599.8885185202996
2021-07-01,1504.9299999999998
2021-08-01,1613.0929629605653
2021-09-01,1883.5003703662387
2021-10-01,2235.0299999950203
2021-11-01,2586.5596296249078
2021-12-01,2856.9670370339018
2022-01-01,2965.13
2022-02-01,2854.9640740776435
2022-03-01,2579.549259265271
2022-04-01,2221.5100000071016
2022-05-01,1863.4707407473538
2022-06-01,1588.055925930247
2022-07-01,1477.8899999999999
2022-08-01,1565.3677777740486
2022-09-01,1784.0622222160166
2022-10-01,2068.36499999275
2022-11-01,2352.6677777710947
2022-12-01,2571.362222217896
2023-01-01,2658.84
2023-02-01,2568.750370375133
2023-03-01,2343.5262963041623
2023-04-01,2050.7350000091255
2023-05-01,1757.9437037120613
2023-06-01,1532.7196296350069
2023-07-01,1442.63
2023-08-01,1560.186296288879
2023-09-01,1854.0770370248486
2023-10-01,2236.1349999859267
2023-11-01,2618.1929629501324
2023-12-01,2912.0837036954836
2024-01-01,3029.64
2024-02-01,2914.3088888973457
2024-03-01,2625.981111124957
2024-04-01,2251.1550000159305
2024-05-01,1876.3288889033638
2024-06-01,1588.0011111203546
2024-07-01,1472.67
2024-08-01,1524.8988657361092
2024-09-01,1679.4725925832845
2024-10-01,1933.221874985979
2024-11-01,2282.977407388646
2024-12-01,2725.5698842357383
2025-01-01,3257.829999971709
