真实值,预测值
0.5952122900206651,0.5590942321519998
0.3182508749956821,0.520786753221864
0.2619458847888072,0.2308242485062436
0.5025452559354944,0.3544514995968384
0.4894224702336128,0.5153337263704467
0.2329716614017324,0.3734611646562418
0.2000472980590256,0.21986311707513453
0.1643784127948674,0.316681819860975
0.1955469262949639,0.16791040608762148
0.1716724381094442,0.23697322488299968
0.2552981051807738,0.1753562523068982
0.1720723540746467,0.28587465003751433
0.1795067341981025,0.14585414047992284
0.122413103602098,0.2122122887345066
0.1130784522645666,0.11624946990633625
0.1858046872243256,0.1682299096241895
0.2445278589442198,0.2235413076860505
0.1930127579812218,0.23339737123682727
0.1626985486889688,0.17876028070985883
0.1201976007880222,0.20052366351253204
0.083339029888672,0.15878828970110703
0.287699671899258,0.132474891143808
0.1834968769435217,0.33640260213108675
0.1549809759891246,0.10336794021896764
0.2746118694529446,0.21564993230540805
0.2009415778034845,0.2884054752793759
0.143465081021316,0.1363264853084025
0.3060175624418992,0.19471654875979016
0.3065718403730363,0.36061045587338403
0.1061672775629127,0.2424344537356824
0.0716206380132966,0.10601638427099863
0.1608370480319774,0.15592500558322195
0.1721137166030489,0.2144491379595453
0.3041520234488211,0.15689402320837953
0.2387449791879537,0.32082797506607963
0.1521527566566266,0.18658712788824147
0.0864694518583223,0.16785654378361337
0.0573248212003262,0.12227407834959997
0.1182240691544302,0.09346109399387022
0.1719970701071127,0.1711371849183594
0.2651261820097843,0.1800624837980993
0.0,0.26394636485227735
0.0089522046555499,-0.03349937229365016
0.0153857616787843,0.13399061178114322
0.0950540170642087,0.05829240439259137
0.2456190000296169,0.1333302836672671
0.5448911840133884,0.24442340554190709
0.8776820828681219,0.4969389961927493
0.969161691486338,0.7092919300801028
0.5459846192787351,0.741278828420104
0.642617385512121,0.3992103754526965
1.0,0.7943880416139716
0.9756936182954332,0.9292837080791567
0.6657171759613751,0.7418573057366072
0.5638052290200144,0.5881331868433406
0.7060841999659433,0.620027912519682
0.4420459941068457,0.7244107763636163
