"日期","收入预估~iPad"
"2024-04-10","32207"
"2024-04-09","49545"
"2024-04-08","54687"
"2024-04-07","115525"
"2024-04-06","89383"
"2024-04-05","35152"
"2024-04-04","31375"
"2024-04-03","35142"
"2024-04-02","54652"
"2024-04-01","54969"
"2024-03-31","54940"
"2024-03-30","44991"
"2024-03-29","45149"
"2024-03-28","52981"
"2024-03-27","94653"
"2024-03-26","80218"
"2024-03-25","117420"
"2024-03-24","116025"
"2024-03-23","113694"
"2024-03-22","32165"
"2024-03-21","55039"
"2024-03-20","53129"
"2024-03-19","81066"
"2024-03-18","115555"
"2024-03-17","93954"
"2024-03-16","74873"
"2024-03-15","46442"
"2024-03-14","93312"
"2024-03-13","100993"
"2024-03-12","115204"
"2024-03-11","117788"
"2024-03-10","117778"
"2024-03-09","74296"
"2024-03-08","70118"
"2024-03-07","101254"
"2024-03-06","53289"
"2024-03-05","74432"
"2024-03-04","93969"
"2024-03-03","94016"
"2024-03-02","70627"
"2024-03-01","53464"
"2024-02-29","113726"
"2024-02-28","115297"
"2024-02-27","115354"
"2024-02-26","117287"
"2024-02-25","117272"
"2024-02-24","117670"
"2024-02-23","38160"
"2024-02-22","51789"
"2024-02-21","47936"
"2024-02-20","114490"
"2024-02-19","114167"
"2024-02-18","94687"
"2024-02-17","94335"
"2024-02-16","77930"
"2024-02-15","94315"
"2024-02-14","80656"
"2024-02-13","79454"
"2024-02-12","115396"
"2024-02-11","83281"
"2024-02-10","113879"
"2024-02-09","71064"
"2024-02-08","38540"
"2024-02-07","29122"
"2024-02-06","45088"
"2024-02-05","41496"
"2024-02-04","42194"
"2024-02-03","52640"
"2024-02-02","54800"
"2024-02-01","55294"
"2024-01-31","47744"
"2024-01-30","94534"
"2024-01-29","94692"
"2024-01-28","94275"
"2024-01-27","94593"
"2024-01-26","47604"
"2024-01-25","54964"
"2024-01-24","38792"
"2024-01-23","59388"
"2024-01-22","44856"
"2024-01-21","74834"
"2024-01-20","30351"
"2024-01-19","42153"
"2024-01-18","40208"
"2024-01-17","43512"
"2024-01-16","54630"
"2024-01-15","38730"
"2024-01-14","60523"
"2024-01-13","45045"
"2024-01-12","51677"
"2024-01-11","38118"
"2024-01-10","55016"
"2024-01-09","54930"
"2024-01-08","38660"
"2024-01-07","60511"
"2024-01-06","60235"
"2024-01-05","65152"
"2024-01-04","47409"
"2024-01-03","34351"
"2024-01-02","44872"
"2024-01-01","44469"
"2023-12-31","115628"
"2023-12-30","94617"
"2023-12-29","71553"
"2023-12-28","32710"
"2023-12-27","43930"
"2023-12-26","34913"
"2023-12-25","54752"
"2023-12-24","47929"
"2023-12-23","52096"
"2023-12-22","54963"
"2023-12-21","55080"
"2023-12-20","38659"
"2023-12-19","47795"
"2023-12-18","94602"
"2023-12-17","94679"
"2023-12-16","94557"
"2023-12-15","71107"
"2023-12-14","38464"
"2023-12-13","94735"
"2023-12-12","85675"
"2023-12-11","94765"
"2023-12-10","94173"
"2023-12-09","70313"
"2023-12-08","54668"
"2023-12-07","45131"
"2023-12-06","47981"
"2023-12-05","74680"
"2023-12-04","74726"
"2023-12-03","84026"
"2023-12-02","115676"
"2023-12-01","71234"
"2023-11-30","41343"
"2023-11-29","41588"
"2023-11-28","54567"
"2023-11-27","54824"
"2023-11-26","55086"
"2023-11-25","54556"
"2023-11-24","54906"
"2023-11-23","53450"
"2023-11-22","93649"
"2023-11-21","94598"
"2023-11-20","94518"
"2023-11-19","117193"
"2023-11-18","115756"
"2023-11-17","113998"
"2023-11-16","46152"
"2023-11-15","41491"
"2023-11-14","47823"
"2023-11-13","42364"
"2023-11-12","46115"
"2023-11-11","51184"
"2023-11-10","34905"
"2023-11-09","37473"
"2023-11-08","53096"
"2023-11-07","74855"
"2023-11-06","94158"
"2023-11-05","115552"
"2023-11-04","94433"
"2023-11-03","70669"
"2023-11-02","33317"
"2023-11-01","33028"
"2023-10-31","54921"
"2023-10-30","53142"
"2023-10-29","74845"
"2023-10-28","95353"
"2023-10-27","46403"
"2023-10-26","34894"
"2023-10-25","38674"
"2023-10-24","74375"
"2023-10-23","94679"
"2023-10-22","89285"
"2023-10-21","87139"
"2023-10-20","46480"
"2023-10-19","34975"
"2023-10-18","36787"
"2023-10-17","54971"
"2023-10-16","42459"
"2023-10-15","74587"
"2023-10-14","74479"
"2023-10-13","70566"
"2023-10-12","45652"
"2023-10-11","81698"
"2023-10-10","94661"
"2023-10-09","94376"
"2023-10-08","95246"
"2023-10-07","94090"
"2023-10-06","94713"
"2023-10-05","94588"
"2023-10-04","116342"
"2023-10-03","116103"
"2023-10-02","74913"
"2023-10-01","74679"
"2023-09-30","94769"
"2023-09-29","74659"
"2023-09-28","74547"
"2023-09-27","35133"
"2023-09-26","59159"
"2023-09-25","94013"
"2023-09-24","116036"
"2023-09-23","74577"
"2023-09-22","54768"
"2023-09-21","34131"
"2023-09-20","31252"
"2023-09-19","74785"
"2023-09-18","87158"
"2023-09-17","115995"
"2023-09-16","114329"
"2023-09-15","64422"
"2023-09-14","37086"
"2023-09-13","45503"
"2023-09-12","74353"
"2023-09-11","93892"
"2023-09-10","94483"
"2023-09-09","98651"
"2023-09-08","44973"
"2023-09-07","34897"
"2023-09-06","32822"
"2023-09-05","44784"
"2023-09-04","74301"
"2023-09-03","94194"
"2023-09-02","50817"
"2023-09-01","47886"
"2023-08-31","94481"
"2023-08-30","97893"
"2023-08-29","115678"
"2023-08-28","113689"
"2023-08-27","115432"
"2023-08-26","114163"
"2023-08-25","116184"
"2023-08-24","74276"
"2023-08-23","74369"
"2023-08-22","74380"
"2023-08-21","94674"
"2023-08-20","74482"
"2023-08-19","74531"
"2023-08-18","52371"
"2023-08-17","76686"
"2023-08-16","97426"
"2023-08-15","94174"
"2023-08-14","94666"
"2023-08-13","93926"
"2023-08-12","74822"
"2023-08-11","74289"
"2023-08-10","74824"
"2023-08-09","97347"
"2023-08-08","115162"
"2023-08-07","85711"
"2023-08-06","94386"
"2023-08-05","94298"
"2023-08-04","114320"
"2023-08-03","41665"
"2023-08-02","74549"
"2023-08-01","76364"
"2023-07-31","115528"
"2023-07-30","115831"
"2023-07-29","115339"
"2023-07-28","94274"
"2023-07-27","61501"
"2023-07-26","46031"
"2023-07-25","48038"
"2023-07-24","74641"
"2023-07-23","74593"
"2023-07-22","74865"
"2023-07-21","75111"
"2023-07-20","94400"
"2023-07-19","97491"
"2023-07-18","116256"
"2023-07-17","114321"
"2023-07-16","115886"
"2023-07-15","113591"
"2023-07-14","115704"
"2023-07-13","114354"
"2023-07-12","116104"
"2023-07-11","94868"
"2023-07-10","94244"
"2023-07-09","70329"
"2023-07-08","45493"
"2023-07-07","94806"
"2023-07-06","82155"
"2023-07-05","94257"
"2023-07-04","70243"
"2023-07-03","54731"
"2023-07-02","42183"
"2023-07-01","74683"
"2023-06-30","83222"
"2023-06-29","84594"
"2023-06-28","109654"
"2023-06-27","94803"
"2023-06-26","116971"
"2023-06-25","117218"
"2023-06-24","117884"
"2023-06-23","117221"
"2023-06-22","117149"
"2023-06-21","115381"
"2023-06-20","116896"
"2023-06-19","117472"
"2023-06-18","116902"
"2023-06-17","117398"
"2023-06-16","89463"
"2023-06-15","47976"
"2023-06-14","97456"
"2023-06-13","94774"
"2023-06-12","115348"
"2023-06-11","116105"
"2023-06-10","115743"
"2023-06-09","114215"
"2023-06-08","80797"
"2023-06-07","97821"
"2023-06-06","115417"
"2023-06-05","115824"
"2023-06-04","115706"
"2023-06-03","113687"
"2023-06-02","114264"
"2023-06-01","116922"
"2023-05-31","114505"
"2023-05-30","115489"
"2023-05-29","115722"
"2023-05-28","120798"
"2023-05-27","120950"
"2023-05-26","59556"
"2023-05-25","29782"
"2023-05-24","44847"
"2023-05-23","52955"
"2023-05-22","74746"
"2023-05-21","74299"
"2023-05-20","78048"
"2023-05-19","70624"
"2023-05-18","54869"
"2023-05-17","55027"
"2023-05-16","44521"
"2023-05-15","93982"
"2023-05-14","94202"
"2023-05-13","94173"
"2023-05-12","107785"
"2023-05-11","70327"
"2023-05-10","81558"
"2023-05-09","38510"
"2023-05-08","74714"
"2023-05-07","74745"
"2023-05-06","46275"
"2023-05-05","45108"
"2023-05-04","54821"
"2023-05-03","54795"
"2023-05-02","48169"
"2023-05-01","76570"
"2023-04-30","93930"
"2023-04-29","88845"
"2023-04-28","71415"
"2023-04-27","40715"
"2023-04-26","84075"
"2023-04-25","94099"
"2023-04-24","94104"
"2023-04-23","93943"
"2023-04-22","94540"
"2023-04-21","115778"
"2023-04-20","93969"
"2023-04-19","5356"
"2023-04-18","4443"
"2023-04-17","5382"
"2023-04-16","115029"
"2023-04-15","85970"
"2023-04-14","115881"
"2023-04-13","79509"
"2023-04-12","127841"
"2023-04-11","128068"
"2023-04-10","128475"
"2023-04-09","61800"
"2023-04-08","79325"
"2023-04-07","127654"
"2023-04-06","127973"
"2023-04-05","128694"
"2023-04-04","127904"
"2023-04-03","177879"
"2023-04-02","177054"
"2023-04-01","176578"
"2023-03-31","52803"
"2023-03-30","41842"
"2023-03-29","60068"
"2023-03-28","60587"
"2023-03-27","56931"
"2023-03-26","56678"
"2023-03-25","127576"
"2023-03-24","79104"
"2023-03-23","79624"
"2023-03-22","79577"
"2023-03-21","127589"
"2023-03-20","177746"
"2023-03-19","177146"
"2023-03-18","176605"
"2023-03-17","177371"
"2023-03-16","177776"
"2023-03-15","177478"
"2023-03-14","176593"
"2023-03-13","176449"
"2023-03-12","176391"
"2023-03-11","176464"
"2023-03-10","177393"
"2023-03-09","79386"
"2023-03-08","79181"
"2023-03-07","128573"
"2023-03-06","176395"
"2023-03-05","176919"
"2023-03-04","186689"
"2023-03-03","128240"
"2023-03-02","128020"
"2023-03-01","127589"
"2023-02-28","128051"
"2023-02-27","127714"
"2023-02-26","62189"
"2023-02-25","61909"
"2023-02-24","79264"
"2023-02-23","79352"
"2023-02-22","128064"
"2023-02-21","127747"
"2023-02-20","128601"
"2023-02-19","128013"
"2023-02-18","128527"
"2023-02-17","56713"
"2023-02-16","56820"
"2023-02-15","56995"
