"日期","下载量预估~iPhone"
"2024-04-10","58875"
"2024-04-09","44463"
"2024-04-08","110206"
"2024-04-07","109758"
"2024-04-06","110136"
"2024-04-05","110202"
"2024-04-04","54407"
"2024-04-03","42321"
"2024-04-02","50746"
"2024-04-01","80430"
"2024-03-31","56563"
"2024-03-30","43353"
"2024-03-29","58515"
"2024-03-28","58724"
"2024-03-27","58778"
"2024-03-26","38919"
"2024-03-25","107968"
"2024-03-24","107418"
"2024-03-23","74517"
"2024-03-22","39926"
"2024-03-21","45737"
"2024-03-20","90978"
"2024-03-19","110468"
"2024-03-18","110317"
"2024-03-17","109729"
"2024-03-16","79708"
"2024-03-15","91289"
"2024-03-14","78864"
"2024-03-13","95900"
"2024-03-12","108983"
"2024-03-11","110475"
"2024-03-10","110323"
"2024-03-09","108113"
"2024-03-08","91270"
"2024-03-07","108515"
"2024-03-06","110413"
"2024-03-05","109915"
"2024-03-04","113191"
"2024-03-03","110251"
"2024-03-02","74887"
"2024-03-01","74727"
"2024-02-29","90816"
"2024-02-28","109928"
"2024-02-27","110104"
"2024-02-26","112643"
"2024-02-25","113259"
"2024-02-24","110203"
"2024-02-23","112680"
"2024-02-22","113258"
"2024-02-21","112382"
"2024-02-20","112766"
"2024-02-19","112437"
"2024-02-18","113100"
"2024-02-17","113659"
"2024-02-16","112720"
"2024-02-15","113381"
"2024-02-14","112886"
"2024-02-13","112689"
"2024-02-12","113438"
"2024-02-11","110000"
"2024-02-10","110063"
"2024-02-09","109895"
"2024-02-08","109710"
"2024-02-07","113381"
"2024-02-06","112738"
"2024-02-05","112752"
"2024-02-04","109669"
"2024-02-03","108206"
"2024-02-02","108568"
"2024-02-01","108407"
"2024-01-31","110373"
"2024-01-30","110302"
"2024-01-29","110123"
"2024-01-28","108992"
"2024-01-27","99058"
"2024-01-26","73329"
"2024-01-25","78080"
"2024-01-24","45355"
"2024-01-23","45199"
"2024-01-22","107222"
"2024-01-21","106916"
"2024-01-20","98828"
"2024-01-19","92948"
"2024-01-18","74072"
"2024-01-17","73624"
"2024-01-16","107230"
"2024-01-15","109073"
"2024-01-14","108636"
"2024-01-13","95546"
"2024-01-12","97936"
"2024-01-11","90525"
"2024-01-10","100848"
"2024-01-09","107178"
"2024-01-08","110460"
"2024-01-07","130421"
"2024-01-06","130057"
"2024-01-05","130427"
"2024-01-04","136844"
"2024-01-03","130398"
"2024-01-02","136698"
"2024-01-01","130116"
"2023-12-31","110054"
"2023-12-30","108231"
"2023-12-29","108454"
"2023-12-28","123093"
"2023-12-27","138982"
"2023-12-26","109749"
"2023-12-25","109441"
"2023-12-24","110571"
"2023-12-23","109799"
"2023-12-22","108553"
"2023-12-21","106642"
"2023-12-20","132260"
"2023-12-19","109962"
"2023-12-18","109835"
"2023-12-17","110528"
"2023-12-16","110006"
"2023-12-15","122545"
"2023-12-14","113234"
"2023-12-13","132306"
"2023-12-12","112368"
"2023-12-11","113270"
"2023-12-10","113835"
"2023-12-09","113039"
"2023-12-08","109932"
"2023-12-07","132405"
"2023-12-06","110445"
"2023-12-05","136923"
"2023-12-04","113771"
"2023-12-03","112969"
"2023-12-02","113277"
"2023-12-01","74628"
"2023-11-30","74411"
"2023-11-29","58413"
"2023-11-28","44347"
"2023-11-27","91165"
"2023-11-26","108271"
"2023-11-25","107119"
"2023-11-24","58812"
"2023-11-23","42478"
"2023-11-22","43087"
"2023-11-21","60162"
"2023-11-20","122327"
"2023-11-19","108862"
"2023-11-18","108511"
"2023-11-17","68450"
"2023-11-16","42648"
"2023-11-15","42629"
"2023-11-14","42489"
"2023-11-13","45352"
"2023-11-12","91445"
"2023-11-11","108260"
"2023-11-10","58728"
"2023-11-09","46309"
"2023-11-08","43523"
"2023-11-07","91631"
"2023-11-06","108792"
"2023-11-05","109653"
"2023-11-04","110550"
"2023-11-03","90662"
"2023-11-02","54950"
"2023-11-01","74835"
"2023-10-31","107519"
"2023-10-30","108447"
"2023-10-29","109538"
"2023-10-28","110208"
"2023-10-27","81252"
"2023-10-26","99360"
"2023-10-25","107407"
"2023-10-24","107420"
"2023-10-23","108054"
"2023-10-22","112795"
"2023-10-21","98520"
"2023-10-20","44359"
"2023-10-19","51996"
"2023-10-18","35214"
"2023-10-17","75079"
"2023-10-16","107178"
"2023-10-15","112667"
"2023-10-14","110297"
"2023-10-13","99023"
"2023-10-12","80568"
"2023-10-11","80596"
"2023-10-10","87421"
"2023-10-09","81287"
"2023-10-08","90888"
"2023-10-07","141006"
"2023-10-06","112635"
"2023-10-05","113197"
"2023-10-04","113333"
"2023-10-03","112713"
"2023-10-02","113181"
"2023-10-01","150218"
"2023-09-30","110060"
"2023-09-29","63938"
"2023-09-28","58626"
"2023-09-27","51608"
"2023-09-26","48259"
"2023-09-25","45816"
"2023-09-24","97132"
"2023-09-23","63691"
"2023-09-22","39950"
"2023-09-21","41339"
"2023-09-20","42618"
"2023-09-19","43672"
"2023-09-18","113345"
"2023-09-17","112366"
"2023-09-16","108634"
"2023-09-15","67979"
"2023-09-14","58664"
"2023-09-13","31866"
"2023-09-12","74551"
"2023-09-11","110696"
"2023-09-10","110254"
"2023-09-09","109617"
"2023-09-08","56789"
"2023-09-07","75063"
"2023-09-06","90791"
"2023-09-05","107172"
"2023-09-04","110337"
"2023-09-03","112876"
"2023-09-02","110134"
"2023-09-01","91938"
"2023-08-31","99331"
"2023-08-30","89022"
"2023-08-29","96464"
"2023-08-28","123692"
"2023-08-27","110395"
"2023-08-26","108418"
"2023-08-25","108262"
"2023-08-24","108287"
"2023-08-23","108220"
"2023-08-22","107074"
"2023-08-21","108441"
"2023-08-20","108641"
"2023-08-19","108041"
"2023-08-18","108915"
"2023-08-17","101296"
"2023-08-16","103820"
"2023-08-15","109793"
"2023-08-14","109440"
"2023-08-13","113159"
"2023-08-12","113210"
"2023-08-11","110227"
"2023-08-10","106789"
"2023-08-09","106643"
"2023-08-08","113008"
"2023-08-07","113419"
"2023-08-06","113620"
"2023-08-05","112931"
"2023-08-04","110582"
"2023-08-03","110198"
"2023-08-02","132636"
"2023-08-01","112472"
"2023-07-31","112978"
"2023-07-30","112617"
"2023-07-29","113379"
"2023-07-28","113221"
"2023-07-27","113369"
"2023-07-26","112946"
"2023-07-25","95754"
"2023-07-24","112400"
"2023-07-23","109940"
"2023-07-22","108523"
"2023-07-21","101115"
"2023-07-20","108257"
"2023-07-19","107038"
"2023-07-18","108367"
"2023-07-17","108485"
"2023-07-16","110604"
"2023-07-15","109924"
"2023-07-14","101741"
"2023-07-13","91941"
"2023-07-12","91833"
"2023-07-11","108780"
"2023-07-10","108920"
"2023-07-09","108221"
"2023-07-08","108799"
"2023-07-07","106804"
"2023-07-06","108369"
"2023-07-05","108277"
"2023-07-04","108269"
"2023-07-03","108633"
"2023-07-02","108312"
"2023-07-01","92629"
"2023-06-30","107247"
"2023-06-29","74981"
"2023-06-28","80175"
"2023-06-27","106878"
"2023-06-26","128081"
"2023-06-25","110207"
"2023-06-24","109667"
"2023-06-23","106855"
"2023-06-22","108992"
"2023-06-21","43999"
"2023-06-20","58293"
"2023-06-19","94087"
"2023-06-18","113977"
"2023-06-17","110409"
"2023-06-16","84628"
"2023-06-15","86830"
"2023-06-14","91053"
"2023-06-13","107361"
"2023-06-12","108966"
"2023-06-11","110134"
"2023-06-10","106749"
"2023-06-09","42421"
"2023-06-08","42346"
"2023-06-07","42492"
"2023-06-06","47275"
"2023-06-05","82471"
"2023-06-04","112831"
"2023-06-03","110259"
"2023-06-02","91851"
"2023-06-01","107084"
"2023-05-31","80630"
"2023-05-30","80811"
"2023-05-29","95928"
"2023-05-28","110372"
"2023-05-27","109760"
"2023-05-26","108389"
"2023-05-25","93727"
"2023-05-24","88080"
"2023-05-23","108435"
"2023-05-22","109677"
"2023-05-21","109478"
"2023-05-20","108145"
"2023-05-19","44286"
"2023-05-18","41861"
"2023-05-17","99031"
"2023-05-16","99988"
"2023-05-15","108268"
"2023-05-14","112493"
"2023-05-13","110344"
"2023-05-12","74618"
"2023-05-11","45827"
"2023-05-10","90824"
"2023-05-09","97958"
"2023-05-08","110312"
"2023-05-07","113490"
"2023-05-06","95427"
"2023-05-05","112673"
"2023-05-04","113581"
"2023-05-03","113013"
"2023-05-02","113147"
"2023-05-01","113661"
"2023-04-30","110472"
"2023-04-29","109652"
"2023-04-28","50718"
"2023-04-27","45244"
"2023-04-26","41492"
"2023-04-25","47910"
"2023-04-24","91282"
"2023-04-23","98189"
"2023-04-22","77941"
"2023-04-21","43226"
"2023-04-20","43077"
"2023-04-19","49396"
"2023-04-18","67507"
"2023-04-17","101625"
"2023-04-16","124834"
"2023-04-15","91416"
"2023-04-14","107119"
"2023-04-13","113061"
"2023-04-12","113362"
"2023-04-11","113300"
"2023-04-10","113282"
"2023-04-09","112478"
"2023-04-08","110524"
"2023-04-07","113064"
"2023-04-06","112224"
"2023-04-05","113377"
"2023-04-04","113085"
"2023-04-03","112741"
"2023-04-02","112960"
"2023-04-01","108260"
"2023-03-31","110516"
"2023-03-30","109704"
"2023-03-29","109680"
"2023-03-28","112765"
"2023-03-27","109883"
"2023-03-26","109745"
"2023-03-25","107025"
"2023-03-24","110021"
"2023-03-23","110078"
"2023-03-22","113518"
"2023-03-21","113863"
"2023-03-20","112086"
"2023-03-19","112515"
"2023-03-18","113201"
"2023-03-17","109752"
"2023-03-16","112835"
"2023-03-15","112762"
"2023-03-14","113469"
"2023-03-13","112742"
"2023-03-12","110262"
"2023-03-11","110380"
"2023-03-10","112543"
"2023-03-09","112596"
"2023-03-08","112960"
"2023-03-07","112683"
