date,revenue,download,reviews,rating
2020/1/31,0.11149669265649942,0.14675451646599066,0.0628911852752655,0.9999999999999999
2020/2/29,0.04015889336272582,0.08146284025580455,0.03681977158251617,0.8255126933156806
2020/3/31,0.10345224365396433,0.10508386437763131,0.15310756094802977,0.8956689902106586
2020/4/30,0.07739558897552812,0.07169719766968533,0.0805035738587557,0.8461421337796126
2020/5/31,0.10335888672573257,0.05291116714153335,0.0749925110647778,0.9943014935567155
2020/6/30,0.05981772543979191,0.0604284985892059,0.08988507708147764,0.9073665617887458
2020/7/31,0.08409880688102533,0.10277224442395781,0.180000277735346,0.9858127626468972
2020/8/31,0.08975947452574462,0.08839160744854047,0.1053549358530542,0.9259666334868822
2020/9/30,0.05899500943947644,0.08181534370014037,0.03018388063728359,0.882500286324614
2020/10/31,0.08294090012542166,0.026607377002590055,0.0229330042830758,0.8979543281840231
2020/11/30,0.051496256216088,0.03675702300213714,0.008566151599854785,0.8226217130990569
2020/12/31,0.09190008239104008,0.015076019061200494,0.0,0.8264199425551731
2021/1/31,0.6160364799621717,0.02927320608592307,0.07633952749282352,0.8612173442859382
2021/2/28,0.6108370768912775,0.04646613707803885,0.05694169739940525,0.6783698718572607
2021/3/31,0.9274927050373326,0.011060255424415863,0.013583242242752598,0.7999499709919812
2021/4/30,0.8884842453565983,0.021034299863690598,0.025325495906379385,0.7434616882825912
2021/5/31,0.8941376497548267,0.025759914881712476,0.019062563854331784,0.7628439524114937
2021/6/30,0.8977326662380382,0.07504966928638483,0.06362520011823591,0.774237409618075
2021/7/31,0.6955392658691363,0.05012456438984097,0.09345992774913356,0.7834819462695864
2021/8/31,0.9006198712804229,0.09630954101989567,0.14203583976257594,0.7285748583986033
2021/9/30,0.5149414664649613,0.051088202492570435,0.9999999999999999,0.22565840161372142
2021/10/31,0.9999999999999999,0.039722259502815674,0.17452492377156664,0.4308005758868957
2021/11/30,0.32697426418712994,0.048410400676347075,0.08202516678999439,0.5474953403252923
2021/12/31,0.16438437707315245,0.025001313709166743,0.05403737920992229,0.6255357953923627
2022/1/31,0.8598136612498665,0.07653633735178524,0.2531974281706961,0.5269523685318747
2022/2/28,0.7689032204040539,0.06695845294939895,0.11006651761536432,0.556866746834025
2022/3/31,0.9273070080353779,0.036974146250890655,0.048214856063656934,0.6107248084048037
2022/4/30,0.8476261111839049,0.05796048424475167,0.10406148267030632,0.4239333289407258
2022/5/31,0.9409832331021458,0.027397864715564324,0.08545718213685607,0.31782698766865036
2022/6/30,0.8711133197836661,0.011500153548415023,0.10554736677134643,0.2952643199824869
2022/7/31,0.86019143077014,0.01346039556938291,0.14833051299702227,0.31085708522769573
2022/8/31,0.9144055292609891,0.03292825432932493,0.303648053769563,0.30427988818204177
2022/9/30,0.7189787307286298,0.010311712284896572,0.11850570448562422,0.2663679375552328
2022/10/31,0.5924919724178698,0.009539330720376273,0.04267998738288,0.13993489970930506
2022/11/30,0.8127602844907121,0.007872873625621935,0.046104067434142006,0.3055134963723659
2022/12/31,0.6038236053767779,0.010382575181183136,0.039394775004612394,0.3452221330054799
2023/1/31,0.8828397828218281,0.041745938703495696,0.0928905702898565,0.4875632509358002
2023/2/28,0.7226711554175603,0.006927842883991375,0.03708560398510546,0.1832645750434666
2023/3/31,0.7603587049508836,0.005693811326734565,0.028477792083352348,0.2591726408930245
2023/4/30,0.4926311943266103,0.01191162696169879,0.05498167938628424,0.10245887158738953
2023/5/31,0.08694375596937975,0.007965256785645226,0.03149320441123083,0.2153258772379677
2023/6/30,0.03242577938589275,0.034012359545754774,0.05026612997617428,0.0
2023/7/31,0.07904132764656635,0.01697316655962673,0.303423881668872,0.11741244656693572
2023/8/31,0.07113095817425608,0.011668181604054197,0.8620369507039598,0.05089294436637409
2023/9/30,0.05928110064848524,0.044489681229146295,0.10958643223158368,0.2675107513510714
2023/10/31,0.06444836788879338,0.007183607854212766,0.08072179448774691,0.2560421785118234
2023/11/30,0.045512632351281,0.004246774107166607,0.04683609845321251,0.20602272524729204
2023/12/31,0.07444700143002014,0.006275314901601875,0.05524156031717376,0.22765318654573696
2024/1/31,0.0,0.042497002051668155,0.13302134396133924,0.35054601872949886
2024/2/29,0.031492064838646305,0.014974307307783563,0.13282494539524717,0.31406761968985963
2024/3/31,0.08920319054726877,0.009234515949087153,0.0687910775536277,0.342317393458206
2024/4/30,0.06069323717182351,0.01930132526382833,0.04726658823949515,0.3527808699843351
2024/5/31,0.08413323466939293,0.008678749664649894,0.047835945698772205,0.3520817787013527
2024/6/30,0.033466053829436904,0.03362055355620269,0.0957492605296413,0.31519346223117495
2024/7/31,0.07451337136240066,0.015623141433207687,0.14774726877044578,0.3191606523606678
2024/8/31,0.08658993902197898,0.5076366238574318,0.136252993094309,0.3608559581770865
2024/9/30,0.053438787279298516,1.0,0.042065001973904774,0.37217844526802213
2024/10/31,0.09260586012284955,0.0006194363359048136,0.038587358677344925,0.351228780839864
2024/11/30,0.05667441832613285,0.02123750379969433,0.02451014428351224,0.27054564574654283
2024/12/31,0.08314867739670906,0.0,0.052702265725276094,0.4693410947911423
