date,points
2020/8/3,4.672354949
2020/8/4,4.652136007
2020/8/5,4.665748393
2020/8/6,4.628342246
2020/8/7,4.640566741
2020/8/8,4.681639086
2020/8/9,4.701388889
2020/8/10,4.725019984
2020/8/11,4.697792869
2020/8/12,4.681710214
2020/8/13,4.652777778
2020/8/14,4.750246792
2020/8/15,4.685798381
2020/8/16,4.720198675
2020/8/17,4.67953668
2020/8/18,4.616680708
2020/8/19,4.665
2020/8/20,1
2020/8/21,4.690690691
2020/8/22,4.74089404
2020/8/23,4.619469027
2020/8/24,4.719172633
2020/8/25,4.689469639
2020/8/26,4.668841762
2020/8/27,4.764008621
2020/8/28,4.658446363
2020/8/29,4.744650499
2020/8/30,4.719771242
2020/8/31,4.785083415
2020/9/1,4.647619048
2020/9/2,4.782729805
2020/9/3,4.718032787
2020/9/4,4.653333333
2020/9/5,4.829741379
2020/9/6,4.723048327
2020/9/7,4.74742268
2020/9/8,4.549206349
2020/9/9,4.62305296
2020/9/10,4.648648649
2020/9/11,4.818181818
2020/9/12,4.686375321
2020/9/13,4.766055046
2020/9/14,4.803589232
2020/9/15,4.754578755
2020/9/16,4.731225296
2020/9/17,4.552173913
2020/9/18,4.620253165
2020/9/19,4.658666667
2020/9/20,4.77682811
2020/9/21,4.688470067
2020/9/22,4.720338983
2020/9/23,4.839285714
2020/9/24,4.913669065
2020/9/25,4.813586098
2020/9/26,4.900849858
2020/9/27,4.783650458
2020/9/28,4.746835443
2020/9/29,4.75477707
2020/9/30,4.786549708
2020/10/1,4.923753666
2020/10/2,4.841880342
2020/10/3,4.750716332
2020/10/4,4.772538141
2020/10/5,4.804297774
2020/10/6,4.734991424
2020/10/7,4.761352657
2020/10/8,4.743743744
2020/10/9,4.729833547
2020/10/10,4.85
2020/10/11,4.853333333
2020/10/12,4.676751592
2020/10/13,4.745945946
2020/10/14,4.71657754
2020/10/15,4.557788945
2020/10/16,4.63800905
2020/10/17,4.881619938
2020/10/18,4.730496454
2020/10/19,4.749266862
2020/10/20,4.502040816
2020/10/21,4.647435897
2020/10/22,4.742331288
2020/10/23,4.777777778
2020/10/24,4.67752443
2020/10/25,4.751958225
2020/10/26,4.732885906
2020/10/27,4.779661017
2020/10/28,4.690821256
2020/10/29,4.644970414
2020/10/30,4.652173913
2020/10/31,4.648018648
2020/11/1,4.644197952
2020/11/2,4.732925586
2020/11/3,4.6875
2020/11/4,4.587548638
2020/11/5,4.522633745
2020/11/6,4.521885522
2020/11/7,4.788043478
2020/11/8,4.692488263
2020/11/9,4.701754386
2020/11/10,4.767955801
2020/11/11,4.536231884
2020/11/12,4.583333333
2020/11/13,4.82278481
2020/11/14,4.757142857
2020/11/15,4.791777188
2020/11/16,4.691292876
2020/11/17,4.68115942
2020/11/18,4.725274725
2020/11/19,4.669642857
2020/11/20,4.762626263
2020/11/21,4.765363128
2020/11/22,4.765877958
2020/11/23,4.738186462
2020/11/24,4.687697161
2020/11/25,4.821596244
2020/11/26,4.590604027
2020/11/27,4.844357977
2020/11/28,4.763231198
2020/11/29,4.757609921
2020/11/30,4.759663866
2020/12/1,4.610526316
2020/12/2,4.815920398
2020/12/3,4.673611111
2020/12/4,4.534883721
2020/12/5,4.698412698
2020/12/6,4.716083916
2020/12/7,4.769354839
2020/12/8,4.725321888
2020/12/9,4.605150215
2020/12/10,4.625531915
2020/12/11,4.715736041
2020/12/12,4.854545455
2020/12/13,4.681943171
2020/12/14,4.724770642
2020/12/15,4.76344086
2020/12/16,4.635
2020/12/17,4.525510204
2020/12/18,4.48427673
2020/12/19,4.795252226
2020/12/20,4.741758242
2020/12/21,4.793918919
2020/12/22,4.70718232
2020/12/23,4.751633987
2020/12/24,4.810650888
2020/12/25,4.630208333
2020/12/26,4.750809061
2020/12/27,4.806041335
2020/12/28,4.753451677
2020/12/29,#DIV/0!
2020/12/30,4.751642576
2020/12/31,4.717054264
2021/1/1,#DIV/0!
2021/1/2,4.792177914
2021/1/3,4.81981982
2021/1/4,4.78342246
2021/1/5,4.781818182
2021/1/6,4.707894737
2021/1/7,#DIV/0!
2021/1/8,#DIV/0!
2021/1/9,4.688013136
2021/1/10,4.798870056
2021/1/11,4.774760383
2021/1/12,4.677655678
2021/1/13,4.886792453
2021/1/14,4.762162162
2021/1/15,4.74939759
2021/1/16,4.762867647
2021/1/17,4.725301205
2021/1/18,4.734299517
2021/1/19,4.780542986
2021/1/20,4.846625767
2021/1/21,4.785840708
2021/1/22,4.778125
2021/1/23,4.726657645
2021/1/24,4.725856698
2021/1/25,4.863300493
2021/1/26,4.733990148
2021/1/27,4.767313019
2021/1/28,4.794002608
2021/1/29,4.759036145
2021/1/30,4.72148289
2021/1/31,4.657696448
2021/2/1,4.67278798
2021/2/2,4.730286738
2021/2/3,4.720361991
2021/2/4,4.810964083
2021/2/5,4.717605004
2021/2/6,4.766326531
2021/2/7,4.770491803
2021/2/8,4.748049052
2021/2/9,4.742362525
2021/2/10,4.808231993
2021/2/11,4.844677138
2021/2/12,4.848013817
2021/2/13,4.825290165
2021/2/14,4.820027064
2021/2/15,4.798239675
2021/2/16,4.792873051
2021/2/17,4.711731044
2021/2/18,4.733891213
2021/2/19,4.689189189
2021/2/20,4.772563177
2021/2/21,4.706422018
2021/2/22,4.743725231
2021/2/23,4.814241486
2021/2/24,4.776283619
2021/2/25,4.686934023
2021/2/26,4.76161919
2021/2/27,4.749433107
2021/2/28,4.793072015
2021/3/1,4.715920916
2021/3/2,4.715762274
2021/3/3,4.636963696
2021/3/4,4.584
2021/3/5,4.7734375
2021/3/6,4.69535284
2021/3/7,4.753480753
2021/3/8,4.724264706
2021/3/9,4.854368932
2021/3/10,4.712871287
2021/3/11,4.919354839
2021/3/12,4.866013072
2021/3/13,4.76969697
2021/3/14,4.770618557
2021/3/15,4.798165138
2021/3/16,4.784452297
2021/3/17,4.650980392
2021/3/18,4.671814672
2021/3/19,4.787644788
2021/3/20,4.72979798
2021/3/21,4.736736737
2021/3/22,4.762886598
2021/3/23,4.827586207
2021/3/24,4.678571429
2021/3/25,4.279187817
2021/3/26,4.510805501
2021/3/27,4.583497053
2021/3/28,4.704621567
2021/3/29,4.692160612
2021/3/30,4.729824561
2021/3/31,4.38547486
2021/4/1,4.442857143
2021/4/2,4.441595442
2021/4/3,4.555862069
2021/4/4,4.735611511
2021/4/5,4.682268722
2021/4/6,4.747654784
2021/4/7,#DIV/0!
2021/4/8,4.72327044
2021/4/9,4.953974895
2021/4/10,4.735694823
2021/4/11,4.782851817
2021/4/12,4.742117117
2021/4/13,4.577075099
2021/4/14,4.829787234
2021/4/15,4.637735849
2021/4/16,4.794871795
2021/4/17,4.797752809
2021/4/18,4.776896942
2021/4/19,4.792207792
2021/4/20,4.89380531
2021/4/21,4.677272727
2021/4/22,4.452674897
2021/4/23,4.871921182
2021/4/24,4.617283951
2021/4/25,4.716891356
2021/4/26,#DIV/0!
2021/4/27,4.651558074
2021/4/28,4.595833333
2021/4/29,4.570621469
2021/4/30,4.877862595
2021/5/1,4.893145161
2021/5/2,4.789719626
2021/5/3,4.748172218
2021/5/4,4.79204893
2021/5/5,4.740890688
2021/5/6,4.764165391
2021/5/7,4.649769585
2021/5/8,4.763285024
2021/5/9,4.501432665
2021/5/10,4.714728682
2021/5/11,4.672727273
2021/5/12,4.747863248
2021/5/13,4.401433692
2021/5/14,4.616197183
2021/5/15,4.720379147
2021/5/16,4.674846626
2021/5/17,4.743467933
2021/5/18,4.723140496
2021/5/19,4.824267782
2021/5/20,4.748815166
2021/5/21,4.821428571
2021/5/22,4.761517615
2021/5/23,4.761501211
2021/5/24,4.708165997
2021/5/25,4.743589744
2021/5/26,4.657142857
2021/5/27,4.638132296
2021/5/28,4.716535433
2021/5/29,4.630952381
2021/5/30,4.774804905
2021/5/31,4.677697842
2021/6/1,4.872340426
2021/6/2,4.876355748
2021/6/3,4.471311475
2021/6/4,4.448148148
2021/6/5,4.748466258
2021/6/6,4.695027624
2021/6/7,4.750636132
2021/6/8,4.608571429
2021/6/9,4.721003135
2021/6/10,4.708333333
2021/6/11,4.723636364
2021/6/12,4.65942029
2021/6/13,4.760437376
2021/6/14,4.77594123
2021/6/15,4.710633947
2021/6/16,4.732026144
2021/6/17,4.732919255
2021/6/18,4.7265625
2021/6/19,4.669703872
2021/6/20,4.840262582
2021/6/21,4.754076087
2021/6/22,4.83161512
2021/6/23,4.826642336
2021/6/24,4.665083135
2021/6/25,4.69982238
2021/6/26,4.789554531
2021/6/27,4.73046875
2021/6/28,4.804610318
2021/6/29,4.740740741
2021/6/30,4.795514512
2021/7/1,4.838341969
2021/7/2,4.74616172
2021/7/3,4.828426396
2021/7/4,4.836477987
2021/7/5,4.762394761
2021/7/6,4.72737069
2021/7/7,4.731757451
2021/7/8,4.787593985
2021/7/9,4.655276382
2021/7/10,4.731606218
2021/7/11,4.724208376
2021/7/12,4.681093394
2021/7/13,4.761673152
2021/7/14,4.726903553
2021/7/15,4.654983571
2021/7/16,4.810011377
2021/7/17,4.790254237
2021/7/18,4.732978723
2021/7/19,4.723123732
2021/7/20,4.667689162
2021/7/21,4.765607886
2021/7/22,4.735187424
2021/7/23,4.658256881
2021/7/24,4.765273312
2021/7/25,4.758449304
2021/7/26,4.708533078
2021/7/27,4.738872404
2021/7/28,4.749080882
2021/7/29,4.708206687
2021/7/30,4.722689076
2021/7/31,4.752145923
2021/8/1,4.77262931
2021/8/2,4.696109359
2021/8/3,4.758176412
2021/8/4,4.735202492
2021/8/5,4.685869565
2021/8/6,4.734032412
2021/8/7,4.700296736
2021/8/8,4.76109215
2021/8/9,4.717779868
2021/8/10,4.685823755
2021/8/11,4.677259186
2021/8/12,4.721212121
2021/8/13,4.761316872
2021/8/14,4.678703704
2021/8/15,4.727449079
2021/8/16,4.75721393
2021/8/17,4.770242915
2021/8/18,4.671193016
2021/8/19,4.682317682
2021/8/20,4.642430279
2021/8/21,4.673975214
2021/8/22,4.747711089
2021/8/23,4.724137931
2021/8/24,4.638748739
2021/8/25,4.680443548
2021/8/26,4.707581227
2021/8/27,4.678383128
2021/8/28,4.716849452
2021/8/29,4.68503937
2021/8/30,4.90212766
2021/8/31,4.738402062
2021/9/1,4.706539075
2021/9/2,4.306784661
2021/9/3,4.412844037
2021/9/4,4.317708333
2021/9/5,4.405405405
2021/9/6,4.465553236
2021/9/7,4.581395349
2021/9/8,4.423868313
2021/9/9,4.493464052
2021/9/10,4.216216216
2021/9/11,4.438636364
2021/9/12,4.623605948
2021/9/13,4.654013015
2021/9/14,4.556923077
2021/9/15,4.571865443
2021/9/16,4.561837456
2021/9/17,4.405511811
2021/9/18,4.497991968
2021/9/19,4.480176211
2021/9/20,4.669284468
2021/9/21,4.683893196
2021/9/22,4.683476395
2021/9/23,4.534562212
2021/9/24,4.564593301
2021/9/25,4.609498681
2021/9/26,4.70754717
2021/9/27,4.74015748
2021/9/28,4.539906103
2021/9/29,4.819444444
2021/9/30,4.674603175
2021/10/1,4.722707424
2021/10/2,4.71533517
2021/10/3,4.715481172
2021/10/4,4.689687796
2021/10/5,4.683157895
2021/10/6,4.645554202
2021/10/7,4.685601057
2021/10/8,4.70862069
2021/10/9,4.404040404
2021/10/10,4.808988764
2021/10/11,4.697632058
2021/10/12,4.557692308
2021/10/13,4.597484277
2021/10/14,#DIV/0!
2021/10/15,4.182274247
2021/10/16,4.434097421
2021/10/17,4.664213431
2021/10/18,4.699310345
2021/10/19,4.695402299
2021/10/20,4.414201183
2021/10/21,4.633540373
2021/10/22,4.356687898
2021/10/23,4.581871345
2021/10/24,4.68202765
2021/10/25,4.714477212
2021/10/26,4.842465753
2021/10/27,4.422360248
2021/10/28,4.6
2021/10/29,4.557939914
2021/10/30,4.534526854
2021/10/31,4.791
2021/11/1,4.704918033
2021/11/2,4.612334802
2021/11/3,4.519417476
2021/11/4,4.635193133
2021/11/5,4.689922481
2021/11/6,4.806701031
2021/11/7,4.766509434
2021/11/8,4.637784091
2021/11/9,4.7625
2021/11/10,4.71659919
2021/11/11,4.609467456
2021/11/12,4.755980861
2021/11/13,4.700520833
2021/11/14,4.761174968
2021/11/15,4.728813559
2021/11/16,4.722222222
2021/11/17,4.734513274
2021/11/18,4.585635359
2021/11/19,4.682242991
2021/11/20,4.687306502
2021/11/21,4.723529412
2021/11/22,4.750330251
2021/11/23,4.582474227
2021/11/24,4.605042017
2021/11/25,4.475247525
2021/11/26,4.340909091
2021/11/27,4.621890547
2021/11/28,4.58891455
2021/11/29,4.57793765
2021/11/30,4.666666667
2021/12/1,4.643564356
2021/12/2,4.489583333
2021/12/3,4.722222222
2021/12/4,4.570621469
2021/12/5,4.666666667
2021/12/6,4.634146341
2021/12/7,4.346153846
2021/12/8,4.496062992
2021/12/9,4.781818182
2021/12/10,4.284313725
2021/12/11,4.549222798
2021/12/12,4.402197802
2021/12/13,4.577656676
2021/12/14,4.349056604
2021/12/15,4.402173913
2021/12/16,4.606741573
2021/12/17,4.02027027
2021/12/18,4.482954545
2021/12/19,4.44988345
2021/12/20,4.397260274
2021/12/21,4.366906475
2021/12/22,4.338582677
2021/12/23,4
2021/12/24,4.033333333
2021/12/25,4.229591837
2021/12/26,4.360277136
2021/12/27,4.554347826
2021/12/28,4.380597015
2021/12/29,4.277372263
2021/12/30,4.296052632
2021/12/31,4.15503876
2022/1/1,4.553763441
2022/1/2,4.472868217
2022/1/3,4.411111111
2022/1/4,4.368421053
2022/1/5,#DIV/0!
2022/1/6,#DIV/0!
2022/1/7,#DIV/0!
2022/1/8,4.31661442
2022/1/9,#DIV/0!
2022/1/10,#DIV/0!
2022/1/11,4.973831776
2022/1/12,4.558252427
2022/1/13,4.457489879
2022/1/14,4.53633218
2022/1/15,4.507462687
2022/1/16,4.50524109
2022/1/17,4.656790123
2022/1/18,4.39869281
2022/1/19,4.587719298
2022/1/20,4.676605505
2022/1/21,4.666011788
2022/1/22,4.791411043
2022/1/23,4.870654095
2022/1/24,4.859926277
2022/1/25,4.824108241
2022/1/26,4.795818815
2022/1/27,4.773584906
2022/1/28,4.792772861
2022/1/29,4.782740348
2022/1/30,4.780608634
2022/1/31,4.77916361
2022/2/1,4.81948782
2022/2/2,4.82021753
2022/2/3,4.768856448
2022/2/4,4.831852358
2022/2/5,4.769931663
2022/2/6,4.81265012
2022/2/7,4.806767587
2022/2/8,4.851711027
2022/2/9,#DIV/0!
2022/2/10,4.719038817
2022/2/11,4.786528497
2022/2/12,4.778846154
2022/2/13,4.804303279
2022/2/14,4.819161677
2022/2/15,4.771498771
2022/2/16,4.803977273
2022/2/17,4.724913495
2022/2/18,4.747035573
2022/2/19,4.764390897
2022/2/20,4.760589319
2022/2/21,4.780327869
2022/2/22,4.64
2022/2/23,4.780383795
2022/2/24,4.704805492
2022/2/25,4.725060827
2022/2/26,4.755725191
2022/2/27,4.79981203
2022/2/28,4.780580076
2022/3/1,4.722397476
2022/3/2,4.768656716
2022/3/3,4.739726027
2022/3/4,4.715686275
2022/3/5,4.873150106
2022/3/6,4.78018018
2022/3/7,4.776995305
2022/3/8,4.855737705
2022/3/9,4.659375
2022/3/10,4.828897338
2022/3/11,4.747826087
2022/3/12,4.783105023
2022/3/13,4.784375
2022/3/14,4.724438903
2022/3/15,4.684350133
2022/3/16,4.676258993
2022/3/17,4.737142857
2022/3/18,4.751527495
2022/3/19,4.779436153
2022/3/20,4.709677419
2022/3/21,4.772375691
2022/3/22,4.797250859
2022/3/23,4.767220903
2022/3/24,4.768577495
2022/3/25,4.705357143
2022/3/26,4.882596685
2022/3/27,4.790863669
2022/3/28,4.946166395
2022/3/29,5
2022/3/30,4.758497317
2022/3/31,4.665441176
2022/4/1,4.787128713
2022/4/2,4.773913043
2022/4/3,#DIV/0!
2022/4/4,#DIV/0!
2022/4/5,4.773860705
2022/4/6,#DIV/0!
2022/4/7,#DIV/0!
2022/4/8,4.778337531
2022/4/9,#DIV/0!
2022/4/10,#DIV/0!
2022/4/11,4.745430464
2022/4/12,#DIV/0!
2022/4/13,4.829103215
2022/4/14,4.75304878
2022/4/15,4.652534562
2022/4/16,4.668
2022/4/17,4.788084766
2022/4/18,4.789556962
2022/4/19,4.767241379
2022/4/20,4.765494137
2022/4/21,4.677265501
2022/4/22,#DIV/0!
2022/4/23,4.786343612
2022/4/24,4.813102119
2022/4/25,4.683624801
2022/4/26,4.801242236
2022/4/27,4.73046875
2022/4/28,4.782369146
2022/4/29,4.591943958
2022/4/30,4.730232558
2022/5/1,4.766584767
2022/5/2,4.818253968
2022/5/3,4.782922201
2022/5/4,4.816901408
2022/5/5,4.767463235
2022/5/6,#DIV/0!
2022/5/7,4.712837838
2022/5/8,#DIV/0!
2022/5/9,4.788343558
2022/5/10,#DIV/0!
2022/5/11,4.841304348
2022/5/12,4.770940171
2022/5/13,4.702508961
2022/5/14,4.862266858
2022/5/15,4.788704966
2022/5/16,#DIV/0!
2022/5/17,4.770967742
2022/5/18,4.767361111
2022/5/19,4.860215054
2022/5/20,4.623511905
2022/5/21,4.702970297
2022/5/22,4.808564232
2022/5/23,4.772177419
2022/5/24,4.711462451
2022/5/25,4.695767196
2022/5/26,#DIV/0!
2022/5/27,#DIV/0!
2022/5/28,4.725643897
2022/5/29,4.82016129
2022/5/30,4.798093588
2022/5/31,#DIV/0!
2022/6/1,4.743618202
2022/6/2,#DIV/0!
2022/6/3,4.73377097
2022/6/4,#DIV/0!
2022/6/5,4.791521487
2022/6/6,4.78061674
2022/6/7,4.753604194
2022/6/8,#DIV/0!
2022/6/9,4.720090293
2022/6/10,4.719262295
2022/6/11,4.743718593
2022/6/12,4.817819149
2022/6/13,#DIV/0!
2022/6/14,4.781362007
2022/6/15,4.917562724
2022/6/16,#DIV/0!
2022/6/17,4.686141304
2022/6/18,4.76980568
2022/6/19,#DIV/0!
2022/6/20,4.804347826
2022/6/21,4.824324324
2022/6/22,4.789795918
2022/6/23,4.819444444
2022/6/24,#DIV/0!
2022/6/25,4.704873646
2022/6/26,4.741459627
2022/6/27,4.769565217
2022/6/28,#DIV/0!
2022/6/29,4.737951807
2022/6/30,4.804769001
2022/7/1,4.845229682
2022/7/2,4.807860262
2022/7/3,4.798989899
2022/7/4,4.748743719
2022/7/5,#DIV/0!
2022/7/6,4.811352966
2022/7/7,4.723012552
2022/7/8,4.802315227
2022/7/9,4.811433447
2022/7/10,4.763768116
2022/7/11,4.763157895
2022/7/12,4.775158658
2022/7/13,#DIV/0!
2022/7/14,4.771912351
2022/7/15,4.696223317
2022/7/16,4.750214592
2022/7/17,4.853333333
2022/7/18,4.731958763
2022/7/19,4.679180887
2022/7/20,4.747790218
2022/7/21,4.788753799
2022/7/22,4.713855422
2022/7/23,#DIV/0!
2022/7/24,4.725594949
2022/7/25,4.716390424
2022/7/26,4.75
2022/7/27,4.756198347
2022/7/28,4.707720588
2022/7/29,#DIV/0!
2022/7/30,4.703020134
2022/7/31,4.763578275
2022/8/1,4.74301676
2022/8/2,4.706624606
2022/8/3,4.754574812
2022/8/4,4.696018377
2022/8/5,4.45959596
2022/8/6,4.543269231
2022/8/7,4.599353796
2022/8/8,#DIV/0!
2022/8/9,4.709248555
2022/8/10,4.665490888
2022/8/11,4.65893588
2022/8/12,4.598924731
2022/8/13,#DIV/0!
2022/8/14,4.626817447
2022/8/15,4.710447761
2022/8/16,4.677119628
2022/8/17,4.64047619
2022/8/18,4.65470852
2022/8/19,4.690265487
2022/8/20,4.639658849
2022/8/21,4.879490151
2022/8/22,4.654279279
2022/8/23,4.687285223
2022/8/24,4.75
2022/8/25,4.678980892
2022/8/26,4.76
2022/8/27,4.652275379
2022/8/28,4.648809524
2022/8/29,4.628590971
2022/8/30,5
2022/8/31,#DIV/0!
2022/9/1,4.68355222
2022/9/2,#DIV/0!
2022/9/3,#DIV/0!
2022/9/4,4.672192513
2022/9/5,4.690629012
2022/9/6,4.806451613
2022/9/7,4.688385269
2022/9/8,#DIV/0!
2022/9/9,4.749638205
2022/9/10,4.707979626
2022/9/11,#DIV/0!
2022/9/12,4.79057117
2022/9/13,4.76056338
2022/9/14,4.811659193
2022/9/15,4.82967033
2022/9/16,4.730337079
2022/9/17,2.65
2022/9/18,#DIV/0!
2022/9/19,4.75549806
2022/9/20,4.817073171
2022/9/21,#DIV/0!
2022/9/22,4.888268156
2022/9/23,4.690789474
2022/9/24,4.841463415
2022/9/25,4.785407725
2022/9/26,4.753180662
2022/9/27,4.691202873
2022/9/28,4.77238806
2022/9/29,4.606837607
2022/9/30,4.531818182
2022/10/1,4.603921569
2022/10/2,4.750252781
2022/10/3,4.894736842
2022/10/4,4.791982665
2022/10/5,4.750611247
2022/10/6,4.831932773
2022/10/7,4.758922559
2022/10/8,4.76171875
2022/10/9,#DIV/0!
2022/10/10,4.706004141
2022/10/11,4.586206897
2022/10/12,4.642553191
2022/10/13,4.791497976
2022/10/14,4.781407035
2022/10/15,4.845679012
2022/10/16,4.79558011
2022/10/17,4.798165138
2022/10/18,4.736401674
2022/10/19,4.8
2022/10/20,#DIV/0!
2022/10/21,4.650877193
2022/10/22,#DIV/0!
2022/10/23,#DIV/0!
2022/10/24,4.743571429
2022/10/25,#DIV/0!
2022/10/26,4.757905138
2022/10/27,#DIV/0!
2022/10/28,4.636150235
2022/10/29,#DIV/0!
2022/10/30,4.747765641
2022/10/31,#DIV/0!
2022/11/1,4.690728477
2022/11/2,#DIV/0!
2022/11/3,4.722123894
2022/11/4,4.617647059
2022/11/5,4.625678119
2022/11/6,4.841676368
2022/11/7,#DIV/0!
2022/11/8,4.736686391
2022/11/9,4.775456919
2022/11/10,4.558139535
2022/11/11,4.712538226
2022/11/12,4.800486618
2022/11/13,4.716468591
2022/11/14,#DIV/0!
2022/11/15,4.705336427
2022/11/16,4.663066955
2022/11/17,#DIV/0!
2022/11/18,4.65954416
2022/11/19,4.813664596
2022/11/20,4.744239631
2022/11/21,4.724047306
2022/11/22,4.769230769
2022/11/23,4.642201835
2022/11/24,#DIV/0!
2022/11/25,4.583643123
2022/11/26,4.600953895
2022/11/27,#DIV/0!
2022/11/28,4.70152391
2022/11/29,4.701298701
2022/11/30,4.651837524
2022/12/1,#DIV/0!
2022/12/2,4.689507495
2022/12/3,4.738037307
2022/12/4,4.764495986
