date,综合评分
2020/1/31,0.0487735536175591
2020/2/29,0.12154254043013153
2020/3/31,0.1830654133589991
2020/4/30,0.36464412391666795
2020/5/31,0.46294796593948034
2020/6/30,0.4380205138857232
2020/7/31,0.3686778657713861
2020/8/31,0.4787189031954505
2020/9/30,0.3176911639107326
2020/10/31,0.3029419998301589
2020/11/30,0.369245969636634
2020/12/31,0.33062396749712186
2021/1/31,0.35921604717294514
2021/2/28,0.38816884496735704
2021/3/31,0.390817596224199
2021/4/30,0.42688047096537063
2021/5/31,0.5149886530939702
2021/6/30,0.510083528032483
2021/7/31,0.49109280583762027
2021/8/31,0.4750639535994037
2021/9/30,0.4153386001886523
2021/10/31,0.44609969338589467
2021/11/30,0.5089118758982247
2021/12/31,0.5127539450642467
2022/1/31,0.48656697379512137
2022/2/28,0.5539463313635056
2022/3/31,0.5520639295307707
2022/4/30,0.5433039364939343
2022/5/31,0.5024522672826153
2022/6/30,0.557352745633222
2022/7/31,0.5550600586221835
2022/8/31,0.5424756151071022
2022/9/30,0.5341323081397898
2022/10/31,0.5404199377376449
2022/11/30,0.5069198593100728
2022/12/31,0.5133839128160758
2023/1/31,0.45873407413462364
2023/2/28,0.45857293838226737
2023/3/31,0.5074781407239726
2023/4/30,0.6117800965342234
2023/5/31,0.6061724318222633
2023/6/30,0.5642705808326575
2023/7/31,0.6985424834873104
2023/8/31,0.718342233746447
2023/9/30,0.7579828934479219
2023/10/31,0.7867865421415818
2023/11/30,0.8954353008544844
2023/12/31,0.7838591000789905
2024/1/31,0.7910844321414388
2024/2/29,0.6502618178395596
2024/3/31,0.6851206015983805
2024/4/30,0.6649757452095025
2024/5/31,0.7316475320296514
2024/6/30,0.6655587066283895
2024/7/31,0.6533728163092527
2024/8/31,0.5976488574424828
2024/9/30,0.5826885980741489
2024/10/31,0.6263093232508395
2024/11/30,0.7171652239059711
2024/12/31,0.7269668932289669
