date,revenue,download,reviews,rating,综合评分
2020/1/31,0.1114966926564994,1.0000000000000002,0.0628911852752655,1,0.37810142792895685
2020/2/29,0.0401588933627258,0.5611788895307819,0.0368197715825161,0.8255126933156806,0.23485642443822652
2020/3/31,0.1034522436539643,0.7199342567875825,0.1531075609480297,0.8956689902106586,0.33824365404132134
2020/4/30,0.0773955889755281,0.4955446406827217,0.0805035738587557,0.8461421337796126,0.2510482600354187
2020/5/31,0.1033588867257325,0.3692849509921976,0.0749925110647778,0.9943014935567156,0.24711678819056243
2020/6/30,0.0598177254397919,0.4198084468665186,0.0898850770814776,0.9073665617887458,0.2398117808296164
2020/7/31,0.0840988068810253,0.7043980093831155,0.180000277735346,0.9858127626468972,0.34864468843345287
2020/8/31,0.0897594745257446,0.6077466833167946,0.1053549358530542,0.9259666334868822,0.2963409362376336
2020/9/30,0.0589950094394764,0.563548042259986,0.0301838806372835,0.882500286324614,0.24516355779592336
2020/10/31,0.0829409001254216,0.1924988877708708,0.0229330042830758,0.8979543281840231,0.17400062902576838
2020/11/30,0.051496256216088,0.2607139985922385,0.0085661515998547,0.8226217130990569,0.1648282224230646
2020/12/31,0.09190008239104,0.11499738082887,0,0.8264199425551731,0.14431944842501346
2021/1/31,0.6160364799621717,0.2104157517046968,0.0763395274928235,0.8612173442859382,0.3612612522672639
2021/2/28,0.6108370768912775,0.3259683229986752,0.0569416973994052,0.6783698718572607,0.3565815325343271
2021/3/31,0.9274927050373326,0.0880076945355839,0.0135832422427525,0.7999499709919812,0.4041544079792468
2021/4/30,0.8884842453565983,0.1550425986881754,0.0253254959063793,0.7434616882825912,0.4039519842625483
2021/5/31,0.8941376497548267,0.1868031499594086,0.0190625638543317,0.7628439524114937,0.4122475817960759
2021/6/30,0.8977326662380382,0.5180763844370213,0.0636252001182359,0.774237409618075,0.5003280593219191
2021/7/31,0.6955392658691363,0.3505563750861702,0.0934599277491335,0.7834819462695864,0.4133643779753346
2021/8/31,0.9006198712804229,0.6609626000167786,0.1420358397625759,0.7285748583986033,0.5547428505536414
2021/9/30,0.5149414664649613,0.3570329241177637,1,0.2256584016137214,0.6268013119698183
2021/10/31,1,0.2806431603102312,0.1745249237715666,0.4308005758868957,0.48533257033319654
2021/11/30,0.3269742641871299,0.3390355922246624,0.0820251667899943,0.5474953403252923,0.26451787604463856
2021/12/31,0.1643843770731524,0.1817046408038444,0.0540373792099222,0.6255357953923627,0.17868474488459327
2022/1/31,0.8598136612498665,0.52806818383972,0.2531974281706961,0.5269523685318747,0.5323009054708326
2022/2/28,0.7689032204040539,0.4636958455362771,0.1100665176153643,0.556866746834025,0.44124814235168897
2022/3/31,0.927307008035378,0.262173269829509,0.0482148560636569,0.6107248084048037,0.4323411850261222
2022/4/30,0.8476261111839049,0.4032210829305563,0.1040614826703063,0.4239333289407258,0.43652712441914454
2022/5/31,0.9409832331021458,0.1978117042913559,0.085457182136856,0.3178269876686503,0.4044077493435831
2022/6/30,0.8711133197836661,0.0909642212243032,0.1055473667713464,0.2952643199824869,0.3648175251485145
2022/7/31,0.86019143077014,0.1041388803900508,0.1483305129970222,0.3108570852276957,0.3814594958858685
2022/8/31,0.9144055292609892,0.2349810932931847,0.303648053769563,0.3042798881820417,0.48189542846268896
2022/9/30,0.7189787307286298,0.0829767847660055,0.1185057044856242,0.2663679375552328,0.3167110688591723
2022/10/31,0.5924919724178698,0.0777856584919971,0.04267998738288,0.139934899709305,0.23413039495493831
2022/11/30,0.8127602844907121,0.0665855087130989,0.046104067434142,0.3055134963723659,0.3207620519767024
2022/12/31,0.6038236053767779,0.083453049684361,0.0393947750046123,0.3452221330054799,0.26035738464708935
2023/1/31,0.8828397828218281,0.294244176636066,0.0928905702898565,0.4875632509358002,0.4277384997482132
2023/2/28,0.7226711554175603,0.0602340185455793,0.0370856039851054,0.1832645750434666,0.27424019972797853
2023/3/31,0.7603587049508836,0.0519401726873992,0.0284777920833523,0.2591726408930245,0.2896258404450651
2023/4/30,0.4926311943266103,0.0937297072805116,0.0549816793862842,0.1024588715873895,0.20633531996339124
2023/5/31,0.0869437559693797,0.0672064099247568,0.0314932044112308,0.2153258772379677,0.07675809635797526
2023/6/30,0.0324257793858927,0.2422672939630489,0.0502661299761742,0,0.07933655165215367
2023/7/31,0.0790413276465663,0.1277479858110932,0.303423881668872,0.1174124465669357,0.1753171850734896
2023/8/31,0.071130958174256,0.0920935268608778,0.8620369507039598,0.050892944366374,0.3617267453249016
2023/9/30,0.0592811006484852,0.3126846917496875,0.1095864322315836,0.2675107513510714,0.1537315677457869
2023/10/31,0.0644483678887933,0.0619529982803065,0.0807217944877469,0.2560421785118234,0.09101259753485098
2023/11/30,0.045512632351281,0.0422147296226975,0.0468360984532125,0.206022725247292,0.0630247984163758
2023/12/31,0.0744470014300201,0.055848420404055,0.0552415603171737,0.2276531865457369,0.0804589453814144
2024/1/31,0,0.2992920245641354,0.1330213439613392,0.3505460187294988,0.14994696180587846
2024/2/29,0.0314920648386463,0.1143137827475693,0.1328249453952471,0.3140676196898596,0.11700449158247447
2024/3/31,0.0892031905472687,0.0757370182335679,0.0687910775536277,0.342317393458206,0.10688099924448254
2024/4/30,0.0606932371718235,0.1433953890824911,0.0472665882394951,0.3527808699843351,0.10537900926160113
2024/5/31,0.0841332346693929,0.0720017491724243,0.0478359456987722,0.3520817787013527,0.09793537963861718
2024/6/30,0.0334660538294369,0.2396339913829428,0.0957492605296413,0.3151934622311749,0.13049813644823766
