"日期","1星","2星","3星","4星","5星"
"2021-06-16","119","8","34","28","140"
"2021-06-17","134","14","24","27","116"
"2021-06-18","134","20","28","21","108"
"2021-06-19","330","33","44","43","276"
"2021-06-20","245","16","37","41","211"
"2021-06-21","119","6","25","27","113"
"2021-06-22","24","9","5","13","80"
"2021-06-23","2517","418","501","357","1508"
"2021-06-24","1129","202","157","131","466"
"2021-06-25","780","137","156","132","408"
"2021-06-26","845","153","207","135","614"
"2021-06-27","537","77","109","97","351"
"2021-06-28","269","35","48","49","154"
"2021-06-29","-779","-37","-105","-64","-571"
"2021-06-30","412","44","56","53","189"
"2021-07-01","335","21","40","33","126"
"2021-07-02","160","19","19","18","48"
"2021-07-03","371","30","47","50","217"
"2021-07-04","493","39","54","50","219"
"2021-07-05","427","35","58","37","198"
"2021-07-06","769","68","83","62","324"
"2021-07-07","438","39","62","52","213"
"2021-07-08","387","21","27","39","147"
"2021-07-09","555","55","65","50","190"
"2021-07-10","495","62","41","40","199"
"2021-07-11","390","39","37","53","205"
"2021-07-12","395","38","54","46","145"
"2021-07-13","449","51","64","34","176"
"2021-07-14","479","47","65","54","182"
"2021-07-15","481","40","54","49","210"
"2021-07-16","491","69","67","53","244"
"2021-07-17","474","39","52","52","239"
"2021-07-18","468","41","62","43","234"
"2021-07-19","463","40","53","57","166"
"2021-07-20","306","46","47","56","233"
"2021-07-21","350","39","62","61","207"
"2021-07-22","385","50","75","67","224"
"2021-07-23","392","43","70","56","212"
"2021-07-24","338","52","76","63","220"
"2021-07-25","329","44","39","47","217"
"2021-07-26","287","43","51","53","203"
"2021-07-27","341","34","67","71","195"
"2021-07-28","352","41","64","39","204"
"2021-07-29","424","50","67","48","233"
"2021-07-30","367","53","58","44","216"
"2021-07-31","384","38","71","50","166"
"2021-08-01","374","44","63","38","183"
"2021-08-02","344","37","43","54","171"
"2021-08-03","604","85","89","54","193"
"2021-08-04","633","60","69","65","241"
"2021-08-05","519","36","79","52","206"
"2021-08-06","669","64","81","66","256"
"2021-08-07","654","79","74","62","244"
"2021-08-08","760","104","105","78","239"
"2021-08-09","591","91","72","82","224"
"2021-08-10","983","89","114","78","255"
"2021-08-11","1049","141","119","87","286"
"2021-08-12","926","86","111","86","269"
"2021-08-13","860","84","90","92","309"
"2021-08-14","-47524","-3307","-4654","-4060","-17012"
"2021-08-15","-36891","-1784","-2400","-1653","-8048"
"2021-08-16","641","70","74","87","295"
"2021-08-17","669","70","83","93","286"
"2021-08-18","669","63","94","80","274"
"2021-08-19","647","69","75","76","291"
"2021-08-20","626","71","64","61","274"
"2021-08-21","615","67","97","79","270"
"2021-08-22","680","83","76","54","271"
"2021-08-23","560","41","76","69","247"
"2021-08-24","641","79","139","106","407"
"2021-08-25","624","93","107","105","481"
"2021-08-26","547","76","103","87","371"
"2021-08-27","623","62","92","89","306"
"2021-08-28","448","49","72","58","219"
"2021-08-29","453","52","60","61","245"
"2021-08-30","487","33","59","55","200"
"2021-08-31","6332","352","161","56","459"
"2021-09-01","18498","841","342","87","1491"
"2021-09-02","-18607","-1164","-74","-133","1917"
"2021-09-03","40994","718","179","-36","3297"
"2021-09-04","69853","1562","375","113","5397"
"2021-09-05","51371","1031","336","207","5826"
"2021-09-06","11429","170","93","79","2589"
"2021-09-07","8374","126","41","50","1615"
"2021-09-08","6411","80","73","64","1342"
"2021-09-09","4817","62","40","28","1091"
"2021-09-10","7208","111","85","68","1495"
"2021-09-11","14757","306","133","111","2058"
"2021-09-12","10664","249","141","90","1549"
"2021-09-13","2116","45","24","16","317"
"2021-09-14","1832","47","30","28","249"
"2021-09-15","1440","43","19","28","296"
"2021-09-16","1343","23","31","16","295"
"2021-09-17","1407","19","24","19","268"
"2021-09-18","1849","-50","-34","-45","146"
"2021-09-19","13327","385","226","135","1638"
"2021-09-20","6546","121","99","23","1006"
"2021-09-21","5216","130","67","50","882"
"2021-09-22","1815","49","37","31","392"
"2021-09-23","1367","60","92","45","555"
"2021-09-24","1655","69","89","62","531"
"2021-09-25","2603","84","110","67","783"
"2021-09-26","1038","47","43","21","251"
"2021-09-27","646","32","28","30","244"
"2021-09-28","525","27","29","18","162"
"2021-09-29","690","30","17","27","170"
"2021-09-30","-2566","70","23","32","366"
"2021-10-01","2614","102","69","66","641"
"2021-10-02","3658","103","132","82","1164"
"2021-10-03","2604","67","76","62","672"
"2021-10-04","2442","69","78","54","582"
"2021-10-05","2068","40","62","48","481"
"2021-10-06","1444","43","42","40","335"
"2021-10-07","1225","25","33","43","276"
"2021-10-08","858","29","31","29","295"
"2021-10-09","1946","76","70","20","346"
"2021-10-10","1554","52","50","44","616"
"2021-10-11","458","4","15","11","215"
"2021-10-12","605","22","28","35","343"
"2021-10-13","511","6","22","16","229"
"2021-10-14","468","18","17","19","173"
"2021-10-15","611","15","18","26","316"
"2021-10-16","1374","64","80","65","716"
"2021-10-17","929","64","45","32","493"
"2021-10-18","385","24","20","23","185"
"2021-10-19","389","8","9","11","117"
"2021-10-20","311","15","19","14","98"
"2021-10-21","348","20","17","21","122"
"2021-10-22","488","23","13","14","168"
"2021-10-23","924","35","42","45","391"
"2021-10-24","698","20","53","30","321"
"2021-10-25","325","6","23","14","116"
"2021-10-26","384","16","18","14","112"
"2021-10-27","303","9","22","14","72"
"2021-10-28","295","13","29","19","139"
"2021-10-29","397","9","20","27","184"
"2021-10-30","842","53","43","26","464"
"2021-10-31","692","26","39","17","282"
"2021-11-01","280","14","33","23","133"
"2021-11-02","276","10","30","12","102"
"2021-11-03","263","24","19","11","112"
"2021-11-04","255","14","31","20","110"
"2021-11-05","372","9","24","23","173"
"2021-11-06","711","37","54","29","325"
"2021-11-07","519","28","43","26","239"
"2021-11-08","202","12","14","10","83"
"2021-11-09","268","13","25","29","102"
"2021-11-10","280","16","30","13","125"
"2021-11-11","219","23","23","14","85"
