"日期","下载量预估~iPhone"
"2024-04-10","90993"
"2024-04-09","110466"
"2024-04-08","92121"
"2024-04-07","90268"
"2024-04-06","90955"
"2024-04-05","76593"
"2024-04-04","106792"
"2024-04-03","91243"
"2024-04-02","109023"
"2024-04-01","93430"
"2024-03-31","98781"
"2024-03-30","91572"
"2024-03-29","106675"
"2024-03-28","90971"
"2024-03-27","90642"
"2024-03-26","90750"
"2024-03-25","98416"
"2024-03-24","90955"
"2024-03-23","106919"
"2024-03-22","76863"
"2024-03-21","76379"
"2024-03-20","108310"
"2024-03-19","90587"
"2024-03-18","106717"
"2024-03-17","98959"
"2024-03-16","108935"
"2024-03-15","108314"
"2024-03-14","108084"
"2024-03-13","108668"
"2024-03-12","99198"
"2024-03-11","106973"
"2024-03-10","91888"
"2024-03-09","95561"
"2024-03-08","109628"
"2024-03-07","109925"
"2024-03-06","106760"
"2024-03-05","107448"
"2024-03-04","99976"
"2024-03-03","107374"
"2024-03-02","107183"
"2024-03-01","108807"
"2024-02-29","107090"
"2024-02-28","94569"
"2024-02-27","91010"
"2024-02-26","78796"
"2024-02-25","74890"
"2024-02-24","92944"
"2024-02-23","96176"
"2024-02-22","75059"
"2024-02-21","90855"
"2024-02-20","89862"
"2024-02-19","74979"
"2024-02-18","91042"
"2024-02-17","42367"
"2024-02-16","61168"
"2024-02-15","42460"
"2024-02-14","50631"
"2024-02-13","60166"
"2024-02-12","45880"
"2024-02-11","79550"
"2024-02-10","79437"
"2024-02-09","57553"
"2024-02-08","41606"
"2024-02-07","45862"
"2024-02-06","42334"
"2024-02-05","43810"
"2024-02-04","42416"
"2024-02-03","45695"
"2024-02-02","45308"
"2024-02-01","74660"
"2024-01-31","76434"
"2024-01-30","77154"
"2024-01-29","107532"
"2024-01-28","106872"
"2024-01-27","107380"
"2024-01-26","42505"
"2024-01-25","42471"
"2024-01-24","42567"
"2024-01-23","46809"
"2024-01-22","58703"
"2024-01-21","50686"
"2024-01-20","39220"
"2024-01-19","38667"
"2024-01-18","38727"
"2024-01-17","49397"
"2024-01-16","58431"
"2024-01-15","46577"
"2024-01-14","49651"
"2024-01-13","51332"
"2024-01-12","57056"
"2024-01-11","70468"
"2024-01-10","53890"
"2024-01-09","77549"
"2024-01-08","91016"
"2024-01-07","90379"
"2024-01-06","90101"
"2024-01-05","90060"
"2024-01-04","36432"
"2024-01-03","36267"
"2024-01-02","90739"
"2024-01-01","90705"
"2023-12-31","45343"
"2023-12-30","84070"
"2023-12-29","58895"
"2023-12-28","46975"
"2023-12-27","45761"
"2023-12-26","98877"
"2023-12-25","77716"
"2023-12-24","91194"
"2023-12-23","45307"
"2023-12-22","46721"
"2023-12-21","75115"
"2023-12-20","93448"
"2023-12-19","106632"
"2023-12-18","80980"
"2023-12-17","90672"
"2023-12-16","85137"
"2023-12-15","107479"
"2023-12-14","107443"
"2023-12-13","86990"
"2023-12-12","107148"
"2023-12-11","107286"
"2023-12-10","108631"
"2023-12-09","93434"
"2023-12-08","90624"
"2023-12-07","91343"
"2023-12-06","92854"
"2023-12-05","122206"
"2023-12-04","108519"
"2023-12-03","108424"
"2023-12-02","108087"
"2023-12-01","109701"
"2023-11-30","109007"
"2023-11-29","107297"
"2023-11-28","120004"
"2023-11-27","110180"
"2023-11-26","110170"
"2023-11-25","109979"
"2023-11-24","122358"
"2023-11-23","109705"
"2023-11-22","75830"
"2023-11-21","83670"
"2023-11-20","91097"
"2023-11-19","93755"
"2023-11-18","92154"
"2023-11-17","106923"
"2023-11-16","90646"
"2023-11-15","91600"
"2023-11-14","91030"
"2023-11-13","77906"
"2023-11-12","76068"
"2023-11-11","107091"
"2023-11-10","108053"
"2023-11-09","108602"
"2023-11-08","106623"
"2023-11-07","115360"
"2023-11-06","110086"
"2023-11-05","108639"
"2023-11-04","108941"
"2023-11-03","108549"
"2023-11-02","110524"
"2023-11-01","110060"
"2023-10-31","110367"
"2023-10-30","109617"
"2023-10-29","108642"
"2023-10-28","84529"
"2023-10-27","108732"
"2023-10-26","122285"
"2023-10-25","113302"
"2023-10-24","109514"
"2023-10-23","110119"
"2023-10-22","93085"
"2023-10-21","89403"
"2023-10-20","75488"
"2023-10-19","108134"
"2023-10-18","88691"
"2023-10-17","131862"
"2023-10-16","123335"
"2023-10-15","106930"
"2023-10-14","94279"
"2023-10-13","132997"
"2023-10-12","109979"
"2023-10-11","109909"
"2023-10-10","110284"
"2023-10-09","106687"
"2023-10-08","108338"
"2023-10-07","98603"
"2023-10-06","94997"
"2023-10-05","98210"
"2023-10-04","87027"
"2023-10-03","49830"
"2023-10-02","60459"
"2023-10-01","54916"
"2023-09-30","48062"
"2023-09-29","62268"
"2023-09-28","74497"
"2023-09-27","74360"
"2023-09-26","87071"
"2023-09-25","86726"
"2023-09-24","87033"
"2023-09-23","85428"
"2023-09-22","95695"
"2023-09-21","86266"
"2023-09-20","74982"
"2023-09-19","75974"
"2023-09-18","93052"
"2023-09-17","91041"
"2023-09-16","91183"
"2023-09-15","76416"
"2023-09-14","75094"
"2023-09-13","35349"
"2023-09-12","90872"
"2023-09-11","99097"
"2023-09-10","74807"
"2023-09-09","77578"
"2023-09-08","71574"
"2023-09-07","90585"
"2023-09-06","85023"
"2023-09-05","90661"
"2023-09-04","90809"
"2023-09-03","62256"
"2023-09-02","58908"
"2023-09-01","43813"
"2023-08-31","40469"
"2023-08-30","43282"
"2023-08-29","43528"
"2023-08-28","51200"
"2023-08-27","58480"
"2023-08-26","58886"
"2023-08-25","51610"
"2023-08-24","58910"
"2023-08-23","58750"
"2023-08-22","45711"
"2023-08-21","74684"
"2023-08-20","78420"
"2023-08-19","58668"
"2023-08-18","44260"
"2023-08-17","43131"
"2023-08-16","36759"
"2023-08-15","74811"
"2023-08-14","60111"
"2023-08-13","58494"
"2023-08-12","74789"
"2023-08-11","74991"
"2023-08-10","32130"
"2023-08-09","51270"
"2023-08-08","75000"
"2023-08-07","74556"
"2023-08-06","75935"
"2023-08-05","62310"
"2023-08-04","51524"
"2023-08-03","54241"
"2023-08-02","73275"
"2023-08-01","45146"
"2023-07-31","58904"
"2023-07-30","58674"
"2023-07-29","36252"
"2023-07-28","76501"
"2023-07-27","55169"
"2023-07-26","50661"
"2023-07-25","58443"
"2023-07-24","58596"
"2023-07-23","47013"
"2023-07-22","42508"
"2023-07-21","42354"
"2023-07-20","50596"
"2023-07-19","58744"
"2023-07-18","50752"
"2023-07-17","58563"
"2023-07-16","58433"
"2023-07-15","59136"
"2023-07-14","51437"
"2023-07-13","43769"
"2023-07-12","44200"
"2023-07-11","74839"
"2023-07-10","74990"
"2023-07-09","74455"
"2023-07-08","78812"
"2023-07-07","42646"
"2023-07-06","50616"
"2023-07-05","42556"
"2023-07-04","57705"
"2023-07-03","44610"
"2023-07-02","50653"
"2023-07-01","46183"
"2023-06-30","50782"
"2023-06-29","50805"
"2023-06-28","45423"
"2023-06-27","75084"
"2023-06-26","74306"
"2023-06-25","91004"
"2023-06-24","55830"
"2023-06-23","46738"
"2023-06-22","45772"
"2023-06-21","76658"
"2023-06-20","90632"
"2023-06-19","140568"
"2023-06-18","110503"
"2023-06-17","113413"
"2023-06-16","73874"
"2023-06-15","42417"
"2023-06-14","42649"
"2023-06-13","50732"
"2023-06-12","50613"
"2023-06-11","42235"
"2023-06-10","46736"
"2023-06-09","34788"
"2023-06-08","31311"
"2023-06-07","31420"
"2023-06-06","32140"
"2023-06-05","31582"
"2023-06-04","42367"
"2023-06-03","44716"
"2023-06-02","42477"
"2023-06-01","50738"
"2023-05-31","45281"
"2023-05-30","43196"
"2023-05-29","44800"
"2023-05-28","74981"
"2023-05-27","70908"
"2023-05-26","55794"
"2023-05-25","55460"
"2023-05-24","48020"
"2023-05-23","75042"
"2023-05-22","51044"
"2023-05-21","42515"
"2023-05-20","42690"
"2023-05-19","39602"
"2023-05-18","40944"
"2023-05-17","74462"
"2023-05-16","77721"
"2023-05-15","42678"
"2023-05-14","52333"
"2023-05-13","46979"
"2023-05-12","58699"
"2023-05-11","44137"
"2023-05-10","74843"
"2023-05-09","72351"
"2023-05-08","48166"
"2023-05-07","45666"
"2023-05-06","42325"
"2023-05-05","41145"
"2023-05-04","45547"
"2023-05-03","42398"
"2023-05-02","50479"
"2023-05-01","48636"
"2023-04-30","42618"
"2023-04-29","42109"
"2023-04-28","39609"
"2023-04-27","40888"
"2023-04-26","35054"
"2023-04-25","35888"
"2023-04-24","42530"
"2023-04-23","46156"
"2023-04-22","35207"
"2023-04-21","32802"
"2023-04-20","31508"
"2023-04-19","31644"
"2023-04-18","33023"
"2023-04-17","35895"
"2023-04-16","37122"
"2023-04-15","42657"
"2023-04-14","51608"
"2023-04-13","31931"
"2023-04-12","92074"
"2023-04-11","76887"
"2023-04-10","86486"
"2023-04-09","90918"
"2023-04-08","44860"
"2023-04-07","43644"
"2023-04-06","47004"
"2023-04-05","39044"
"2023-04-04","79001"
"2023-04-03","74596"
"2023-04-02","48519"
"2023-04-01","52074"
"2023-03-31","43475"
"2023-03-30","58469"
"2023-03-29","94279"
"2023-03-28","35637"
"2023-03-27","39638"
"2023-03-26","39759"
"2023-03-25","40775"
"2023-03-24","43318"
"2023-03-23","35215"
"2023-03-22","45925"
"2023-03-21","65136"
