"日期","收入预估~iPad"
"2024-04-10","55000"
"2024-04-09","42239"
"2024-04-08","94327"
"2024-04-07","99726"
"2024-04-06","81028"
"2024-04-05","114082"
"2024-04-04","117375"
"2024-04-03","117841"
"2024-04-02","32293"
"2024-04-01","34990"
"2024-03-31","35152"
"2024-03-30","35029"
"2024-03-29","32370"
"2024-03-28","39565"
"2024-03-27","45163"
"2024-03-26","40424"
"2024-03-25","35227"
"2024-03-24","44918"
"2024-03-23","34962"
"2024-03-22","34924"
"2024-03-21","94628"
"2024-03-20","114000"
"2024-03-19","114341"
"2024-03-18","117923"
"2024-03-17","117380"
"2024-03-16","116899"
"2024-03-15","117839"
"2024-03-14","121216"
"2024-03-13","57397"
"2024-03-12","44891"
"2024-03-11","32374"
"2024-03-10","39999"
"2024-03-09","29334"
"2024-03-08","28756"
"2024-03-07","34770"
"2024-03-06","35198"
"2024-03-05","32205"
"2024-03-04","33395"
"2024-03-03","33303"
"2024-03-02","31846"
"2024-03-01","29395"
"2024-02-29","52592"
"2024-02-28","45126"
"2024-02-27","34850"
"2024-02-26","38215"
"2024-02-25","33240"
"2024-02-24","35148"
"2024-02-23","41527"
"2024-02-22","117847"
"2024-02-21","114158"
"2024-02-20","71300"
"2024-02-19","35215"
"2024-02-18","44964"
"2024-02-17","54762"
"2024-02-16","43904"
"2024-02-15","34963"
"2024-02-14","38362"
"2024-02-13","51829"
"2024-02-12","44941"
"2024-02-11","41761"
"2024-02-10","38358"
"2024-02-09","53031"
"2024-02-08","44316"
"2024-02-07","70671"
"2024-02-06","48014"
"2024-02-05","117429"
"2024-02-04","117609"
"2024-02-03","117002"
"2024-02-02","120568"
"2024-02-01","120497"
"2024-01-31","70247"
"2024-01-30","45002"
"2024-01-29","34940"
"2024-01-28","32255"
"2024-01-27","31488"
"2024-01-26","30747"
"2024-01-25","29472"
"2024-01-24","43908"
"2024-01-23","39390"
"2024-01-22","33028"
"2024-01-21","34500"
"2024-01-20","28831"
"2024-01-19","35092"
"2024-01-18","45181"
"2024-01-17","52376"
"2024-01-16","74675"
"2024-01-15","76619"
"2024-01-14","80810"
"2024-01-13","94427"
"2024-01-12","81861"
"2024-01-11","120676"
"2024-01-10","116820"
"2024-01-09","74525"
"2024-01-08","64308"
"2024-01-07","53691"
"2024-01-06","53130"
"2024-01-05","53503"
"2024-01-04","50470"
"2024-01-03","31842"
"2024-01-02","31900"
"2024-01-01","41419"
"2023-12-31","74727"
"2023-12-30","74820"
"2023-12-29","93906"
"2023-12-28","94223"
"2023-12-27","99036"
"2023-12-26","113879"
"2023-12-25","117616"
"2023-12-24","117112"
"2023-12-23","116943"
"2023-12-22","117151"
"2023-12-21","121041"
"2023-12-20","57723"
"2023-12-19","34921"
"2023-12-18","44897"
"2023-12-17","45002"
"2023-12-16","33364"
"2023-12-15","35119"
"2023-12-14","35977"
"2023-12-13","44759"
"2023-12-12","44246"
"2023-12-11","44940"
"2023-12-10","34467"
"2023-12-09","41325"
"2023-12-08","34077"
"2023-12-07","33987"
"2023-12-06","33118"
"2023-12-05","34198"
"2023-12-04","44865"
"2023-12-03","52967"
"2023-12-02","74323"
"2023-12-01","77864"
"2023-11-30","113941"
"2023-11-29","119761"
"2023-11-28","120093"
"2023-11-27","115994"
"2023-11-26","115921"
"2023-11-25","94249"
"2023-11-24","74587"
"2023-11-23","99048"
"2023-11-22","115385"
"2023-11-21","115978"
"2023-11-20","116238"
"2023-11-19","94498"
"2023-11-18","74326"
"2023-11-17","81274"
"2023-11-16","113913"
"2023-11-15","113897"
"2023-11-14","117532"
"2023-11-13","117163"
"2023-11-12","116805"
"2023-11-11","116707"
"2023-11-10","117231"
"2023-11-09","120497"
"2023-11-08","120741"
"2023-11-07","115719"
"2023-11-06","74712"
"2023-11-05","54665"
"2023-11-04","54650"
"2023-11-03","47856"
"2023-11-02","74550"
"2023-11-01","76712"
"2023-10-31","94439"
"2023-10-30","57404"
"2023-10-29","54703"
"2023-10-28","38521"
"2023-10-27","80482"
"2023-10-26","84420"
"2023-10-25","113897"
"2023-10-24","115389"
"2023-10-23","115689"
"2023-10-22","114088"
"2023-10-21","114479"
"2023-10-20","113953"
"2023-10-19","117941"
"2023-10-18","120279"
"2023-10-17","119923"
"2023-10-16","115403"
"2023-10-15","54790"
"2023-10-14","54684"
"2023-10-13","47912"
"2023-10-12","93558"
"2023-10-11","98464"
"2023-10-10","115493"
"2023-10-09","115912"
"2023-10-08","115792"
"2023-10-07","115328"
"2023-10-06","116297"
"2023-10-05","116002"
"2023-10-04","118010"
"2023-10-03","116649"
"2023-10-02","116919"
"2023-10-01","117622"
"2023-09-30","116595"
"2023-09-29","117337"
"2023-09-28","120844"
"2023-09-27","120627"
"2023-09-26","113580"
"2023-09-25","54838"
"2023-09-24","54992"
"2023-09-23","45139"
"2023-09-22","44937"
"2023-09-21","36779"
"2023-09-20","48113"
"2023-09-19","116027"
"2023-09-18","114454"
"2023-09-17","94376"
"2023-09-16","93413"
"2023-09-15","114399"
"2023-09-14","89445"
"2023-09-13","114089"
"2023-09-12","115352"
"2023-09-11","115391"
"2023-09-10","115592"
"2023-09-09","115476"
"2023-09-08","115793"
"2023-09-07","117011"
"2023-09-06","120493"
"2023-09-05","117102"
"2023-09-04","94001"
"2023-09-03","74467"
"2023-09-02","80986"
"2023-09-01","80868"
"2023-08-31","74539"
"2023-08-30","80638"
"2023-08-29","94803"
"2023-08-28","71287"
"2023-08-27","54844"
"2023-08-26","47793"
"2023-08-25","73747"
"2023-08-24","94180"
"2023-08-23","94410"
"2023-08-22","115498"
"2023-08-21","115744"
"2023-08-20","116101"
"2023-08-19","115590"
"2023-08-18","90996"
"2023-08-17","117503"
"2023-08-16","70441"
"2023-08-15","55044"
"2023-08-14","54898"
"2023-08-13","54588"
"2023-08-12","44989"
"2023-08-11","45031"
"2023-08-10","44939"
"2023-08-09","47991"
"2023-08-08","74859"
"2023-08-07","57598"
"2023-08-06","54621"
"2023-08-05","35196"
"2023-08-04","35191"
"2023-08-03","35526"
"2023-08-02","94447"
"2023-08-01","95516"
"2023-07-31","94289"
"2023-07-30","94602"
"2023-07-29","94008"
"2023-07-28","115240"
"2023-07-27","92236"
"2023-07-26","120520"
"2023-07-25","46250"
"2023-07-24","33343"
"2023-07-23","31653"
"2023-07-22","30276"
"2023-07-21","30169"
"2023-07-20","32212"
"2023-07-19","35143"
"2023-07-18","44913"
"2023-07-17","41633"
"2023-07-16","33923"
"2023-07-15","38243"
"2023-07-14","54778"
"2023-07-13","47195"
"2023-07-12","54783"
"2023-07-11","38662"
"2023-07-10","74849"
"2023-07-09","92282"
"2023-07-08","114625"
"2023-07-07","115079"
"2023-07-06","88217"
"2023-07-05","116560"
"2023-07-04","92221"
"2023-07-03","115676"
"2023-07-02","71485"
"2023-07-01","55013"
"2023-06-30","52545"
"2023-06-29","55029"
"2023-06-28","38434"
"2023-06-27","74347"
"2023-06-26","115700"
"2023-06-25","115597"
"2023-06-24","115407"
"2023-06-23","94554"
"2023-06-22","103928"
"2023-06-21","94674"
"2023-06-20","115084"
"2023-06-19","116178"
"2023-06-18","115629"
"2023-06-17","115289"
"2023-06-16","117768"
"2023-06-15","119521"
"2023-06-14","120377"
"2023-06-13","120515"
"2023-06-12","94450"
"2023-06-11","94391"
"2023-06-10","94619"
"2023-06-09","64082"
"2023-06-08","47890"
"2023-06-07","80411"
"2023-06-06","74677"
"2023-06-05","94624"
"2023-06-04","94277"
"2023-06-03","71290"
