game_id,date,user_love,is_competition_month,post,lag1,lag2,lag3
1,2020/1/31,0.14585035045660782,0,0,0,0,0
1,2020/2/29,0,0,0,0,0,0
1,2020/3/31,0.24727806766513347,0,0,0,0,0
1,2020/4/30,0.9999999999999999,0,0,0,0,0
1,2020/5/31,0.38529846416397084,0,0,0,0,0
1,2020/6/30,0.6180137384128455,1,1,0,0,0
1,2020/7/31,0.20811366738970835,0,1,1,0,0
1,2020/8/31,0.34941076718758185,1,1,0,0,0
1,2020/9/30,0.1340606294628277,0,1,1,0,0
1,2020/10/31,0.13752377678948702,1,1,0,0,0
1,2020/11/30,0.12684124521212486,0,1,1,0,0
1,2020/12/31,0.2015703489596422,0,1,0,1,0
1,2021/1/31,0.30874264660944034,0,1,0,0,1
1,2021/2/28,0.16844105478855573,0,0,0,0,0
1,2021/3/31,0.04220767260211508,0,0,0,0,0
1,2021/4/30,0.25400114710822436,1,1,0,0,0
1,2021/5/31,0.1763885051535189,0,1,1,0,0
1,2021/6/30,0.3059312106591781,1,1,0,0,0
1,2021/7/31,0.44334587314292917,0,1,1,0,0
1,2021/8/31,0.31784013952441276,0,1,0,1,0
1,2021/9/30,0.4110469794788265,1,1,0,0,0
1,2021/10/31,0.11303739829434604,0,1,1,0,0
1,2021/11/30,0.3545808091661253,1,1,0,0,0
1,2021/12/31,0.1628385365833492,0,1,1,0,0
1,2022/1/31,0.3325735585906971,0,1,0,1,0
1,2022/2/28,0.38812377068010984,0,1,0,0,1
1,2022/3/31,0.1758220332911823,0,0,0,0,0
1,2022/4/30,0.27727170568977955,0,0,0,0,0
1,2022/5/31,0.2211662382052542,1,1,0,0,0
1,2022/6/30,0.17022101948740834,0,1,1,0,0
1,2022/7/31,0.2835160379486573,0,1,0,1,0
1,2022/8/31,0.16057881467797946,1,1,0,0,0
1,2022/9/30,0.15996828332495316,0,1,1,0,0
1,2022/10/31,0.18226919729996865,0,1,0,1,0
1,2022/11/30,0.04390422297338131,0,1,0,0,1
1,2022/12/31,0.19096826206712544,0,0,0,0,0
1,2023/1/31,0.14611397749954486,0,0,0,0,0
1,2023/2/28,0.12092264497780614,0,0,0,0,0
1,2023/3/31,0.08799829749153762,0,0,0,0,0
1,2023/4/30,0.06897068473731258,1,0,0,0,0
1,2023/5/31,0.09563625016713634,0,1,1,0,0
1,2023/6/30,0.05215167360984371,0,1,0,1,0
1,2023/7/31,0.21369596591752646,0,1,0,0,1
1,2023/8/31,0.33449761867235683,1,1,0,0,0
1,2023/9/30,0.23289782789634147,0,1,1,0,0
1,2023/10/31,0.21692818055371188,0,1,0,1,0
1,2023/11/30,0.2737061294157844,0,1,0,0,1
1,2023/12/31,0.2577460138110426,0,0,0,0,0
1,2024/1/31,0.3472569862511401,0,0,0,0,0
1,2024/2/29,0.16845613469966159,0,0,0,0,0
1,2024/3/31,0.20815377497121193,0,0,0,0,0
1,2024/4/30,0.19164199024591216,0,0,0,0,0
1,2024/5/31,0.1801537336771586,1,1,0,0,0
1,2024/6/30,0.19719223838775157,0,1,1,0,0
1,2024/7/31,0.20452525117731368,0,1,0,1,0
1,2024/8/31,0.2936671259931606,0,1,0,0,1
1,2024/9/30,0.15196797223141834,0,0,0,0,0
1,2024/10/31,0.1219965374109629,1,1,0,0,0
1,2024/11/30,0.19446873769426143,0,1,1,0,0
1,2024/12/31,0.15253992977446668,0,1,0,1,0
