第五,和平,王者
0.32748393173084606,-0.076011161,-0.162451068
0.1517681206037091,-0.210091753,-0.360349473
0.22189533596646277,0.01723159313773326,-0.133899691
0.29234675720471226,0.7092107483669098,-0.153708204
0.007795673226931754,0.14411408887876712,-0.088528187
-0.050052262,0.358049822602044,-0.119617865
0.19714033649963777,-0.018772338,0.020433780032966975
0.18365794258588014,0.11112243928007504,0.009374299827359822
-0.079820476,-0.086849481,-0.198455642
-0.113647077,-0.083665801,-0.334089667
-0.150293409,-0.093486279,-0.301564396
-0.118270774,-0.024787627,-0.365854293
-0.142799503,0.07373613430669845,0.03562592292576561
-0.056882213,-0.05524347,0.0486457095465751
-0.142388628,-0.171290134,0.13403074461353603
-0.134750521,0.02341213688665511,0.16011679270180018
-0.193408708,-0.047937359,0.2392677300146121
-0.20299916,0.07115157420518953,0.39016477662340193
-0.128279983,0.19747721715099154,0.22370629148317822
-0.0679476,0.08209948229960037,0.4599323475314698
-0.120874387,0.16778476341419818,0.5425328356677209
-0.152019307,-0.10617619,0.316950044840275
-0.195684923,0.11587527180312196,-0.024306136
-0.233553542,-0.060393879,-0.172040756
-0.023592735,0.0956439513009224,0.42900305021623464
-0.130651035,0.14671140022618195,0.31869836574196764
-0.159948367,-0.048458118,0.30169536570612104
-0.037039187,0.04480481959888408,0.3026147392721039
-0.112728291,-0.006773077,0.21632502860408748
-0.171779836,-0.053607144,0.18713636730889377
-0.004772873,0.05054524986383643,0.21464545516402944
-0.004203406,-0.062471247,0.3815835782038741
-0.210099724,-0.06303251,0.08573238324244753
-0.245593057,-0.042531224,-0.054504344
-0.153931819,-0.169730491,0.07288580467953515
-0.142346132,-0.034534152,-0.028324779
-0.006689534,-0.075768808,0.22519330713649865
-0.07388895,-0.098927263,-0.044161377
-0.162854089,-0.129194698,0.018682112602891876
-0.230337336,-0.14668683,-0.050936127
-0.260280627,-0.122173109,-0.282326527
-0.197712536,-0.162148589,-0.308526113
-0.142465975,-0.013640517,-0.04172834
-0.046784814,0.09741274454677246,0.29975172980707554
-0.31917634,0.004011802748026899,-0.036008207
-0.309978815,-0.010669134,-0.124898818
-0.303368957,0.04152697641138582,-0.094328845
-0.221517525,0.026854802213841678,-0.145556344
-0.066826558,0.1091424630778077,-0.018376554
0.2406466846150348,-0.055229607,-0.179408119
0.582557166977758,-0.018735467,-0.171606492
0.6765436227872377,-0.033914792,-0.189011085
0.24177008366318692,-0.044475975,-0.153183852
0.3410509108390629,-0.028812435,-0.144524626
0.7082270040799428,-0.022071178,-0.141200048
0.6832545462341875,0.05987717049474403,-0.150267934
0.3647837127941726,-0.070387216,-0.22030258
0.26007903770492086,-0.097940031,-0.25172715
0.4062569282470212,-0.031316156,-0.236169556
0.13498319258251607,-0.069861414,-0.152785366
