ÈÕÆÚ,1ÐÇ,2ÐÇ,3ÐÇ,4ÐÇ,5ÐÇ
2020/7/3,10,1,7,3,37
2020/7/4,9,3,7,8,67
2020/7/5,13,2,4,7,54
2020/7/6,10,2,3,3,46
2020/7/7,7,2,4,5,33
2020/7/8,8,1,3,1,10
2020/7/9,0,0,0,0,0
2020/7/10,39,6,11,12,138
2020/7/11,17,6,8,6,79
2020/7/12,14,1,5,7,78
2020/7/13,10,0,3,3,62
2020/7/14,10,7,4,2,42
2020/7/15,15,2,7,3,63
2020/7/16,37,9,24,64,380
2020/7/17,22,7,22,58,430
2020/7/18,20,4,7,15,51
2020/7/19,27,5,5,5,86
2020/7/20,23,5,9,6,49
2020/7/21,25,0,5,7,64
2020/7/22,14,2,5,7,59
2020/7/23,19,6,6,9,72
2020/7/24,15,2,6,5,59
2020/7/25,23,2,11,5,63
2020/7/26,25,1,6,9,62
2020/7/27,12,2,1,5,66
2020/7/28,14,3,5,5,49
2020/7/29,15,2,7,4,51
2020/7/30,26,2,13,4,82
2020/7/31,26,2,7,6,51
2020/8/1,16,0,4,6,57
2020/8/2,16,3,7,7,52
2020/8/3,16,2,4,5,42
2020/8/4,14,5,6,3,61
2020/8/5,11,3,6,7,67
2020/8/6,27,6,8,16,66
2020/8/7,15,3,3,9,47
2020/8/8,20,4,1,5,49
2020/8/9,18,4,8,6,60
2020/8/10,5,2,2,4,42
2020/8/11,10,4,8,7,54
2020/8/12,10,2,5,5,60
2020/8/13,23,4,5,11,91
2020/8/14,16,4,2,7,53
2020/8/15,18,6,8,12,62
2020/8/16,14,2,4,4,54
2020/8/17,11,4,5,8,71
2020/8/18,17,1,10,5,101
2020/8/19,10,0,3,11,59
2020/8/20,22,1,3,10,63
2020/8/21,9,0,5,7,63
2020/8/22,22,5,6,7,71
2020/8/23,10,1,4,3,38
2020/8/24,15,6,11,6,53
2020/8/25,14,0,2,3,51
2020/8/26,8,3,10,4,59
2020/8/27,17,7,6,8,66
2020/8/28,21,5,10,7,89
2020/8/29,12,2,7,5,51
2020/8/30,11,5,2,4,32
2020/8/31,9,1,2,2,30
2020/9/1,3,0,1,2,14
2020/9/2,4,0,1,1,11
2020/9/3,3,0,0,2,22
2020/9/4,-1,3,3,1,23
2020/9/5,2,1,0,0,10
2020/9/6,13,2,1,4,68
2020/9/7,2,2,0,1,7
2020/9/8,4,1,0,0,12
2020/9/9,2,1,1,2,11
2020/9/10,3,0,2,2,20
2020/9/11,3,1,0,1,14
2020/9/12,4,2,1,12,45
2020/9/13,10,2,5,4,41
2020/9/14,1,1,1,3,8
2020/9/15,3,2,2,2,10
2020/9/16,1,0,0,1,2
2020/9/17,3,3,1,1,17
2020/9/18,3,1,1,2,24
2020/9/19,9,1,2,2,54
2020/9/20,8,3,1,3,47
2020/9/21,6,0,2,2,10
2020/9/22,0,1,0,0,8
2020/9/23,3,1,1,2,18
2020/9/24,1,0,0,2,7
2020/9/25,4,2,0,0,35
2020/9/26,12,1,4,2,41
2020/9/27,4,1,1,4,6
2020/9/28,7,0,0,3,24
2020/9/29,2,1,1,2,11
2020/9/30,1,0,0,2,17
2020/10/1,5,0,2,7,46
2020/10/2,18,4,1,3,48
2020/10/3,10,4,4,0,46
2020/10/4,3,4,2,5,30
2020/10/5,12,3,4,4,47
2020/10/6,12,0,1,4,35
2020/10/7,9,2,5,2,49
2020/10/8,8,0,5,3,32
2020/10/9,3,0,2,2,8
2020/10/10,3,0,1,1,16
2020/10/11,5,1,0,2,38
2020/10/12,1,0,2,3,13
2020/10/13,0,0,1,1,10
2020/10/14,0,1,0,2,3
2020/10/15,5,3,12,15,117
2020/10/16,8,2,16,28,240
2020/10/17,3,1,7,10,115
2020/10/18,23,5,9,30,321
2020/10/19,4,0,0,1,21
2020/10/20,1,0,0,1,6
2020/10/21,3,1,0,4,14
2020/10/22,0,0,0,0,0
2020/10/23,19443,3486,7027,10759,90982
2020/10/24,8,1,3,4,42
2020/10/25,6,1,0,1,18
2020/10/26,4,0,1,4,32
2020/10/27,3,1,0,1,3
2020/10/28,2,0,0,1,11
2020/10/29,6,0,7,23,153
2020/10/30,7,2,11,25,234
2020/10/31,7,0,9,10,161
2020/11/1,6,4,15,30,254
2020/11/2,0,0,1,2,12
2020/11/3,0,0,0,1,5
2020/11/4,-1,1,1,2,6
2020/11/5,2,1,1,2,8
2020/11/6,2,1,0,4,15
2020/11/7,10,1,1,4,30
2020/11/8,12,0,1,6,37
2020/11/9,1,0,1,1,1
2020/11/10,8,2,2,2,18
2020/11/11,1,0,1,2,7
2020/11/12,0,0,0,1,4
2020/11/13,5,0,3,0,9
2020/11/14,7,1,1,2,37
2020/11/15,4,2,1,1,29
2020/11/16,1,0,1,0,16
2020/11/17,4,1,1,2,9
2020/11/18,3,-1,0,0,12
2020/11/19,4,0,0,0,2
2020/11/20,4,0,2,1,5
2020/11/21,9,0,1,8,35
2020/11/22,10,0,2,1,18
2020/11/23,4,0,0,3,12
2020/11/24,0,1,2,0,10
2020/11/25,7,0,3,0,10
2020/11/26,1,0,1,0,3
2020/11/27,8,2,3,1,6
2020/11/28,9,2,2,5,33
2020/11/29,0,1,0,3,10
2020/11/30,4,2,3,2,13
2020/12/1,2,0,1,0,8
2020/12/2,0,0,0,0,0
2020/12/3,19621,3514,7111,10916,92330
2020/12/4,2,0,0,1,1
2020/12/5,5,2,1,2,30
2020/12/6,4,-1,0,1,12
2020/12/7,3,1,1,2,16
2020/12/8,4,1,2,5,17
2020/12/9,2,2,1,0,17
2020/12/10,5,3,2,4,13
2020/12/11,2,0,0,0,5
2020/12/12,0,0,1,0,8
2020/12/13,13,2,3,2,45
2020/12/14,0,0,1,0,8
2020/12/15,4,2,0,0,15
2020/12/16,1,0,1,0,2
2020/12/17,1,0,0,1,6
2020/12/18,0,1,1,1,9
2020/12/19,4,3,6,26,179
2020/12/20,5,2,9,31,194
2020/12/21,2,1,2,8,58
2020/12/22,2,0,5,6,82
2020/12/23,3,5,10,28,179
2020/12/24,6,2,8,17,86
2020/12/25,1,0,0,0,0
2020/12/26,5,1,1,3,30
2020/12/27,3,0,0,1,5
2020/12/28,7,0,2,2,22
2020/12/29,2,0,0,5,13
2020/12/30,1,0,2,1,5
2020/12/31,10,0,0,2,28
2021/1/1,4,0,1,0,4
