"日期","1星","2星","3星","4星","5星"
"2020-06-09","8","4","5","5","38"
"2020-06-10","21","5","2","4","25"
"2020-06-11","15","6","13","4","27"
"2020-06-12","32","8","5","6","17"
"2020-06-13","58","3","12","16","42"
"2020-06-14","37","1","10","14","42"
"2020-06-15","10","3","5","1","17"
"2020-06-16","16","6","0","6","26"
"2020-06-17","4","2","2","2","35"
"2020-06-18","12","-1","7","8","33"
"2020-06-19","21","5","5","11","27"
"2020-06-20","27","8","5","12","53"
"2020-06-21","20","3","8","16","74"
"2020-06-22","17","0","3","8","31"
"2020-06-23","6","1","7","5","41"
"2020-06-24","26","7","8","7","33"
"2020-06-25","32","2","12","14","94"
"2020-06-26","16","3","6","15","87"
"2020-06-27","22","1","4","2","63"
"2020-06-28","5","-1","8","9","33"
"2020-06-29","4","3","6","9","33"
"2020-06-30","15","0","2","8","41"
"2020-07-01","14","3","5","7","40"
"2020-07-02","17","4","4","9","61"
"2020-07-03","12","0","7","4","45"
"2020-07-04","20","6","9","8","58"
"2020-07-05","25","1","4","7","66"
"2020-07-06","8","6","4","11","56"
"2020-07-07","5","2","7","9","47"
"2020-07-08","12","5","0","11","51"
"2020-07-09","17","-2","13","4","35"
"2020-07-10","12","3","13","19","90"
"2020-07-11","15","0","15","38","247"
"2020-07-12","18","-1","16","28","182"
"2020-07-13","10","5","5","14","128"
"2020-07-14","14","3","8","21","133"
"2020-07-15","20","1","13","12","115"
"2020-07-16","25","11","16","41","420"
"2020-07-17","25","5","22","46","248"
"2020-07-18","36","8","19","29","224"
"2020-07-19","30","-2","9","32","205"
"2020-07-20","32","1","9","34","198"
"2020-07-21","7","4","7","15","89"
"2020-07-22","22","8","4","29","175"
"2020-07-23","24","4","23","26","168"
"2020-07-24","18","5","14","31","142"
"2020-07-25","15","5","8","22","189"
"2020-07-26","10","5","7","22","167"
"2020-07-27","21","1","13","18","134"
"2020-07-28","20","4","14","22","145"
"2020-07-29","16","3","11","20","151"
"2020-07-30","21","5","17","19","118"
"2020-07-31","13","-1","13","24","154"
"2020-08-01","16","3","12","20","126"
"2020-08-02","15","2","10","14","109"
"2020-08-03","13","6","11","10","97"
"2020-08-04","13","1","3","17","82"
"2020-08-05","15","1","12","23","89"
"2020-08-06","16","6","8","10","90"
"2020-08-07","18","2","6","21","92"
"2020-08-08","14","4","18","17","111"
"2020-08-09","7","-1","5","7","70"
"2020-08-10","26","2","5","15","79"
"2020-08-11","18","4","15","37","234"
"2020-08-12","3","8","100","287","1870"
"2020-08-13","25","11","54","126","801"
"2020-08-14","10","5","54","93","604"
"2020-08-15","12","4","32","68","411"
"2020-08-16","18","3","25","70","407"
"2020-08-17","6","-1","17","65","342"
"2020-08-18","10","6","36","82","447"
"2020-08-19","14","1","17","53","280"
"2020-08-20","15","6","20","77","408"
"2020-08-21","21","7","10","41","229"
"2020-08-22","13","2","20","40","238"
"2020-08-23","11","0","13","28","204"
"2020-08-24","15","4","4","50","226"
"2020-08-25","10","2","11","30","165"
"2020-08-26","9","2","14","47","198"
"2020-08-27","16","1","12","37","240"
"2020-08-28","19","4","7","37","330"
"2020-08-29","10","2","6","38","204"
"2020-08-30","15","3","8","23","168"
"2020-08-31","12","1","8","19","161"
"2020-09-01","5","2","4","10","89"
"2020-09-02","3","1","4","15","72"
"2020-09-03","6","1","4","5","45"
"2020-09-04","2","-2","5","2","19"
"2020-09-05","8","2","12","14","133"
"2020-09-06","11","6","12","23","238"
"2020-09-07","-1","2","2","7","33"
"2020-09-08","3","2","1","10","68"
"2020-09-09","-1","3","2","6","38"
"2020-09-10","3","-1","5","5","28"
"2020-09-11","8","-1","5","8","52"
"2020-09-12","12","1","5","23","139"
"2020-09-13","10","2","5","12","121"
"2020-09-14","2","2","5","2","31"
"2020-09-15","3","0","5","4","38"
"2020-09-16","2","1","0","5","20"
"2020-09-17","1","0","0","4","13"
"2020-09-18","4","2","2","0","29"
"2020-09-19","9","1","11","9","85"
"2020-09-20","16","2","8","17","99"
"2020-09-21","1","0","0","2","13"
"2020-09-22","1","1","5","5","22"
"2020-09-23","5","-1","2","5","10"
"2020-09-24","0","0","0","0","21"
"2020-09-25","-2","0","3","2","36"
"2020-09-26","11","-1","10","13","86"
"2020-09-27","6","-1","1","4","33"
"2020-09-28","4","1","0","2","23"
"2020-09-29","1","0","0","7","22"
"2020-09-30","2","2","0","11","45"
"2020-10-01","0","0","0","0","1"
"2020-10-02","0","0","0","0","0"
"2020-10-03","0","0","0","0","0"
"2020-10-04","0","0","0","0","0"
"2020-10-05","0","0","0","0","0"
"2020-10-06","0","0","0","0","0"
"2020-10-07","0","0","0","0","0"
"2020-10-08","0","0","0","0","0"
"2020-10-09","1","0","1","0","5"
"2020-10-10","6","0","-1","1","9"
"2020-10-11","6","1","-1","4","35"
"2020-10-12","3","0","0","2","15"
"2020-10-13","3","0","0","1","5"
"2020-10-14","4","1","-1","5","14"
"2020-10-15","-3","1","1","2","30"
"2020-10-16","56","6","32","75","579"
"2020-10-17","6","1","-2","13","98"
"2020-10-18","10","-1","3","16","119"
"2020-10-19","-2","0","1","-1","20"
"2020-10-20","4","2","3","6","39"
"2020-10-21","3","0","3","2","7"
"2020-10-22","8","1","3","3","24"
"2020-10-23","6","0","0","4","29"
"2020-10-24","2","5","2","9","65"
"2020-10-25","-1","1","1","2","15"
"2020-10-26","12","1","3","11","78"
"2020-10-27","2","0","3","2","8"
"2020-10-28","3","1","-1","2","21"
"2020-10-29","1","2","0","1","8"
"2020-10-30","9","0","3","3","29"
"2020-10-31","9","1","3","2","19"
"2020-11-01","2","0","1","3","25"
"2020-11-02","3","0","3","0","20"
"2020-11-03","1","1","-1","1","3"
"2020-11-04","1","3","-1","2","9"
"2020-11-05","9","0","6","19","83"
"2020-11-06","0","0","1","1","12"
"2020-11-07","12","0","1","4","29"
"2020-11-08","16","1","13","19","131"
"2020-11-09","3","1","0","6","26"
"2020-11-10","4","1","2","3","24"
"2020-11-11","-4","1","-3","0","-9"
"2020-11-12","-9","1","-2","1","-17"
"2020-11-13","5","1","2","4","26"
"2020-11-14","9","3","3","8","93"
"2020-11-15","5","3","7","6","70"
"2020-11-16","0","0","0","1","17"
"2020-11-17","1","1","1","0","18"
"2020-11-18","0","1","1","4","25"
"2020-11-19","5","4","2","5","18"
"2020-11-20","2","0","2","2","6"
"2020-11-21","9","-1","4","8","90"
"2020-11-22","0","4","2","9","31"
"2020-11-23","10","2","4","3","37"
"2020-11-24","0","0","0","1","5"
"2020-11-25","3","1","-1","5","20"
"2020-11-26","0","0","0","-2","10"
"2020-11-27","2","2","2","0","18"
"2020-11-28","5","1","6","14","61"
"2020-11-29","6","2","5","13","85"
"2020-11-30","5","1","1","1","23"
"2020-12-01","1","0","1","4","34"
"2020-12-02","0","0","-1","2","20"
"2020-12-03","2","0","3","6","22"
"2020-12-04","3","0","0","6","36"
"2020-12-05","8","0","6","12","107"
"2020-12-06","5","1","3","6","70"
"2020-12-07","3","0","1","9","38"
"2020-12-08","2","2","0","7","49"
"2020-12-09","0","0","0","8","25"
"2020-12-10","8","-1","5","11","35"
"2020-12-11","1","0","0","2","5"
"2020-12-12","8","0","10","14","122"
"2020-12-13","6","1","6","14","105"
"2020-12-14","0","1","3","0","21"
"2020-12-15","-1","0","2","3","5"
"2020-12-16","3","1","1","6","30"
"2020-12-17","2","1","1","3","16"
"2020-12-18","2","1","1","5","8"
"2020-12-19","1","4","8","15","74"
"2020-12-20","-1","1","3","6","71"
"2020-12-21","9","0","3","8","27"
"2020-12-22","0","-1","0","0","5"
"2020-12-23","6","-1","3","4","26"
"2020-12-24","4","-1","-1","2","27"
"2020-12-25","3","0","6","3","51"
"2020-12-26","1","-2","12","22","85"
"2020-12-27","7","2","8","26","132"
"2020-12-28","2","1","-2","5","40"
"2020-12-29","0","0","1","2","16"
"2020-12-30","8","1","2","9","60"
"2020-12-31","13","2","1","12","60"
"2021-01-01","13","2","5","16","188"
"2021-01-02","7","4","2","12","96"
"2021-01-03","8","2","13","27","145"
"2021-01-04","2","2","3","4","24"
"2021-01-05","2","0","3","3","27"
"2021-01-06","0","0","6","6","38"
"2021-01-07","6","0","4","7","67"
"2021-01-08","-1","1","1","9","67"
"2021-01-09","5","2","5","12","73"
"2021-01-10","12","1","4","16","163"
"2021-01-11","2","-2","2","8","41"
"2021-01-12","0","0","0","11","46"
"2021-01-13","-3","0","3","4","32"
"2021-01-14","4","1","3","11","44"
"2021-01-15","13","2","5","14","128"
"2021-01-16","4","2","6","11","123"
"2021-01-17","15","2","12","17","151"
"2021-01-18","7","0","3","10","77"
"2021-01-19","14","3","2","11","67"
"2021-01-20","3","1","0","4","34"
"2021-01-21","19","2","7","9","71"
"2021-01-22","10","1","5","7","58"
"2021-01-23","12","2","8","8","103"
"2021-01-24","8","1","9","8","67"
"2021-01-25","7","0","4","7","74"
"2021-01-26","12","-2","10","7","84"
"2021-01-27","7","1","-1","7","69"
"2021-01-28","15","1","5","13","102"
"2021-01-29","11","3","2","13","75"
"2021-01-30","12","3","6","15","79"
"2021-01-31","10","6","-2","11","83"
"2021-02-01","7","1","5","11","39"
"2021-02-02","27","5","11","12","86"
"2021-02-03","9","6","7","10","61"
"2021-02-04","7","7","0","16","144"
"2021-02-05","3","3","9","13","117"
"2021-02-06","11","5","10","27","115"
"2021-02-07","16","0","7","11","62"
"2021-02-08","3","0","4","8","102"
"2021-02-09","16","2","4","23","142"
"2021-02-10","5","1","7","8","142"
"2021-02-11","5","3","1","13","54"
"2021-02-12","11","3","0","9","60"
"2021-02-13","10","5","9","14","52"
"2021-02-14","5","3","3","9","59"
