"日期","收入预估~iPhone"
"2024-04-15","1808806"
"2024-04-14","1817039"
"2024-04-13","1848019"
"2024-04-12","1831951"
"2024-04-11","351524"
"2024-04-10","476573"
"2024-04-09","433038"
"2024-04-08","360088"
"2024-04-07","332668"
"2024-04-06","312217"
"2024-04-05","386239"
"2024-04-04","475768"
"2024-04-03","427414"
"2024-04-02","540513"
"2024-04-01","435398"
"2024-03-31","495987"
"2024-03-30","969104"
"2024-03-29","518843"
"2024-03-28","634884"
"2024-03-27","484892"
"2024-03-26","495125"
"2024-03-25","457607"
"2024-03-24","516575"
"2024-03-23","486275"
"2024-03-22","702681"
"2024-03-21","556899"
"2024-03-20","621076"
"2024-03-19","646781"
"2024-03-18","700004"
"2024-03-17","697217"
"2024-03-16","701904"
"2024-03-15","1446036"
"2024-03-14","1233182"
"2024-03-13","1511920"
"2024-03-12","1780915"
"2024-03-11","1243083"
"2024-03-10","1787968"
"2024-03-09","1259082"
"2024-03-08","426803"
"2024-03-07","495270"
"2024-03-06","543094"
"2024-03-05","593363"
"2024-03-04","882994"
"2024-03-03","1238704"
"2024-03-02","716315"
"2024-03-01","1501327"
"2024-02-29","768895"
"2024-02-28","578688"
"2024-02-27","1284293"
"2024-02-26","1263313"
"2024-02-25","1483099"
"2024-02-24","1519237"
"2024-02-23","796628"
"2024-02-22","568098"
"2024-02-21","636162"
"2024-02-20","1188523"
"2024-02-19","1517900"
"2024-02-18","1784927"
"2024-02-17","1822134"
"2024-02-16","1814957"
"2024-02-15","1817338"
"2024-02-14","1516469"
"2024-02-13","1525400"
"2024-02-12","1526186"
"2024-02-11","1810214"
"2024-02-10","1805867"
"2024-02-09","1837849"
"2024-02-08","579639"
"2024-02-07","567454"
"2024-02-06","519870"
"2024-02-05","674134"
"2024-02-04","571263"
"2024-02-03","619108"
"2024-02-02","811356"
"2024-02-01","519783"
"2024-01-31","577513"
"2024-01-30","617845"
"2024-01-29","518777"
"2024-01-28","516330"
"2024-01-27","832862"
"2024-01-26","498179"
"2024-01-25","1215314"
"2024-01-24","1518019"
"2024-01-23","1782773"
"2024-01-22","1516367"
"2024-01-21","1818267"
"2024-01-20","1837787"
"2024-01-19","1830949"
"2024-01-18","444849"
"2024-01-17","432935"
"2024-01-16","434885"
"2024-01-15","328735"
"2024-01-14","367756"
"2024-01-13","418134"
"2024-01-12","518099"
"2024-01-11","481135"
"2024-01-10","434181"
"2024-01-09","498146"
"2024-01-08","455254"
"2024-01-07","359846"
"2024-01-06","384172"
"2024-01-05","708717"
"2024-01-04","638903"
"2024-01-03","712737"
"2024-01-02","710414"
"2024-01-01","290878"
"2023-12-31","316056"
"2023-12-30","340590"
"2023-12-29","317729"
"2023-12-28","512123"
"2023-12-27","529553"
"2023-12-26","560446"
"2023-12-25","607760"
"2023-12-24","445346"
"2023-12-23","545705"
"2023-12-22","523930"
"2023-12-21","431900"
"2023-12-20","433507"
"2023-12-19","1474657"
"2023-12-18","1172707"
"2023-12-17","1519263"
"2023-12-16","1806520"
"2023-12-15","1784401"
"2023-12-14","1515818"
"2023-12-13","1819250"
"2023-12-12","1292112"
"2023-12-11","1500800"
"2023-12-10","1818719"
"2023-12-09","1787839"
"2023-12-08","1527491"
"2023-12-07","1812255"
"2023-12-06","1792152"
"2023-12-05","1836826"
"2023-12-04","1888624"
"2023-12-03","1293485"
"2023-12-02","520273"
"2023-12-01","542837"
"2023-11-30","676853"
"2023-11-29","542848"
"2023-11-28","619764"
"2023-11-27","518979"
"2023-11-26","582618"
"2023-11-25","580853"
"2023-11-24","683795"
"2023-11-23","576102"
"2023-11-22","734156"
"2023-11-21","1237279"
"2023-11-20","720095"
"2023-11-19","1157299"
"2023-11-18","1258726"
"2023-11-17","1424089"
"2023-11-16","794161"
"2023-11-15","577265"
"2023-11-14","716111"
"2023-11-13","1427054"
"2023-11-12","722222"
"2023-11-11","785090"
"2023-11-10","991915"
"2023-11-09","451261"
"2023-11-08","1495885"
"2023-11-07","1542399"
"2023-11-06","1522355"
"2023-11-05","1502711"
"2023-11-04","1785108"
"2023-11-03","1810223"
"2023-11-02","496812"
"2023-11-01","549042"
"2023-10-31","624289"
"2023-10-30","638228"
"2023-10-29","558521"
"2023-10-28","580086"
"2023-10-27","707952"
"2023-10-26","1500207"
"2023-10-25","1559312"
"2023-10-24","519050"
"2023-10-23","529328"
"2023-10-22","451950"
"2023-10-21","563368"
"2023-10-20","431895"
"2023-10-19","353008"
"2023-10-18","354189"
"2023-10-17","482113"
"2023-10-16","566199"
"2023-10-15","520130"
"2023-10-14","575879"
"2023-10-13","1088755"
"2023-10-12","391809"
"2023-10-11","332275"
"2023-10-10","476027"
"2023-10-09","474775"
"2023-10-08","433591"
"2023-10-07","422732"
"2023-10-06","349192"
"2023-10-05","388198"
"2023-10-04","552335"
"2023-10-03","465435"
"2023-10-02","607885"
"2023-10-01","789092"
"2023-09-30","614081"
"2023-09-29","638629"
"2023-09-28","1180400"
"2023-09-27","353710"
"2023-09-26","698466"
"2023-09-25","1491780"
"2023-09-24","718313"
"2023-09-23","1180347"
"2023-09-22","991392"
"2023-09-21","455023"
"2023-09-20","457895"
"2023-09-19","1537795"
"2023-09-18","1785397"
"2023-09-17","720234"
"2023-09-16","1402586"
"2023-09-15","544800"
"2023-09-14","506246"
"2023-09-13","556751"
"2023-09-12","603595"
"2023-09-11","717408"
"2023-09-10","717818"
"2023-09-09","581524"
"2023-09-08","657393"
"2023-09-07","380440"
"2023-09-06","421769"
"2023-09-05","544751"
"2023-09-04","518801"
