ÈÕÆÚ,1ÐÇ,2ÐÇ,3ÐÇ,4ÐÇ,5ÐÇ,
2021/8/27,9,2,25,50,293,4.625329815
2021/8/28,16,3,26,43,223,4.459807074
2021/8/29,5,4,3,0,23,3.914285714
2021/8/30,10,1,1,1,22,3.685714286
2021/8/31,16,3,3,6,23,3.333333333
2021/9/1,41,5,7,7,86,3.630136986
2021/9/2,34,4,12,33,280,4.435261708
2021/9/3,23,3,17,33,267,4.510204082
2021/9/4,62,6,16,23,312,4.233890215
2021/9/5,36,9,2,6,121,3.959770115
2021/9/6,10,0,0,3,38,4.156862745
2021/9/7,8,0,1,0,31,4.15
2021/9/8,5,0,1,0,28,4.352941176
2021/9/9,9,2,2,4,37,4.074074074
2021/9/10,10,1,1,3,41,4.142857143
2021/9/11,21,0,6,6,77,4.072727273
2021/9/12,16,1,4,4,62,4.091954023
2021/9/13,10,0,1,3,23,3.783783784
2021/9/14,4,0,0,2,18,4.25
2021/9/15,4,0,3,1,12,3.85
2021/9/16,3,0,1,1,21,4.423076923
2021/9/17,7,0,1,0,19,3.888888889
2021/9/18,19,3,9,31,137,4.326633166
2021/9/19,25,2,20,31,238,4.439873418
2021/9/20,21,3,14,23,188,4.421686747
2021/9/21,16,2,5,13,139,4.468571429
2021/9/22,2,1,2,0,18,4.347826087
2021/9/23,4,3,-1,0,14,3.85
2021/9/24,4,0,0,2,17,4.217391304
2021/9/25,12,1,2,0,27,3.69047619
2021/9/26,3,0,4,11,68,4.639534884
2021/9/27,13,2,9,23,161,4.524038462
2021/9/28,9,0,11,30,151,4.562189055
2021/9/29,4,0,6,17,102,4.651162791
2021/9/30,8,1,10,18,133,4.570588235
2021/10/1,0,1,0,4,27,4.78125
2021/10/2,0,0,0,0,0,#DIV/0!
2021/10/3,0,0,0,0,0,#DIV/0!
2021/10/4,0,0,0,0,0,#DIV/0!
2021/10/5,0,0,0,0,0,#DIV/0!
2021/10/6,0,0,0,0,0,#DIV/0!
2021/10/7,0,0,0,0,0,#DIV/0!
2021/10/8,6,2,2,12,85,4.570093458
2021/10/9,5,1,3,10,19,3.973684211
2021/10/10,10,0,2,3,26,3.853658537
2021/10/11,2,0,1,0,4,3.571428571
2021/10/12,4,2,8,26,132,4.627906977
2021/10/13,2,2,11,18,145,4.696629213
2021/10/14,17,3,10,22,116,4.291666667
2021/10/15,33,5,10,27,144,4.114155251
2021/10/16,9,3,14,27,119,4.418604651
2021/10/17,-86,-4,2,4,-7,1.175824176
2021/10/18,-119,-3,-4,-3,-41,2.082352941
2021/10/19,-77,-3,-3,-2,-31,2.198275862
2021/10/20,-7,1,0,0,-14,3.75
2021/10/21,-6,-1,1,1,-6,2.818181818
2021/10/22,-9,1,1,-3,-11,3.380952381
2021/10/23,10,5,-2,3,20,3.5
2021/10/24,2,3,-1,1,-10,8.2
2021/10/25,-5,0,-2,-2,-4,3
2021/10/26,-6,2,-2,-2,-3,2.818181818
2021/10/27,2,0,-3,0,-6,5.285714286
2021/10/28,6,1,1,1,3,2.5
2021/10/29,9,-2,2,3,16,3.678571429
2021/10/30,16,3,6,7,31,3.53968254
2021/10/31,12,2,2,0,7,2.47826087
2021/11/1,3,1,4,1,8,3.588235294
2021/11/2,1,1,-1,1,9,4.454545455
2021/11/3,3,1,0,0,12,4.0625
2021/11/4,0,2,3,10,76,4.758241758
2021/11/5,10,0,10,13,137,4.570588235
2021/11/6,22,4,15,21,183,4.383673469
2021/11/7,19,1,8,17,134,4.374301676
2021/11/8,0,1,7,16,78,4.676470588
2021/11/9,9,0,4,11,79,4.466019417
2021/11/10,3,2,-1,1,38,4.604651163
2021/11/11,5,4,3,14,109,4.614814815
2021/11/12,15,4,13,28,194,4.503937008
2021/11/13,15,5,9,12,170,4.502369668
2021/11/14,14,1,8,8,131,4.487654321
2021/11/15,4,1,2,11,87,4.676190476
2021/11/16,7,3,8,9,57,4.261904762
2021/11/17,3,1,1,0,10,3.866666667
2021/11/18,8,2,1,1,12,3.291666667
2021/11/19,10,1,1,2,14,3.321428571
2021/11/20,12,2,2,4,33,3.830188679
2021/11/21,12,4,6,4,28,3.592592593
2021/11/22,4,0,1,2,7,3.571428571
2021/11/23,4,3,1,2,8,3.388888889
2021/11/24,10,1,0,1,5,2.411764706
2021/11/25,7,1,3,0,5,2.6875
2021/11/26,11,1,2,0,7,2.571428571
2021/11/27,19,2,4,3,15,2.837209302
2021/11/28,14,3,0,3,12,2.875
2021/11/29,13,0,2,1,7,2.52173913
2021/11/30,5,0,0,0,8,3.461538462
2021/12/1,8,1,0,0,9,3.055555556
2021/12/2,6,2,2,1,7,3.055555556
2021/12/3,5,2,0,2,11,3.6
2021/12/4,23,1,3,6,27,3.216666667
2021/12/5,21,0,1,2,16,2.8
2021/12/6,6,0,1,1,0,1.625
2021/12/7,5,0,0,1,9,3.6
2021/12/8,7,0,2,1,10,3.35
2021/12/9,6,0,6,9,97,4.618644068
2021/12/10,14,4,6,7,88,4.268907563
2021/12/11,38,4,7,26,182,4.206225681
2021/12/12,33,12,6,10,112,3.901734104
2021/12/13,5,1,3,10,61,4.5125
2021/12/14,1,2,0,0,9,4.166666667
2021/12/15,8,4,1,0,9,2.909090909
2021/12/16,21,3,2,2,18,2.847826087
2021/12/17,12,3,2,4,15,3.194444444
2021/12/18,23,1,4,2,34,3.359375
2021/12/19,32,3,5,3,15,2.413793103
2021/12/20,11,2,-1,2,4,2.222222222
2021/12/21,9,2,2,1,6,2.65
2021/12/22,6,1,0,0,10,3.411764706
2021/12/23,10,1,1,1,9,2.909090909
2021/12/24,25,1,1,0,11,2.236842105
2021/12/25,37,4,1,4,29,2.786666667
2021/12/26,23,3,5,3,20,2.888888889
2021/12/27,8,4,0,1,3,2.1875
2021/12/28,5,3,4,2,7,3.142857143
2021/12/29,6,2,0,0,8,3.125
2021/12/30,8,3,11,13,76,4.315315315
2021/12/31,18,1,6,25,160,4.466666667
2022/1/1,28,4,7,19,187,4.359183673
2022/1/2,29,4,10,9,121,4.092485549
2022/1/3,22,7,1,10,88,4.0546875
2022/1/4,8,1,7,6,52,4.256756757
2022/1/5,16,0,3,2,10,2.677419355
2022/1/6,14,6,1,4,9,2.647058824
2022/1/7,14,1,4,1,15,3.057142857
2022/1/8,46,5,2,3,19,2.253333333
2022/1/9,19,2,7,2,22,3.115384615
2022/1/10,25,3,0,1,5,1.764705882
2022/1/11,16,2,5,4,12,2.846153846
2022/1/12,32,1,5,2,8,2.020833333
2022/1/13,26,1,4,2,18,2.705882353
2022/1/14,22,3,3,6,20,2.981481481
2022/1/15,30,4,2,2,25,2.80952381
2022/1/16,31,1,2,4,42,3.3125
2022/1/17,37,5,2,3,84,3.702290076
2022/1/18,34,3,4,4,438,4.67494824
2022/1/19,37,2,4,7,185,4.280851064
2022/1/20,38,6,11,16,259,4.36969697
2022/1/21,39,4,20,42,353,4.454148472
2022/1/22,60,6,13,34,148,3.781609195
2022/1/23,20,2,4,5,57,3.875
2022/1/24,12,3,3,1,33,3.769230769
2022/1/25,32,2,2,3,26,2.830769231
2022/1/26,21,4,2,8,31,3.363636364
2022/1/27,32,3,10,6,36,3.126436782
2022/1/28,19,1,4,7,36,3.597014925
2022/1/29,38,4,6,4,45,3.144329897
2022/1/30,38,2,8,2,25,2.653333333
2022/1/31,12,2,4,4,29,3.705882353
2022/2/1,18,4,2,5,16,2.933333333
2022/2/2,18,0,3,5,36,3.661290323
2022/2/3,11,4,4,1,25,3.555555556
2022/2/4,26,5,7,7,37,3.292682927
2022/2/5,9,1,1,7,27,3.933333333
2022/2/6,13,5,6,5,44,3.849315068
2022/2/7,17,3,4,4,29,3.438596491
2022/2/8,18,3,2,10,26,3.389830508
2022/2/9,17,1,5,3,31,3.526315789
2022/2/10,19,2,3,4,39,3.626865672
2022/2/11,14,1,1,4,20,3.375
2022/2/12,15,1,2,7,32,3.701754386
2022/2/13,20,1,4,2,26,3.245283019
2022/2/14,5,2,1,5,18,3.935483871
2022/2/15,14,1,4,5,16,3.2
2022/2/16,8,2,6,4,19,3.615384615
2022/2/17,14,2,4,3,17,3.175
2022/2/18,12,1,0,1,15,3.206896552
2022/2/19,21,5,4,2,31,3.26984127
2022/2/20,5,5,2,0,20,3.78125
2022/2/21,8,0,2,2,10,3.272727273
2022/2/22,11,1,0,1,8,2.714285714
2022/2/23,8,1,0,2,15,3.576923077
2022/2/24,4,1,2,2,13,3.863636364
2022/2/25,12,0,1,5,15,3.333333333
2022/2/26,4,1,2,1,23,4.225806452
2022/2/27,17,3,5,1,35,3.557377049
2022/2/28,5,0,0,1,2,2.375
2022/3/1,8,0,0,0,10,3.222222222
2022/3/2,8,2,1,0,7,2.777777778
2022/3/3,-1,0,0,0,0,1
2022/3/4,0,0,0,0,0,#DIV/0!
2022/3/5,0,0,0,0,0,#DIV/0!
2022/3/6,0,0,0,0,0,#DIV/0!
2022/3/7,2,0,1,2,6,3.909090909
2022/3/8,12,0,10,25,110,4.407643312
2022/3/9,7,2,12,18,86,4.392
2022/3/10,10,4,4,15,77,4.318181818
2022/3/11,6,2,2,9,60,4.455696203
2022/3/12,27,3,6,14,113,4.122699387
2022/3/13,8,-1,5,5,72,4.505617978
2022/3/14,6,3,2,13,63,4.425287356
2022/3/15,15,0,8,5,88,4.301724138
2022/3/16,3,0,0,1,7,3.818181818
2022/3/17,7,0,2,1,19,3.862068966
2022/3/18,3,0,0,1,16,4.35
2022/3/19,19,3,1,2,20,3.022222222
2022/3/20,11,0,1,6,28,3.869565217
2022/3/21,8,2,2,2,11,3.24
2022/3/22,4,2,4,0,17,3.888888889
2022/3/23,4,0,0,4,22,4.333333333
2022/3/24,9,1,4,11,89,4.49122807
2022/3/25,20,4,13,28,224,4.494809689
2022/3/26,8,7,9,12,137,4.520231214
2022/3/27,21,4,7,22,135,4.301587302
2022/3/28,13,3,5,20,116,4.420382166
2022/3/29,5,0,4,4,35,4.333333333
2022/3/30,6,0,3,2,17,3.857142857
2022/3/31,10,4,10,15,169,4.581730769
2022/4/1,12,0,12,21,211,4.63671875
2022/4/2,16,4,13,21,157,4.417061611
2022/4/3,10,5,3,15,151,4.586956522
2022/4/4,18,1,7,12,78,4.129310345
2022/4/5,10,0,1,2,23,3.777777778
2022/4/6,9,1,2,4,26,3.880952381
2022/4/7,12,5,1,4,16,3.184210526
2022/4/8,16,6,8,14,172,4.481481481
2022/4/9,17,4,14,32,234,4.534883721
2022/4/10,16,2,7,21,156,4.48019802
2022/4/11,20,3,3,22,140,4.377659574
2022/4/12,9,1,0,10,62,4.402439024
2022/4/13,7,0,0,1,12,3.55
2022/4/14,14,6,7,7,37,3.661971831
2022/4/15,12,2,2,6,18,3.4
2022/4/16,24,3,3,13,28,3.253521127
2022/4/17,20,3,5,5,26,3.237288136
2022/4/18,6,1,2,2,16,3.777777778
2022/4/19,4,0,0,2,21,4.333333333
2022/4/20,2,1,1,5,23,4.4375
2022/4/21,9,1,2,5,28,3.933333333
2022/4/22,7,2,0,0,16,3.64
2022/4/23,16,5,4,1,41,3.686567164
2022/4/24,3,1,0,1,10,3.933333333
2022/4/25,15,1,6,5,35,3.709677419
2022/4/26,7,1,2,2,25,4
2022/4/27,8,1,6,3,11,3.275862069
2022/4/28,14,4,3,0,19,3.15
2022/4/29,12,0,0,5,15,3.34375
2022/4/30,16,3,7,6,37,3.652173913
2022/5/1,22,4,4,2,40,3.472222222
2022/5/2,19,4,6,5,34,3.455882353
2022/5/3,22,1,2,5,27,3.245614035
2022/5/4,18,0,4,1,25,3.3125
2022/5/5,9,0,4,2,20,3.685714286
2022/5/6,8,0,2,2,11,3.347826087
2022/5/7,16,2,3,2,39,3.741935484
2022/5/8,7,0,5,2,23,3.918918919
2022/5/9,8,4,4,3,32,3.921568627
2022/5/10,14,2,0,1,17,3.147058824
2022/5/11,8,4,1,1,20,3.617647059
2022/5/12,6,1,3,1,19,3.866666667
2022/5/13,7,0,2,2,8,3.210526316
2022/5/14,24,4,0,6,33,3.298507463
2022/5/15,17,3,5,4,26,3.345454545
2022/5/16,4,0,1,0,9,3.714285714
2022/5/17,4,1,1,0,17,4.086956522
2022/5/18,7,1,4,1,15,3.571428571
2022/5/19,6,1,3,17,116,4.65034965
2022/5/20,8,1,6,26,163,4.642156863
2022/5/21,16,2,13,25,220,4.561594203
2022/5/22,16,2,11,25,172,4.482300885
2022/5/23,7,2,1,9,64,4.457831325
2022/5/24,8,1,1,4,25,3.948717949
2022/5/25,7,0,1,2,4,2.714285714
2022/5/26,6,1,0,3,4,2.857142857
2022/5/27,17,0,4,3,20,3.204545455
2022/5/28,14,1,4,5,30,3.666666667
2022/5/29,13,1,4,0,28,3.630434783
2022/5/30,3,0,0,0,7,3.8
2022/5/31,8,0,0,2,14,3.583333333
2022/6/1,12,1,2,1,24,3.6
2022/6/2,7,5,1,1,13,3.296296296
2022/6/3,7,2,4,0,16,3.551724138
2022/6/4,30,2,5,4,48,3.426966292
2022/6/5,4,2,2,0,12,3.7
2022/6/6,10,0,3,5,24,3.785714286
2022/6/7,2,1,1,0,5,3.555555556
2022/6/8,15,1,1,4,24,3.466666667
2022/6/9,7,1,1,1,10,3.3
2022/6/10,1,0,0,1,8,4.5
2022/6/11,16,1,3,6,35,3.704918033
2022/6/12,9,1,1,2,17,3.566666667
2022/6/13,9,0,4,2,11,3.230769231
2022/6/14,8,1,2,3,14,3.5
2022/6/15,5,0,2,1,7,3.333333333
2022/6/16,0,0,0,0,0,#DIV/0!
2022/6/17,24838,4387,9002,14363,118510,4.153243717
2022/6/18,3,1,0,1,19,4.333333333
2022/6/19,13,1,0,6,11,3.032258065
2022/6/20,18,4,1,3,29,3.381818182
2022/6/21,8,2,3,1,13,3.333333333
2022/6/22,5,0,3,1,12,3.714285714
2022/6/23,15,3,4,26,140,4.45212766
2022/6/24,0,0,0,0,0,#DIV/0!
2022/6/25,24924,4405,9037,14445,119013,4.153610671
2022/6/26,23,7,10,25,197,4.396946565
2022/6/27,9,1,5,21,88,4.435483871
2022/6/28,10,2,4,4,22,3.619047619
2022/6/29,12,3,4,0,13,2.96875
2022/6/30,14,4,2,5,28,3.547169811
2022/7/1,9,3,3,2,9,2.961538462
2022/7/2,24,3,2,9,36,3.405405405
2022/7/3,7,2,4,4,20,3.756756757
2022/7/4,7,1,0,1,9,3.222222222
2022/7/5,28,1,9,6,43,3.402298851
2022/7/6,16,3,7,2,25,3.320754717
2022/7/7,10,0,1,2,18,3.580645161
2022/7/8,19,3,7,5,33,3.447761194
2022/7/9,5,1,3,1,12,3.636363636
2022/7/10,36,3,8,15,38,3.16
2022/7/11,10,4,3,1,10,2.892857143
2022/7/12,24,1,5,1,38,3.405797101
2022/7/13,3,0,1,3,5,3.583333333
2022/7/14,22,2,4,5,44,3.61038961
2022/7/15,43,7,9,15,70,3.430555556
2022/7/16,9,2,3,8,27,3.857142857
2022/7/17,15,5,6,6,24,3.339285714
2022/7/18,28,2,9,9,43,3.406593407
2022/7/19,16,1,3,1,19,3.15
2022/7/20,19,1,6,9,20,3.181818182
2022/7/21,31,1,5,5,43,3.329411765
2022/7/22,17,5,5,4,33,3.484375
2022/7/23,15,3,1,2,20,3.219512195
2022/7/24,26,9,4,4,32,3.093333333
2022/7/25,21,1,5,8,29,3.359375
2022/7/26,18,4,3,3,40,3.632352941
2022/7/27,13,5,4,9,28,3.576271186
2022/7/28,22,2,5,1,15,2.666666667
2022/7/29,36,7,6,14,72,3.585185185
2022/7/30,18,2,6,4,37,3.597014925
2022/7/31,33,2,5,4,33,3.025974026
2022/8/1,20,3,5,3,38,3.52173913
2022/8/2,21,3,3,4,34,3.415384615
2022/8/3,30,5,5,5,43,3.295454545
2022/8/4,31,6,7,5,44,3.268817204
2022/8/5,13,1,5,3,38,3.866666667
2022/8/6,19,3,4,2,25,3.20754717
2022/8/7,35,4,9,3,54,3.352380952
2022/8/8,24,0,6,8,21,3.033898305
2022/8/9,21,1,4,1,10,2.405405405
2022/8/10,27,6,11,6,55,3.533333333
2022/8/11,17,2,1,2,26,3.375
2022/8/12,19,3,2,6,34,3.515625
2022/8/13,25,3,7,2,30,3.134328358
2022/8/14,26,1,4,6,39,3.407894737
2022/8/15,18,1,2,7,23,3.31372549
2022/8/16,22,4,2,0,29,3.175438596
2022/8/17,15,0,3,3,31,3.673076923
2022/8/18,26,4,3,6,35,3.27027027
2022/8/19,13,5,5,8,36,3.731343284
2022/8/20,9,2,3,3,21,3.657894737
2022/8/21,17,8,6,5,32,3.397058824
2022/8/22,24,8,5,3,43,3.397590361
2022/8/23,10,2,4,2,23,3.634146341
2022/8/24,30,3,7,2,54,3.489583333
2022/8/25,34,3,4,8,50,3.373737374
2022/8/26,14,1,6,3,42,3.878787879
2022/8/27,21,3,2,8,36,3.5
2022/8/28,23,0,5,2,25,3.109090909
2022/8/29,8,1,2,6,13,3.5
2022/8/30,14,2,6,5,18,3.244444444
2022/8/31,11,0,2,0,16,3.344827586
2022/9/1,2,0,0,1,6,4
2022/9/2,3,1,1,1,25,4.419354839
2022/9/3,15,4,4,6,26,3.436363636
2022/9/4,16,0,1,8,20,3.355555556
2022/9/5,3,1,1,1,7,3.615384615
2022/9/6,9,4,2,2,20,3.540540541
2022/9/7,3,1,2,0,13,4
2022/9/8,27,2,3,2,20,2.740740741
2022/9/9,7,2,2,2,35,4.166666667
2022/9/10,23,1,3,1,31,3.271186441
2022/9/11,13,3,3,2,25,3.5
2022/9/12,19,2,2,1,27,3.294117647
2022/9/13,10,0,3,4,24,3.780487805
2022/9/14,1,0,2,4,1,3.5
2022/9/15,9,4,4,1,26,3.704545455
2022/9/16,7,0,0,1,9,3.294117647
2022/9/17,23,2,5,5,42,3.532467532
2022/9/18,12,2,2,5,22,3.534883721
2022/9/19,2,2,0,1,8,3.846153846
2022/9/20,4,1,1,0,5,3.090909091
2022/9/21,5,0,2,1,14,3.863636364
2022/9/22,5,1,1,4,7,3.388888889
2022/9/23,6,2,0,3,10,3.428571429
2022/9/24,14,1,3,6,35,3.796610169
2022/9/25,16,3,3,2,29,3.471698113
2022/9/26,1,0,1,0,1,3
2022/9/27,6,1,1,0,15,3.739130435
2022/9/28,5,0,3,3,5,3.1875
2022/9/29,3,0,3,5,17,4.178571429
2022/9/30,9,1,0,4,5,2.736842105
2022/10/1,6,0,1,2,4,2.846153846
2022/10/2,0,0,0,0,0,#DIV/0!
2022/10/3,0,0,0,0,0,#DIV/0!
2022/10/4,0,0,0,0,0,#DIV/0!
2022/10/5,0,0,0,0,0,#DIV/0!
2022/10/6,0,0,0,0,0,#DIV/0!
2022/10/7,8,0,2,5,17,3.71875
2022/10/8,2,0,3,2,13,4.2
2022/10/9,5,1,1,2,11,3.65
2022/10/10,9,1,2,2,18,3.59375
2022/10/11,10,0,1,1,17,3.517241379
2022/10/12,1,0,0,0,8,4.555555556
2022/10/13,5,2,1,4,33,4.288888889
2022/10/14,6,2,0,1,19,3.892857143
2022/10/15,11,1,0,2,22,3.638888889
2022/10/16,17,5,1,4,43,3.728571429
2022/10/17,6,0,0,2,8,3.375
2022/10/18,3,1,1,2,27,4.441176471
2022/10/19,1,0,0,4,24,4.724137931
2022/10/20,6,0,2,3,16,3.851851852
2022/10/21,2,0,1,1,16,4.45
2022/10/22,13,3,0,3,21,3.4
2022/10/23,23,3,6,8,33,3.342465753
2022/10/24,7,1,0,1,15,3.666666667
2022/10/25,4,3,0,2,21,4.1
2022/10/26,8,0,2,1,12,3.391304348
2022/10/27,13,2,4,3,23,3.466666667
2022/10/28,13,2,1,1,14,3.032258065
2022/10/29,12,2,4,2,24,3.545454545
2022/10/30,14,0,2,2,18,3.277777778
2022/10/31,4,1,2,1,10,3.666666667
2022/11/1,4,0,2,1,15,4.045454545
2022/11/2,9,1,0,2,19,3.677419355
2022/11/3,7,1,2,2,24,3.972222222
2022/11/4,5,0,0,4,13,3.909090909
2022/11/5,21,1,7,4,42,3.6
2022/11/6,10,2,1,1,26,3.775
2022/11/7,6,1,2,1,18,3.857142857
2022/11/8,1,1,0,1,17,4.6
2022/11/9,9,1,0,0,19,3.655172414
2022/11/10,8,0,1,1,13,3.47826087
2022/11/11,5,1,1,0,12,3.684210526
2022/11/12,15,4,1,3,39,3.758064516
2022/11/13,11,4,2,8,28,3.716981132
2022/11/14,1,1,0,4,11,4.352941176
2022/11/15,9,1,1,5,13,3.413793103
2022/11/16,2,4,2,1,8,3.529411765
2022/11/17,3,0,1,1,18,4.347826087
2022/11/18,10,1,5,5,17,3.473684211
2022/11/19,7,3,3,1,12,3.307692308
2022/11/20,9,2,1,3,18,3.575757576
2022/11/21,4,1,2,3,7,3.470588235
2022/11/22,7,0,1,1,22,4
2022/11/23,5,0,5,4,24,4.105263158
2022/11/24,13,1,0,2,13,3.034482759
2022/11/25,4,0,0,3,9,3.8125
2022/11/26,18,3,3,1,28,3.339622642
2022/11/27,9,0,1,1,19,3.7
2022/11/28,11,2,0,4,38,4.018181818
2022/11/29,2,2,1,2,11,4
2022/11/30,11,1,1,7,20,3.6
2022/12/1,11,0,2,2,23,3.684210526
2022/12/2,6,1,0,0,11,3.5
2022/12/3,18,3,3,8,32,3.515625
2022/12/4,8,0,0,0,16,3.666666667
2022/12/5,6,1,3,2,16,3.75
2022/12/6,1,2,0,1,31,4.685714286
2022/12/7,6,0,0,4,15,3.88
2022/12/8,11,1,7,1,16,3.277777778
2022/12/9,15,1,3,2,25,3.456521739
2022/12/10,17,2,3,0,12,2.647058824
2022/12/11,8,2,3,1,15,3.448275862
2022/12/12,3,0,0,0,14,4.294117647
2022/12/13,5,1,0,3,-5,-1.5
2022/12/14,14,1,2,2,10,2.75862069
2022/12/15,3,2,0,1,25,4.387096774
2022/12/16,7,1,3,2,16,3.655172414
2022/12/17,14,2,0,0,16,3.0625
2022/12/18,17,2,1,5,14,2.923076923
2022/12/19,11,1,3,4,28,3.787234043
2022/12/20,12,7,3,2,20,3.25
2022/12/21,14,2,4,4,18,3.238095238
2022/12/22,20,0,4,3,21,3.104166667
2022/12/23,20,2,10,3,24,3.152542373
2022/12/24,9,1,0,0,16,3.5
2022/12/25,7,1,11,2,16,3.513513514
2022/12/26,23,2,8,8,19,2.966666667
2022/12/27,3,0,0,1,1,2.4
2022/12/28,16,3,5,2,23,3.265306122
2022/12/29,19,3,9,6,37,3.527027027
2022/12/30,24,1,5,6,29,3.230769231
2022/12/31,9,1,4,5,14,3.424242424
2023/1/1,0,0,0,0,0,#DIV/0!
2023/1/2,27341,4756,9587,15086,123487,4.124072852
2023/1/3,7,0,3,4,9,3.347826087
2023/1/4,6,0,1,3,10,3.55
2023/1/5,18,1,1,1,28,3.408163265
2023/1/6,11,1,2,3,20,3.540540541
2023/1/7,13,0,4,2,7,2.615384615
2023/1/8,11,4,3,4,8,2.8
2023/1/9,14,1,2,0,14,2.967741935
2023/1/10,13,1,3,4,18,3.333333333
2023/1/11,1,0,1,0,5,4.142857143
2023/1/12,11,3,4,3,17,3.315789474
2023/1/13,28,6,8,4,15,2.540983607
2023/1/14,18,0,3,1,14,2.805555556
2023/1/15,14,1,2,2,6,2.4
2023/1/16,9,2,7,6,41,4.046153846
2023/1/17,6,2,1,3,13,3.6
2023/1/18,18,7,5,12,31,3.424657534
2023/1/19,3,0,2,3,10,3.944444444
2023/1/20,16,2,4,2,20,3.181818182
2023/1/21,8,1,5,1,16,3.516129032
2023/1/22,19,3,4,1,11,2.526315789
2023/1/23,9,2,3,1,3,2.277777778
2023/1/24,12,0,1,3,15,3.290322581
2023/1/25,18,1,9,1,23,3.192307692
2023/1/26,9,1,4,4,13,3.35483871
2023/1/27,5,0,0,0,7,3.333333333
2023/1/28,18,1,2,5,19,3.133333333
2023/1/29,4,1,3,4,9,3.619047619
2023/1/30,15,5,8,1,15,2.909090909
2023/1/31,7,2,0,2,8,3.105263158
2023/2/1,17,0,3,7,17,3.159090909
2023/2/2,11,1,3,4,18,3.459459459
2023/2/3,1,0,0,0,4,4.2
2023/2/4,27,4,8,6,26,3
2023/2/5,10,0,4,2,14,3.333333333
2023/2/6,6,1,0,0,7,3.071428571
2023/2/7,10,0,1,1,12,3.208333333
2023/2/8,8,0,1,0,4,2.384615385
2023/2/9,1,0,1,1,4,4
2023/2/10,2,1,3,2,8,3.8125
2023/2/11,12,0,1,3,8,2.791666667
2023/2/12,5,2,1,1,10,3.473684211
2023/2/13,1,0,0,2,1,3.5
2023/2/14,10,0,0,1,7,2.722222222
2023/2/15,4,0,0,0,5,3.222222222
2023/2/16,1,0,0,1,4,4.166666667
2023/2/17,2,1,0,0,3,3.166666667
2023/2/18,11,2,1,1,8,2.695652174
2023/2/19,10,1,3,0,11,3.04
2023/2/20,4,1,0,2,3,2.9
2023/2/21,2,1,1,0,6,3.7
2023/2/22,1,1,0,0,2,3.25
2023/2/23,1,0,0,0,3,4
2023/2/24,4,0,0,1,9,3.785714286
2023/2/25,4,1,3,2,4,3.071428571
2023/2/26,5,2,3,2,15,3.740740741
2023/2/27,1,0,0,0,1,3
2023/2/28,3,0,1,0,3,3
2023/3/1,3,0,0,1,10,4.071428571
2023/3/2,0,0,3,1,7,4.363636364
2023/3/3,0,0,0,1,2,4.666666667
2023/3/4,12,2,2,3,4,2.347826087
2023/3/5,12,1,1,1,13,3.071428571
2023/3/6,1,0,1,0,4,4
2023/3/7,5,0,1,0,5,3
2023/3/8,1,1,0,0,4,3.833333333
2023/3/9,0,1,0,0,4,4.4
2023/3/10,3,0,0,1,1,2.4
2023/3/11,10,3,3,2,16,3.323529412
2023/3/12,4,0,1,1,7,3.538461538
2023/3/13,7,0,2,0,2,2.090909091
2023/3/14,0,0,1,2,1,4
2023/3/15,2,0,0,0,2,3
2023/3/16,2,1,1,1,7,3.833333333
2023/3/17,3,0,2,0,11,4
2023/3/18,4,0,1,1,18,4.208333333
2023/3/19,11,1,2,3,14,3.258064516
2023/3/20,3,2,2,1,3,2.909090909
2023/3/21,3,1,0,0,11,4
2023/3/22,3,0,0,0,1,2
2023/3/23,2,0,0,0,7,4.111111111
2023/3/24,3,1,0,0,4,3.125
2023/3/25,8,0,2,1,7,2.944444444
2023/3/26,6,0,1,1,14,3.772727273
2023/3/27,1,0,0,1,1,3.333333333
2023/3/28,6,0,1,1,1,2
2023/3/29,2,0,1,1,6,3.9
2023/3/30,1,0,0,1,12,4.642857143
2023/3/31,3,0,2,1,13,4.105263158
2023/4/1,6,0,1,0,16,3.869565217
2023/4/2,5,0,0,2,6,3.307692308
2023/4/3,2,0,1,0,10,4.230769231
2023/4/4,2,0,0,0,7,4.111111111
2023/4/5,11,1,1,3,17,3.424242424
2023/4/6,1,0,0,0,2,3.666666667
2023/4/7,2,0,0,0,3,3.4
2023/4/8,11,1,1,2,13,3.178571429
2023/4/9,7,2,0,2,12,3.434782609
2023/4/10,2,0,0,0,1,2.333333333
2023/4/11,6,0,1,2,4,2.846153846
2023/4/12,4,0,0,0,7,3.545454545
2023/4/13,0,0,0,1,0,4
2023/4/14,4,0,-1,3,7,3.692307692
2023/4/15,5,0,1,3,16,4
2023/4/16,5,1,1,2,9,3.5
2023/4/17,4,1,1,0,3,2.666666667
2023/4/18,4,1,1,1,4,3
2023/4/19,3,1,1,0,2,2.571428571
2023/4/20,29,5,13,16,102,3.951515152
2023/4/21,6,1,1,3,31,4.238095238
2023/4/22,11,1,5,3,37,3.947368421
2023/4/23,6,1,2,3,10,3.454545455
2023/4/24,5,1,3,0,11,3.55
2023/4/25,3,0,0,1,0,1.75
2023/4/26,5,0,0,2,5,3.166666667
2023/4/27,6,0,0,0,2,2
2023/4/28,0,0,0,1,2,4.666666667
2023/4/29,9,2,1,1,20,3.636363636
2023/4/30,6,1,3,2,20,3.90625
2023/5/1,6,0,0,0,5,2.818181818
2023/5/2,11,3,1,1,15,3.193548387
