日期,一星,二星,三星,四星,五星,平均评分
2020/5/11,5,-8,26,36,594,4.87136294
2020/5/12,40,18,15,39,835,4.701161563
2020/5/13,37,23,29,59,822,4.655670103
2020/5/14,40,17,13,40,688,4.652882206
2020/5/15,2,15,26,72,815,4.809677419
2020/5/16,7,18,19,47,1379,4.886394558
2020/5/17,48,24,28,81,1339,4.736184211
2020/5/18,1,-4,15,54,565,4.87955626
2020/5/19,9,18,15,38,553,4.750394945
2020/5/20,24,16,28,40,621,4.670781893
2020/5/21,30,12,27,38,605,4.651685393
2020/5/22,47,9,31,60,891,4.675337187
2020/5/23,79,32,44,94,1515,4.663265306
2020/5/24,63,31,26,79,1269,4.675749319
2020/5/25,15,6,30,54,532,4.698587127
2020/5/26,34,8,29,19,580,4.646268657
2020/5/27,27,26,17,14,565,4.6394453
2020/5/28,40,25,16,45,751,4.644241733
2020/5/29,94,19,55,78,1242,4.58266129
2020/5/30,111,61,55,104,2021,4.642431973
2020/5/31,54,29,58,139,1809,4.732886549
2020/6/1,27,24,17,44,875,4.738601824
2020/6/2,25,-16,6,10,419,4.833333333
2020/6/3,40,20,24,45,562,4.547033285
2020/6/4,15,8,-1,34,411,4.751605996
2020/6/5,51,15,21,62,762,4.612513721
2020/6/6,70,27,32,102,1545,4.703265766
2020/6/7,54,21,31,59,1250,4.717314488
2020/6/8,3,5,12,-9,181,4.78125
2020/6/9,7,9,7,23,395,4.79138322
2020/6/10,27,5,19,12,279,4.494152047
2020/6/11,27,11,14,29,434,4.615533981
2020/6/12,38,18,19,39,694,4.649752475
2020/6/13,46,41,38,66,1405,4.718671679
2020/6/14,42,11,47,74,1226,4.736428571
2020/6/15,3,0,4,21,211,4.828451883
2020/6/16,17,14,12,26,439,4.68503937
2020/6/17,20,6,13,29,445,4.701754386
2020/6/18,35,10,10,27,427,4.57367387
2020/6/19,48,12,37,42,735,4.606407323
2020/6/20,93,16,41,103,1426,4.639666468
2020/6/21,43,24,43,79,1283,4.722146739
2020/6/22,24,6,12,36,610,4.747093023
2020/6/23,11,0,7,18,408,4.828828829
2020/6/24,34,11,34,59,873,4.707220574
2020/6/25,84,15,55,139,1939,4.717741935
2020/6/26,51,31,19,69,1313,4.727579231
2020/6/27,33,23,25,72,896,4.692087703
2020/6/28,13,7,16,8,377,4.731591449
2020/6/29,23,8,7,35,456,4.688090737
2020/6/30,22,6,7,29,654,4.792479109
2020/7/1,28,6,16,40,716,4.749379653
2020/7/2,36,11,25,35,884,4.735620585
2020/7/3,39,21,25,59,1058,4.727121464
2020/7/4,52,14,31,60,1297,4.744154058
2020/7/5,51,30,37,101,1371,4.705031447
2020/7/6,48,19,21,66,914,4.665730337
2020/7/7,38,13,25,69,901,4.703632887
2020/7/8,34,13,27,57,919,4.727619048
2020/7/9,47,22,26,63,945,4.665457842
2020/7/10,53,19,30,75,1153,4.696240602
2020/7/11,67,21,31,62,1371,4.706829897
2020/7/12,50,34,37,61,1357,4.716049383
2020/7/13,36,12,24,80,990,4.730297723
2020/7/14,45,23,29,85,1259,4.72796669
2020/7/15,49,23,32,84,1221,4.706884315
2020/7/16,70,31,43,90,1366,4.656875
2020/7/17,106,36,72,129,1701,4.606164384
2020/7/18,94,41,58,123,1783,4.648404002
2020/7/19,69,32,51,127,1582,4.677055347
2020/7/20,90,44,69,118,1407,4.56712963
2020/7/21,43,24,27,63,1102,4.713264496
2020/7/22,75,24,66,109,1462,4.646889401
