日期,1星,2星,3星,4星,5星,abs1,abs2,abs3,abs4,abs5,平均评分
2020/4/2,11,8,19,47,478,11,8,19,47,478,4.728241563
2020/4/3,302,51,135,235,1620,302,51,135,235,1620,4.203585147
2020/4/4,0,0,0,0,0,0,0,0,0,0,#DIV/0!
2020/4/5,0,0,0,0,0,0,0,0,0,0,#DIV/0!
2020/4/6,0,0,0,0,0,0,0,0,0,0,#DIV/0!
2020/4/7,-254,-43,-110,-196,-1201,254,43,110,196,1201,4.134700665
2020/4/8,21,2,7,20,128,21,2,7,20,128,4.303370787
2020/4/9,327,61,143,234,1687,327,61,143,234,1687,4.179853181
2020/4/10,40,5,13,21,197,40,5,13,21,197,4.195652174
2020/4/11,21,4,13,13,118,21,4,13,13,118,4.201183432
2020/4/12,-260,-40,-113,-209,-1285,260,40,113,209,1285,4.163607761
2020/4/13,22,3,10,10,110,22,3,10,10,110,4.180645161
2020/4/14,306,58,133,221,1462,306,58,133,221,1462,4.135321101
2020/4/15,19,3,5,14,86,19,3,5,14,86,4.141732283
2020/4/16,21,3,15,18,127,21,3,15,18,127,4.233695652
2020/4/17,19,2,14,7,129,19,2,14,7,129,4.315789474
2020/4/18,17,5,13,10,102,17,5,13,10,102,4.19047619
2020/4/19,85,11,24,15,132,85,11,24,15,132,3.367041199
2020/4/20,47,7,17,11,45,47,7,17,11,45,3
2020/4/21,18,6,9,10,84,18,6,9,10,84,4.070866142
2020/4/22,22,7,16,4,66,22,7,16,4,66,3.739130435
2020/4/23,19,7,9,13,81,19,7,9,13,81,4.007751938
2020/4/24,21,8,7,12,74,21,8,7,12,74,3.901639344
2020/4/25,24,0,5,9,71,24,0,5,9,71,3.944954128
2020/4/26,18,3,5,9,73,18,3,5,9,73,4.074074074
2020/4/27,15,-1,7,12,58,15,1,7,12,58,4.043010753
2020/4/28,19,3,6,3,70,19,3,6,3,70,4.00990099
2020/4/29,14,2,5,10,72,14,2,5,10,72,4.203883495
2020/4/30,22,2,5,10,76,22,2,5,10,76,4.008695652
2020/5/1,-258,-47,-114,-202,-1233,258,47,114,202,1233,4.135382956
2020/5/2,302,52,128,215,1430,302,52,128,215,1430,4.137282558
2020/5/3,24,3,11,7,115,24,3,11,7,115,4.1625
2020/5/4,23,5,14,14,99,23,5,14,14,99,4.038709677
2020/5/5,10,4,9,7,76,10,4,9,7,76,4.273584906
2020/5/6,12,5,3,8,62,12,5,3,8,62,4.144444444
2020/5/7,8,2,13,1,57,8,2,13,1,57,4.197530864
2020/5/8,-262,-43,-111,-202,-1292,262,43,111,202,1292,4.161780105
2020/5/9,286,49,124,216,1432,286,49,124,216,1432,4.167062174
2020/5/10,25,2,6,3,93,25,2,6,3,93,4.062015504
2020/5/11,8,-1,-1,2,34,8,1,1,2,34,4.152173913
2020/5/12,3,0,6,4,57,3,0,6,4,57,4.6
2020/5/13,8,0,6,10,41,8,0,6,10,41,4.169230769
2020/5/14,14,1,5,5,50,14,1,5,5,50,4.013333333
2020/5/15,13,3,7,9,71,13,3,7,9,71,4.184466019
2020/5/16,15,4,6,12,83,15,4,6,12,83,4.2
2020/5/17,11,6,16,12,59,11,6,16,12,59,3.980769231
2020/5/18,12,1,8,3,39,12,1,8,3,39,3.888888889
2020/5/19,12,3,3,5,44,12,3,3,5,44,3.985074627
2020/5/20,3,1,1,0,11,3,1,1,0,11,3.9375
2020/5/21,0,0,0,0,0,0,0,0,0,0,#DIV/0!
2020/5/22,0,0,0,0,0,0,0,0,0,0,#DIV/0!
2020/5/23,0,0,0,0,0,0,0,0,0,0,#DIV/0!
2020/5/24,0,0,0,0,0,0,0,0,0,0,#DIV/0!
2020/5/25,0,0,0,0,0,0,0,0,0,0,#DIV/0!
2020/5/26,19293,4042,9704,14670,98638,19293,4042,9704,14670,98638,4.156962562
2020/5/27,4,3,6,2,17,4,3,6,2,17,3.78125
2020/5/28,0,0,0,0,0,0,0,0,0,0,#DIV/0!
2020/5/29,0,0,0,0,0,0,0,0,0,0,#DIV/0!
2020/5/30,0,0,0,0,0,0,0,0,0,0,#DIV/0!
2020/5/31,0,0,0,0,0,0,0,0,0,0,#DIV/0!
2020/6/1,0,0,0,0,0,0,0,0,0,0,#DIV/0!
2020/6/2,0,0,0,0,0,0,0,0,0,0,#DIV/0!
2020/6/3,0,0,0,0,0,0,0,0,0,0,#DIV/0!
2020/6/4,0,0,0,0,0,0,0,0,0,0,#DIV/0!
2020/6/5,0,0,0,0,0,0,0,0,0,0,#DIV/0!
2020/6/6,0,0,0,0,0,0,0,0,0,0,#DIV/0!
2020/6/7,0,0,0,0,0,0,0,0,0,0,#DIV/0!
2020/6/8,6,-2,7,0,9,6,2,7,0,9,3.166666667
2020/6/9,8,4,5,5,38,8,4,5,5,38,4.016666667
2020/6/10,21,5,2,4,25,21,5,2,4,25,3.122807018
2020/6/11,15,6,13,4,27,15,6,13,4,27,3.338461538
2020/6/12,32,8,5,6,17,32,8,5,6,17,2.529411765
2020/6/13,58,3,12,16,42,58,3,12,16,42,2.854961832
2020/6/14,37,1,10,14,42,37,1,10,14,42,3.221153846
2020/6/15,10,3,5,1,17,10,3,5,1,17,3.333333333
2020/6/16,16,6,0,6,26,16,6,0,6,26,3.37037037
2020/6/17,4,2,2,2,35,4,2,2,2,35,4.377777778
2020/6/18,12,-1,7,8,33,12,1,7,8,33,3.803278689
2020/6/19,21,5,5,11,27,21,5,5,11,27,3.260869565
2020/6/20,27,8,5,12,53,27,8,5,12,53,3.533333333
2020/6/21,20,3,8,16,74,20,3,8,16,74,4
2020/6/22,17,0,3,8,31,17,0,3,8,31,3.610169492
2020/6/23,6,1,7,5,41,6,1,7,5,41,4.233333333
2020/6/24,26,7,8,7,33,26,7,8,7,33,3.172839506
2020/6/25,32,2,12,14,94,32,2,12,14,94,3.883116883
2020/6/26,16,3,6,15,87,16,3,6,15,87,4.212598425
2020/6/27,22,1,4,2,63,22,1,4,2,63,3.902173913
2020/6/28,5,-1,8,9,33,5,1,8,9,33,4.142857143
2020/6/29,4,3,6,9,33,4,3,6,9,33,4.163636364
2020/6/30,15,0,2,8,41,15,0,2,8,41,3.909090909
2020/7/1,14,3,5,7,40,14,3,5,7,40,3.811594203
2020/7/2,17,4,4,9,61,17,4,4,9,61,3.978947368
2020/7/3,12,0,7,4,45,12,0,7,4,45,4.029411765
2020/7/4,20,6,9,8,58,20,6,9,8,58,3.772277228
2020/7/5,25,1,4,7,66,25,1,4,7,66,3.854368932
2020/7/6,8,6,4,11,56,8,6,4,11,56,4.188235294
2020/7/7,5,2,7,9,47,5,2,7,9,47,4.3
2020/7/8,12,5,0,11,51,12,5,0,11,51,4.063291139
2020/7/9,17,-2,13,4,35,17,2,13,4,35,3.535211268
2020/7/10,12,3,13,19,90,12,3,13,19,90,4.255474453
2020/7/11,15,0,15,38,247,15,0,15,38,247,4.593650794
2020/7/12,18,-1,16,28,182,18,1,16,28,182,4.448979592
2020/7/13,10,5,5,14,128,10,5,5,14,128,4.512345679
2020/7/14,14,3,8,21,133,14,3,8,21,133,4.430167598
2020/7/15,20,1,13,12,115,20,1,13,12,115,4.248447205
2020/7/16,25,11,16,41,420,25,11,16,41,420,4.598440546
2020/7/17,25,5,22,46,248,25,5,22,46,248,4.407514451
2020/7/18,36,8,19,29,224,36,8,19,29,224,4.256329114
2020/7/19,30,-2,9,32,205,30,2,9,32,205,4.366906475
2020/7/20,32,1,9,34,198,32,1,9,34,198,4.332116788
2020/7/21,7,4,7,15,89,7,4,7,15,89,4.43442623
2020/7/22,22,8,4,29,175,22,8,4,29,175,4.37394958
2020/7/23,24,4,23,26,168,24,4,23,26,168,4.265306122
2020/7/24,18,5,14,31,142,18,5,14,31,142,4.304761905
2020/7/25,15,5,8,22,189,15,5,8,22,189,4.527196653
2020/7/26,10,5,7,22,167,10,5,7,22,167,4.568720379
2020/7/27,21,1,13,18,134,21,1,13,18,134,4.299465241
2020/7/28,20,4,14,22,145,20,4,14,22,145,4.307317073
2020/7/29,16,3,11,20,151,16,3,11,20,151,4.427860697
2020/7/30,21,5,17,19,118,21,5,17,19,118,4.155555556
2020/7/31,13,-1,13,24,154,13,1,13,24,154,4.487804878
2020/8/1,16,3,12,20,126,16,3,12,20,126,4.338983051
2020/8/2,15,2,10,14,109,15,2,10,14,109,4.333333333
2020/8/3,13,6,11,10,97,13,6,11,10,97,4.255474453
2020/8/4,13,1,3,17,82,13,1,3,17,82,4.327586207
2020/8/5,15,1,12,23,89,15,1,12,23,89,4.214285714
2020/8/6,16,6,8,10,90,16,6,8,10,90,4.169230769
2020/8/7,18,2,6,21,92,18,2,6,21,92,4.201438849
