"date","earning"
"2024-04-30","1886179"
"2024-04-29","1880431"
"2024-04-28","1842358"
"2024-04-27","1845656"
"2024-04-26","1887960"
"2024-04-25","1838799"
"2024-04-24","1886984"
"2024-04-23","1893375"
"2024-04-22","1878448"
"2024-04-21","1887693"
"2024-04-20","1887001"
"2024-04-19","1888520"
"2024-04-18","1881134"
"2024-04-17","1884622"
"2024-04-16","1893449"
"2024-04-15","1881672"
"2024-04-14","1887497"
"2024-04-13","1890516"
"2024-04-12","1901054"
"2024-04-11","1892132"
"2024-04-10","1885744"
"2024-04-09","1883865"
"2024-04-08","1891389"
"2024-04-07","1890706"
"2024-04-06","1885969"
"2024-04-05","1898053"
"2024-04-04","1882773"
"2024-04-03","1885612"
"2024-04-02","1890873"
"2024-04-01","1890186"
"2024-03-31","1899770"
"2024-03-30","1885618"
"2024-03-29","1846889"
"2024-03-28","1841440"
"2024-03-27","1888728"
"2024-03-26","1879555"
"2024-03-25","1889819"
"2024-03-24","1896148"
"2024-03-23","1843265"
"2024-03-22","1882190"
"2024-03-21","1886476"
"2024-03-20","1891502"
"2024-03-19","1879320"
"2024-03-18","1842049"
"2024-03-17","1878668"
"2024-03-16","1890264"
"2024-03-15","1889921"
"2024-03-14","1883878"
"2024-03-13","1890649"
"2024-03-12","1881412"
"2024-03-11","1872455"
"2024-03-10","1882951"
"2024-03-09","1881141"
"2024-03-08","1887078"
"2024-03-07","1877543"
"2024-03-06","1876001"
"2024-03-05","1889999"
"2024-03-04","1896326"
"2024-03-03","1873702"
"2024-03-02","1883834"
"2024-03-01","1878415"
"2024-02-29","1885739"
"2024-02-28","1886749"
"2024-02-27","1889630"
"2024-02-26","1892487"
"2024-02-25","1874440"
"2024-02-24","1890205"
"2024-02-23","1884210"
"2024-02-22","1880542"
"2024-02-21","1883276"
"2024-02-20","1878912"
"2024-02-19","1879415"
"2024-02-18","1877498"
"2024-02-17","1901708"
"2024-02-16","1881847"
"2024-02-15","1890470"
"2024-02-14","1881088"
"2024-02-13","1900666"
"2024-02-12","1881093"
"2024-02-11","1888360"
"2024-02-10","1883488"
"2024-02-09","1873851"
"2024-02-08","1886664"
"2024-02-07","1878992"
"2024-02-06","1892698"
"2024-02-05","1884777"
"2024-02-04","1893246"
"2024-02-03","1889398"
"2024-02-02","1886535"
"2024-02-01","1893485"
"2024-01-31","1877085"
"2024-01-30","1891559"
"2024-01-29","1886238"
"2024-01-28","1836622"
"2024-01-27","1840734"
"2024-01-26","1885979"
"2024-01-25","1898302"
"2024-01-24","1884493"
"2024-01-23","1896139"
"2024-01-22","1882357"
"2024-01-21","1890479"
"2024-01-20","1901032"
"2024-01-19","1884387"
"2024-01-18","1885577"
"2024-01-17","1895581"
"2024-01-16","1880234"
"2024-01-15","1897452"
"2024-01-14","1890384"
"2024-01-13","1882386"
"2024-01-12","1877548"
"2024-01-11","1176662"
"2024-01-10","1890606"
"2024-01-09","1888614"
"2024-01-08","1902802"
"2024-01-07","1188112"
"2024-01-06","1180180"
"2024-01-05","1182995"
"2024-01-04","1176691"
"2024-01-03","1182129"
"2024-01-02","1189172"
"2024-01-01","1117823"
"2023-12-31","1833676"
"2023-12-30","1831401"
"2023-12-29","1781276"
"2023-12-28","1791908"
"2023-12-27","1807965"
"2023-12-26","1832932"
"2023-12-25","1887430"
"2023-12-24","1887962"
"2023-12-23","1835189"
"2023-12-22","1849160"
"2023-12-21","1886395"
"2023-12-20","1678560"
"2023-12-19","1872333"
"2023-12-18","1889550"
"2023-12-17","1886501"
"2023-12-16","1894791"
"2023-12-15","1875181"
"2023-12-14","1879468"
"2023-12-13","1889672"
"2023-12-12","1878942"
"2023-12-11","1882090"
"2023-12-10","1883367"
"2023-12-09","1882980"
"2023-12-08","1887761"
"2023-12-07","1889039"
"2023-12-06","1889669"
"2023-12-05","1903420"
"2023-12-04","1846744"
