"date","earning"
"2023-06-29","1884385"
"2023-06-28","1786237"
"2023-06-27","1894434"
"2023-06-26","1892052"
"2023-06-25","1898116"
"2023-06-24","1877547"
"2023-06-23","1889920"
"2023-06-22","1898098"
"2023-06-21","1888626"
"2023-06-20","1879086"
"2023-06-19","1888452"
"2023-06-18","1890480"
"2023-06-17","1874603"
"2023-06-16","1791435"
"2023-06-15","1882106"
"2023-06-14","1786569"
"2023-06-13","1131889"
"2023-06-12","1885572"
"2023-06-11","1886952"
"2023-06-10","1893244"
"2023-06-09","1885080"
"2023-06-08","1830032"
"2023-06-07","1303818"
"2023-06-06","1891092"
"2023-06-05","1895343"
"2023-06-04","1886691"
"2023-06-03","1900198"
"2023-06-02","1795068"
"2023-06-01","1881077"
"2023-05-31","1792718"
"2023-05-30","1892131"
"2023-05-29","1875171"
"2023-05-28","1892296"
"2023-05-27","1880418"
"2023-05-26","1780799"
"2023-05-25","1896452"
"2023-05-24","1790664"
"2023-05-23","1894398"
"2023-05-22","1875441"
"2023-05-21","1890588"
"2023-05-20","1888388"
"2023-05-19","1901265"
"2023-05-18","1833530"
"2023-05-17","1839259"
"2023-05-16","1894707"
"2023-05-15","1890312"
"2023-05-14","1886054"
"2023-05-13","1896520"
"2023-05-12","1892727"
"2023-05-11","1885354"
"2023-05-10","1892927"
"2023-05-09","1879158"
"2023-05-08","1893342"
"2023-05-07","1878992"
"2023-05-06","1882301"
"2023-05-05","1887768"
"2023-05-04","1880561"
"2023-05-03","1885299"
"2023-05-02","1898508"
"2023-05-01","1878973"
"2023-04-30","1879132"
"2023-04-29","1887938"
"2023-04-28","1873556"
"2023-04-27","1893870"
"2023-04-26","3244686"
"2023-04-25","3695866"
"2023-04-24","1883582"
"2023-04-23","1894340"
"2023-04-22","2698869"
"2023-04-21","1787599"
"2023-04-20","2564507"
"2023-04-19","1896505"
"2023-04-18","1886978"
"2023-04-17","1889071"
"2023-04-16","3690408"
"2023-04-15","2471906"
"2023-04-14","1682377"
"2023-04-13","1703437"
"2023-04-12","2128590"
"2023-04-11","3563878"
"2023-04-10","3693206"
"2023-04-09","3659941"
"2023-04-08","3696927"
"2023-04-07","3701314"
"2023-04-06","3700912"
"2023-04-05","3753605"
