date,Market size
2024/12/31 0:00,187.7
2023/12/31 0:00,183.9
2022/12/31 0:00,184.4
2021/12/31 0:00,175.8
2020/12/31 0:00,174.9
2019/12/31 0:00,148.8
2018/12/31 0:00,134.9
2017/12/31 0:00,116
2016/12/31 0:00,99.6
