"日期","下载量预估~iPad"
"2024-12-31","12395"
"2024-12-30","11425"
"2024-12-29","12467"
"2024-12-28","9824"
"2024-12-27","19969"
"2024-12-26","19808"
"2024-12-25","18502"
"2024-12-24","13791"
"2024-12-23","10859"
"2024-12-22","11368"
"2024-12-21","13852"
"2024-12-20","16199"
"2024-12-19","15636"
"2024-12-18","15613"
"2024-12-17","9652"
"2024-12-16","10130"
"2024-12-15","12671"
"2024-12-14","18696"
"2024-12-13","16215"
"2024-12-12","13549"
"2024-12-11","16304"
"2024-12-10","13324"
"2024-12-09","10161"
"2024-12-08","11339"
"2024-12-07","11508"
"2024-12-06","13163"
"2024-12-05","15642"
"2024-12-04","21318"
"2024-12-03","19149"
"2024-12-02","14647"
"2024-12-01","16312"
"2024-11-30","21796"
"2024-11-29","21596"
"2024-11-28","21313"
"2024-11-27","21434"
"2024-11-26","16659"
"2024-11-25","14858"
"2024-11-24","18636"
"2024-11-23","0"
"2024-11-22","0"
"2024-11-21","0"
"2024-11-20","0"
"2024-11-19","0"
"2024-11-18","0"
"2024-11-17","0"
"2024-11-16","0"
"2024-11-15","0"
"2024-11-14","0"
"2024-11-13","0"
"2024-11-12","0"
"2024-11-11","12433"
"2024-11-10","13482"
"2024-11-09","18285"
"2024-11-08","18284"
"2024-11-07","17173"
"2024-11-06","17903"
"2024-11-05","19286"
"2024-11-04","19671"
"2024-11-03","20180"
"2024-11-02","14714"
"2024-11-01","21329"
"2024-10-31","21361"
"2024-10-30","16271"
"2024-10-29","19904"
"2024-10-28","11480"
"2024-10-27","10694"
"2024-10-26","16320"
"2024-10-25","13153"
"2024-10-24","15810"
"2024-10-23","16374"
"2024-10-22","18324"
"2024-10-21","10855"
"2024-10-20","12484"
"2024-10-19","11757"
"2024-10-18","19754"
"2024-10-17","19700"
"2024-10-16","18715"
"2024-10-15","16260"
"2024-10-14","13249"
"2024-10-13","10860"
"2024-10-12","15515"
"2024-10-11","15936"
"2024-10-10","18409"
"2024-10-09","17227"
"2024-10-08","18478"
"2024-10-07","16199"
"2024-10-06","11458"
"2024-10-05","17255"
"2024-10-04","15627"
"2024-10-03","11310"
"2024-10-02","12488"
"2024-10-01","10814"
"2024-09-30","15548"
"2024-09-29","18730"
"2024-09-28","18746"
"2024-09-27","13252"
"2024-09-26","12109"
"2024-09-25","13193"
"2024-09-24","18713"
"2024-09-23","11400"
"2024-09-22","9854"
"2024-09-21","10589"
"2024-09-20","21164"
"2024-09-19","12565"
"2024-09-18","10116"
"2024-09-17","11398"
"2024-09-16","10183"
"2024-09-15","12642"
"2024-09-14","11243"
"2024-09-13","11390"
"2024-09-12","13550"
"2024-09-11","11173"
"2024-09-10","18543"
"2024-09-09","9158"
"2024-09-08","12526"
"2024-09-07","16277"
"2024-09-06","13367"
"2024-09-05","18407"
"2024-09-04","16331"
"2024-09-03","11472"
"2024-09-02","11433"
"2024-09-01","10187"
"2024-08-31","10237"
"2024-08-30","9692"
"2024-08-29","9679"
"2024-08-28","9082"
"2024-08-27","10796"
"2024-08-26","10232"
"2024-08-25","11368"
